Term,Definition
tremendous,(c1) to lớn
trend,(b1) xu hướng
trial,(b2) thử nghiệm
tribal,(c1) bộ lạc
tribe,(b2) bộ lạc
tribunal,(c1) tòa án
tribute,(c1) cống nạp
trick,(b1) thủ thuật
trick,(b1) thủ thuật
trigger,(c1) cò súng
trigger,(b2) cò súng
trillion,(b2) nghìn tỷ
trio,(c1) bộ ba
trip,(a1) chuyến đi
trip,(b2) chuyến đi
triumph,(c1) chiến thắng
troop,(b2) quân đội
trophy,(c1) chiếc cúp
tropical,(b2) nhiệt đới
trouble,(a2) rắc rối
trouble,(b2) rắc rối
troubled,(c1) gặp rắc rối
trousers,(a1) quần
truck,(a2) xe tải
true,(a1) đúng
truly,(b2) thực sự
trust,(b2) tin tưởng
trust,(b2) tin tưởng
trustee,(c1) người được ủy thác
truth,(b1) sự thật
try,(b2) thử
try,(a1) thử
tsunami,(b2) sóng thần
tube,(b1) ống
tuesday,(a1) thứ ba
tuition,(c1) học phí
tune,(b2) điều chỉnh
tunnel,(b2) đường hầm
turn,(a1) rẽ
turn,(a1) rẽ
turnout,(c1) số cử tri đi bỏ phiếu
turnover,(c1) doanh thu
tv,(a1) truyền hình
twelve,(a1) mười hai
twenty,(a1) hai mươi
twice,(a1) hai lần
twin,(a2) sinh đôi
twin,(a2) sinh đôi
twist,(c1) xoắn
twist,(c1) xoắn
two,(a1) hai
type,(a1) loại
type,(b1) loại
typical,(a2) điển hình
typically,(b1) thông thường
tyre,(b1) lốp xe
ugly,(b1) xấu xí
ultimate,(b2) cuối cùng
ultimately,(b2) cuối cùng
umbrella,(a1) ô
unable,(b1) không thể
unacceptable,(b2) không thể chấp nhận được
uncertainty,(b2) sự không chắc chắn
uncle,(a1) chú
uncomfortable,(b1) khó chịu
unconscious,(b2) bất tỉnh
under,(a1) dưới
under,(a1) dưới
undergo,(b2) trải qua
undergraduate,(c1) đại học
underground,(a2) dưới lòng đất
underground,(a2) dưới lòng đất
underlying,(c1) cơ bản
undermine,(c1) làm suy yếu
understand,(a1) hiểu
understanding,(a2) sự hiểu biết
undertake,(b2) đảm nhận
underwear,(b1) đồ lót
undoubtedly,(c1) chắc chắn
unemployed,(b1) thất nghiệp
unemployment,(b1) thất nghiệp
unexpected,(b2) bất ngờ
unfair,(b1) không công bằng
unfold,(b2) mở ra
unfortunate,(b2) không may
unfortunately,(a2) thật không may
unhappy,(a2) không vui
uniform,(a2) đồng phục
unify,(c1) thống nhất
union,(b1) sự đoàn kết
unique,(b2) độc nhất
unit,(a2) đơn vị
unite,(b2) đoàn kết
united,(a2) thống nhất
unity,(b2) đoàn kết
universal,(b2) phổ quát
universe,(b2) vũ trụ
university,(a1) trường đại học
unknown,(b2) không rõ
unless,(b1) trừ khi
unlike,(b1) không giống
unlikely,(b1) không thể
unnecessary,(b1) không cần thiết
unpleasant,(b1) khó chịu
unprecedented,(c1) chưa từng có
until,(a1) cho đến khi
until,(a1) cho đến khi
unusual,(a2) bất thường
unveil,(c1) tiết lộ
up,(a1) lên
up,(a1) lên
upcoming,(c1) sắp tới
update,(b1) cập nhật
update,(b1) cập nhật
upgrade,(c1) nâng cấp
upgrade,(c1) nâng cấp
uphold,(c1) ủng hộ
upon,(b1) trên
upper,(b2) phía trên
upset,(b1) khó chịu
upset,(b1) khó chịu
upstairs,(a2) trên lầu
upstairs,(a1) trên lầu
upwards,(b2) trở lên
urban,(b2) đô thị
urge,(b2) thôi thúc
urgent,(b2) khẩn cấp
us,(a1) chúng tôi
usage,(b2) cách sử dụng
use,(a2) sử dụng
use,(a1) sử dụng
used,(b1) đã sử dụng
used to,(a2) đã từng
useful,(a1) hữu ích
useless,(b2) vô dụng
user,(a2) người dùng
usual,(a2) thông thường
usually,(a1) thường
utility,(c1) tiện ích
utilize,(c1) sử dụng
utterly,(c1) hoàn toàn
vacation,(a1) kỳ nghỉ
vacuum,(c1) chân không
vague,(c1) mơ hồ
valid,(b2) hợp lệ
validity,(c1) hiệu lực
valley,(a2) thung lũng
valuable,(b1) có giá trị
value,(b1) giá trị
