Term,Definition
acquaintance,người quen biết sơ
sibling,anh chị em ruột
upbringing,"sự nuôi nấng, dạy dỗ"
reconciliation,"sự hòa giải, làm lành"
kinship,"quan hệ họ hàng, máu mủ"
generation gap,khoảng cách thế hệ
household,hộ gia đình
divorce,sự ly hôn
custody,quyền nuôi con
foster parent,cha mẹ nuôi
companion,người bạn đồng hành
infatuation,sự say đắm mù quáng
commitment,"sự gắn bó, cam kết"
confidant,người bạn tâm giao
rivalry,"sự ganh đua, thù địch"
matrimony,hôn nhân
ancestor,"tổ tiên, ông bà xưa"
descendant,"hậu duệ, con cháu"
adolescence,thời thanh thiếu niên
nurture,"chăm sóc, nuôi dưỡng"
