Term,Definition
lead,(b1) chì
lead,(a2) chì
leader,(a2) lãnh đạo
leadership,(b2) sự lãnh đạo
leading,(b1) dẫn đầu
leaf,(b1) lá
leaflet,(b2) tờ rơi
league,(b2) giải đấu
leak,(c1) rò rỉ
leak,(c1) rò rỉ
lean,(b2) nạc
leap,(c1) bước nhảy vọt
leap,(c1) bước nhảy vọt
learn,(a1) học hỏi
learning,(a2) học tập
least,(a2) ít nhất
least,(a2) ít nhất
least,(a2) ít nhất
leather,(b1) da
leave,(b2) rời đi
leave,(a1) rời đi
lecture,(a2) bài giảng
lecture,(a2) bài giảng
left,(a1) trái
left,(a1) trái
left,(a1) trái
leg,(a1) chân
legacy,(c1) di sản
legal,(b1) hợp pháp
legend,(b2) truyền thuyết
legendary,(c1) huyền thoại
legislation,(c1) pháp luật
legislative,(c1) lập pháp
legislature,(c1) cơ quan lập pháp
legitimate,(c1) hợp pháp
leisure,(b1) giải trí
lemon,(a2) chanh
lend,(a2) cho vay
length,(b1) chiều dài
lengthy,(c1) dài dòng
lens,(b2) ống kính
lesbian,(c1) đồng tính nữ
less,(a2) ít hơn
less,(a2) ít hơn
less,(a2) ít hơn
lesser,(c1) ít hơn
lesson,(a1) bài học
let,(a1) hãy để
lethal,(c1) gây chết người
letter,(a1) lá thư
level,(b1) cấp độ
level,(a2) cấp độ
level,(b2) cấp độ
liable,(c1) chịu trách nhiệm
liberal,(c1) tự do
liberal,(c1) tự do
liberation,(c1) giải phóng
liberty,(c1) tự do
library,(a1) thư viện
licence,(b2) giấy phép
license,(c1) giấy phép
lie,(b1) nói dối
lie,(a1) nói dối
lie,(b1) nói dối
life,(a1) cuộc sống
lifelong,(c1) suốt đời
lifestyle,(a2) lối sống
lifetime,(b2) trọn đời
lift,(a2) nâng
lift,(a2) nâng
light,(a1) ánh sáng
light,(a1) ánh sáng
light,(a2) ánh sáng
lighting,(b2) thắp sáng
like,(b1) thích
like,(a1) thích
like,(a1) thích
likelihood,(c1) khả năng xảy ra
likely,(a2) có thể
likewise,(b2) tương tự như vậy
limb,(c1) chân tay
limit,(b1) giới hạn
limit,(b1) giới hạn
limitation,(b2) giới hạn
limited,(b2) hạn chế
line,(a1) dòng
line,(b2) dòng
line-up,(c1) xếp hàng
linear,(c1) tuyến tính
linger,(c1) nán lại
link,(a2) liên kết
link,(a2) liên kết
lion,(a1) sư tử
lip,(b1) môi
liquid,(b1) chất lỏng
liquid,(b1) chất lỏng
list,(a1) danh sách
list,(a1) danh sách
listen,(a1) lắng nghe
listener,(a2) người nghe
listing,(c1) niêm yết
literacy,(c1) khả năng đọc viết
literally,(b2) theo nghĩa đen
literary,(b2) văn học
literature,(b1) văn học
litre,(b2) lít
litter,(b2) xả rác
little,(a1) ít
little,(a2) ít
little,(a1) ít
little,(a1) ít
live,(b1) sống
live,(b1) sống
live,(a1) sống
lively,(b2) sống động
liver,(c1) gan
living,(b1) sống
living,(b1) sống
load,(b2) tải
load,(b2) tải
loan,(b2) tiền vay
lobby,(c1) tiền sảnh
lobby,(c1) tiền sảnh
local,(a1) địa phương
local,(b1) địa phương
locate,(b1) xác định vị trí
located,(b1) nằm
location,(b1) vị trí
lock,(a2) khóa
lock,(a2) khóa
log,(c1) nhật ký
log,(c1) nhật ký
logic,(c1) nghĩa của từ logic
logical,(b2) logic
logo,(b2) biểu tượng
lonely,(b1) cô đơn
long,(a1) dài
long,(a1) dài
long-standing,(c1) lâu đời
long-term,(b2) lâu dài
long-term,(b2) lâu dài
long-time,(c1) lâu năm
look,(a2) nhìn
look,(a1) nhìn
loom,(c1) khung cửi
loop,(c1) vòng lặp
loose,(b2) lỏng lẻo
lord,(b2) chúa tể
lorry,(a2) xe tải
