Term,Definition
broadcasting,sự phát sóng truyền hình/radio
censorship,sự kiểm duyệt thông tin
propaganda,sự tuyên truyền
editorial,bài xã luận của tòa soạn
correspondent,phóng viên thường trú
sensationalism,"xu hướng giật gân, câu khách"
tabloid,báo lá cải
exclusive,tin tức độc quyền
circulation,số lượng phát hành báo chí
paparazzi,thợ săn ảnh người nổi tiếng
coverage,mức độ phủ sóng thông tin
investigative,mang tính điều tra
columnist,người viết chuyên mục báo
manipulate,thao túng thông tin
headline,tiêu đề bài báo
press conference,cuộc họp báo
infotainment,tin tức giải trí
credibility,"sự uy tín, đáng tin cậy"
leak,làm rò rỉ thông tin mật
anchor,biên tập viên dẫn bản tin chính
