Term,Definition
bar,(b2) thanh
bare,(c1) trần trụi
barely,(b2) hầu như không
bargain,(b2) mặc cả
barrel,(c1) thùng
barrier,(b2) rào cản
base,(b1) cơ sở
base,(b1) cơ sở
baseball,(a2) bóng chày
based,(a2) dựa trên
basement,(b2) tầng hầm
basic,(b1) cơ bản
basically,(b2) về cơ bản
basis,(b1) cơ sở
basket,(b2) cái giỏ
basketball,(a2) bóng rổ
bass,(c1) âm trầm
bat,(b2) dơi
bat,(c1) dơi
bath,(a1) tắm
bathroom,(a1) phòng tắm
battery,(b1) pin
battle,(b1) trận chiến
battle,(b2) trận chiến
battlefield,(c1) chiến trường
bay,(c1) vịnh
be,(a1) được
be,(a1) được
beach,(a1) bãi biển
beam,(c1) chùm tia
bean,(a2) hạt đậu
bear,(a2) gấu
bear,(b2) gấu
beast,(c1) con thú
beat,(b2) đánh bại
beat,(a2) đánh bại
beautiful,(a1) đẹp
beauty,(b1) sắc đẹp
because,(a1) bởi vì
become,(a1) trở thành
bed,(a1) giường
bedroom,(a1) phòng ngủ
bee,(b1) con ong
beef,(a2) thịt bò
beer,(a1) bia
before,(a2) trước đây
before,(a2) trước đây
before,(a1) trước đây
beg,(b2) ăn xin
begin,(a1) bắt đầu
beginning,(a1) sự khởi đầu
behalf,(c1) thay mặt
behave,(a2) cư xử
behaviour,(a2) hành vi
behind,(a1) đằng sau
behind,(a1) đằng sau
being,(b2) được
belief,(b1) niềm tin
believe,(a1) tin tưởng
bell,(b1) chuông
belong,(a2) thuộc về
beloved,(c1) yêu quý
below,(a1) bên dưới
below,(a1) bên dưới
belt,(a2) vành đai
bench,(c1) băng ghế dự bị
benchmark,(c1) điểm chuẩn
bend,(b1) uốn cong
bend,(b1) uốn cong
beneath,(c1) bên dưới
beneficial,(b2) có lợi
beneficiary,(c1) người thụ hưởng
benefit,(a2) lợi ích
benefit,(b1) lợi ích
bent,(b2) uốn cong
beside,(b2) bên cạnh
besides,(b2) ngoài ra
besides,(b2) ngoài ra
best,(a1) tốt nhất
best,(a2) tốt nhất
best,(a2) tốt nhất
bet,(b2) cá cược
bet,(b2) cá cược
betray,(c1) phản bội
better,(a1) tốt hơn
better,(a2) tốt hơn
better,(b1) tốt hơn
between,(a2) giữa
between,(a1) giữa
beyond,(b2) vượt xa
beyond,(b2) vượt xa
bias,(b2) sự thiên vị
bicycle,(a1) xe đạp
bid,(b2) giá thầu
bid,(b2) giá thầu
big,(a1) lớn
bike,(a1) xe đạp
bill,(a1) hóa đơn
bill,(b2) hóa đơn
billion,(a2) tỷ
bin,(a2) cái thùng
bind,(c1) ràng buộc
biography,(c1) tiểu sử
biological,(b2) sinh học
biology,(a2) sinh học
bird,(a1) chim
birth,(a2) sinh
birthday,(a1) sinh nhật
biscuit,(a2) bánh quy
bishop,(c1) giám mục
bit,(a2) chút
bite,(b1) cắn
bite,(b1) cắn
bitter,(b2) cay đắng
bizarre,(c1) kỳ quái
black,(a1) màu đen
black,(a1) màu đen
blade,(c1) lưỡi dao
blame,(b2) đổ lỗi
blame,(b2) đổ lỗi
blank,(a2) chỗ trống
blank,(a2) chỗ trống
blanket,(b2) chăn
blast,(c1) vụ nổ
blast,(c1) vụ nổ
bleed,(c1) chảy máu
blend,(c1) pha trộn
blend,(c1) pha trộn
bless,(c1) ban phước
blessing,(c1) phước lành
blind,(b2) mù
block,(b1) khối
block,(b1) khối
blog,(a1) nghĩa của từ blog
blonde,(a1) tóc vàng
blood,(a2) máu
blow,(b2) đòn
blow,(a2) đòn
blue,(a1) màu xanh
blue,(a1) màu xanh
board,(a2) bảng
board,(b1) bảng
boast,(c1) khoe khoang
boat,(a1) thuyền
body,(a1) cơ thể
boil,(a2) đun sôi
bold,(b2) in đậm
bomb,(b1) quả bom
bomb,(b1) quả bom
