Term,Definition
lose,(a1) thua
loss,(b1) mất mát
lost,(a2) bị mất
lot,(a1) rất nhiều
lot,(a1) rất nhiều
lot,(a1) rất nhiều
lottery,(b2) xổ số
loud,(a2) ồn ào
loud,(a2) ồn ào
loudly,(a2) lớn tiếng
love,(a1) tình yêu
love,(a1) tình yêu
lovely,(a2) đáng yêu
low,(a2) thấp
low,(a2) thấp
low,(b2) thấp
lower,(b2) thấp hơn
loyal,(b2) trung thành
loyalty,(c1) lòng trung thành
luck,(a2) may mắn
lucky,(a2) may mắn
lunch,(a1) bữa trưa
lung,(b2) phổi
luxury,(b1) sang trọng
luxury,(b1) sang trọng
lyric,(b2) lời bài hát
machine,(a1) máy móc
machinery,(c1) máy móc
mad,(b1) điên
magazine,(a1) tạp chí
magic,(b1) ma thuật
magic,(b1) ma thuật
magical,(c1) huyền diệu
magistrate,(c1) quan tòa
magnetic,(c1) từ tính
magnificent,(b2) tráng lệ
magnitude,(c1) độ lớn
mail,(a2) thư
mail,(a2) thư
main,(a1) chính
mainland,(c1) đất liền
mainly,(b1) chủ yếu
mainstream,(c1) chủ đạo
mainstream,(c1) chủ đạo
maintain,(b2) duy trì
maintenance,(c1) bảo trì
major,(a2) chính
major,chính
majority,(b2) đa số
make,(b2) làm
make,(a1) làm
make-up,(b2) trang điểm
making,(b2) làm
male,(a2) nam giới
male,(a2) nam giới
mall,(b1) trung tâm mua sắm
man,(a1) người đàn ông
manage,(a2) quản lý
management,(b1) quản lý
manager,(a2) người quản lý
mandate,(c1) ủy quyền
mandatory,(c1) bắt buộc
manifest,(c1) biểu hiện
manipulate,(c1) thao túng
manipulation,(c1) thao túng
manner,(a2) cách thức
manufacture,(b2) sản xuất
manufacturing,(b2) sản xuất
manuscript,(c1) bản thảo
many,(a1) nhiều
many,(a1) nhiều
map,(a1) bản đồ
map,(b2) bản đồ
marathon,(b2) maratông
march,(a1) hành quân
march,(c1) hành quân
march,(c1) hành quân
margin,(b2) lề
marginal,(c1) cận biên
marine,(c1) biển
mark,(a2) đánh dấu
mark,(a2) đánh dấu
marker,(b2) điểm đánh dấu
market,(a1) thị trường
market,(b1) thị trường
marketing,(b1) tiếp thị
marketplace,(c1) thị trường
marriage,(b1) hôn nhân
married,(a1) kết hôn
marry,(a2) kết hôn
martial,(b2) võ thuật
mask,(c1) mặt nạ
mass,(b2) khối lượng
mass,(b2) khối lượng
massacre,(c1) thảm sát
massive,(b2) đồ sộ
master,(b2) bậc thầy
master,(b2) bậc thầy
match,(a1) trận đấu
match,(a1) trận đấu
matching,(b2) khớp
mate,(b2) bạn đời
mate,(b2) bạn đời
material,(b2) vật chất
material,(a2) vật chất
mathematical,(c1) toán học
mathematics,(a2) toán học
maths,(a2) môn toán
matter,(a2) vấn đề
matter,(a2) vấn đề
mature,(c1) trưởng thành
mature,(c1) trưởng thành
maximize,(c1) tối đa hóa
maximum,(b2) tối đa
maximum,(b2) tối đa
may,(a1) tháng năm
may,(a2) tháng năm
maybe,(a1) có lẽ
mayor,(b2) thị trưởng
me,(a1) tôi
meal,(a1) bữa ăn
mean,(a1) nghĩa là
meaning,(a1) ý nghĩa
meaningful,(c1) có ý nghĩa
means,(b2) nghĩa là
meantime,(c1) trong lúc đó
meanwhile,(b1) trong khi đó
measure,(b1) đo lường
measure,(b1) đo lường
measurement,(b2) đo lường
meat,(a1) thịt
mechanic,(b2) thợ cơ khí
mechanical,(b2) cơ khí
mechanism,(b2) cơ chế
medal,(b2) huy chương
media,(a2) phương tiện truyền thông
medical,(a2) y tế
medication,(b2) thuốc men
medicine,(a2) y học
medieval,(c1) thời trung cổ
meditation,(c1) thiền định
medium,(b1) trung bình
medium,(b2) trung bình
meet,(a1) gặp gỡ
meeting,(a1) cuộc họp
melody,(c1) giai điệu
melt,(b2) tan chảy
member,(a1) thành viên
membership,(b2) tư cách thành viên
