Term,Definition
greatly,(b2) rất nhiều
green,(a1) màu xanh lá cây
green,(a1) màu xanh lá cây
greenhouse,(b2) nhà kính
greet,(a2) chào
grey,(a1) màu xám
grey,(a1) màu xám
grid,(c1) lưới
grief,(c1) đau buồn
grin,(c1) cười toe toét
grin,(c1) cười toe toét
grind,(c1) xay
grip,(c1) nắm chặt
grip,(c1) nắm chặt
grocery,(b2) cửa hàng tạp hóa
gross,(c1) thô thiển
ground,(a2) mặt đất
group,(a1) nhóm
grow,(a1) phát triển
growth,(b1) tăng trưởng
guarantee,(b2) đảm bảo
guarantee,(b2) đảm bảo
guard,(b1) canh gác
guard,(b1) canh gác
guerrilla,(c1) du kích
guess,(a1) đoán
guess,(a1) đoán
guest,(a2) khách
guidance,(c1) hướng dẫn
guide,(a2) hướng dẫn
guide,(a2) hướng dẫn
guideline,(b2) hướng dẫn
guilt,(c1) cảm giác tội lỗi
guilty,(b1) có tội
guitar,(a1) đàn ghi-ta
gun,(a2) súng
gut,(c1) ruột
guy,(a2) anh chàng
gym,(a1) phòng tập thể dục
habit,(a2) thói quen
habitat,(b2) môi trường sống
hail,(c1) mưa đá
hair,(a1) tóc
half,(a2) một nửa
half,(a1) một nửa
half,(a1) một nửa
half,(a1) một nửa
halfway,(c1) nửa chừng
hall,(a2) đại sảnh
halt,(c1) dừng lại
halt,(c1) dừng lại
hand,(a1) tay
hand,(b1) tay
handful,(c1) một số ít
handle,(b2) xử lý
handle,(b2) xử lý
handling,(c1) xử lý
handy,(c1) tiện dụng
hang,(b1) treo
happen,(a1) xảy ra
happily,(a2) hạnh phúc
happiness,(b1) hạnh phúc
happy,(a1) hạnh phúc
harassment,(c1) quấy rối
harbour,(b2) hải cảng
hard,(a1) cứng
hard,(a1) cứng
hardly,(b1) khó
hardware,(c1) phần cứng
harm,(b2) làm hại
harm,(b2) làm hại
harmful,(b2) có hại
harmony,(c1) sự hòa hợp
harsh,(c1) khắc nghiệt
harvest,(c1) thu hoạch
harvest,(c1) thu hoạch
hat,(a1) mũ
hate,(b1) ghét
hate,(a1) ghét
hatred,(c1) hận thù
haunt,(c1) ám ảnh
have,(a1) có
have,(a2) có
have to,(a1) phải
hazard,(c1) nguy hiểm
he,(a1) anh ấy
head,(a1) cái đầu
head,(b1) cái đầu
headache,(a2) đau đầu
headline,(b1) tiêu đề
headquarters,(b2) trụ sở chính
heal,(b2) chữa lành
health,(a1) sức khỏe
healthcare,(b2) chăm sóc sức khỏe
healthy,(a1) khỏe mạnh
hear,(a1) nghe thấy
hearing,(b2) thính giác
heart,(a2) trái tim
heat,(a2) nhiệt
heat,(a2) nhiệt
heating,(b1) sưởi ấm
heaven,(b2) thiên đường
heavily,(b1) nặng nề
heavy,(a2) nặng nề
heel,(b2) gót chân
height,(a2) chiều cao
heighten,(c1) nâng cao
helicopter,(b1) máy bay trực thăng
hell,(b2) địa ngục
hello,(a1) xin chào
hello,(a1) xin chào
helmet,(b2) mũ bảo hiểm
help,(a1) giúp đỡ
help,(a1) giúp đỡ
helpful,(a2) hữu ích
hence,(b2) do đó
her,(a1) cô ấy
her,(a1) cô ấy
herb,(b2) thảo dược
here,(a1) ở đây
heritage,(c1) di sản
hero,(a2) anh hùng
hers,(a2) của cô ấy
herself,(a2) bản thân cô ấy
hesitate,(b2) do dự
hey,(a1) này
hi,(a1) xin chào
hidden,(b2) ẩn giấu
hide,(a2) trốn
hierarchy,(c1) thứ bậc
high,(a1) cao
high,(a2) cao
high,(b2) cao
high-profile,(c1) cao cấp
highlight,(b1) đánh dấu
highlight,(b1) đánh dấu
highly,(b1) đánh giá cao
highway,(b2) đường cao tốc
hilarious,(b2) buồn cười
hill,(a2) đồi núi
him,(a1) anh ấy
himself,(a2) bản thân anh ấy
hint,(c1) gợi ý
hint,(c1) gợi ý
hip,(b2) hông
hire,(b2) thuê
hire,(b1) thuê
his,(a1) của anh ấy
his,(a2) của anh ấy
