Term,Definition
concerned,(b2) liên quan
concert,(a1) buổi hòa nhạc
concession,(c1) nhượng bộ
conclude,(b1) kết luận
conclusion,(b1) kết luận
concrete,(b2) bê tông
concrete,(b2) bê tông
condemn,(c1) lên án
condition,(a2) tình trạng
conduct,(b2) tiến hành
conduct,(b2) tiến hành
confer,(c1) ban cho
conference,(a2) hội nghị
confess,(b2) thú nhận
confession,(c1) sự xưng tội
confidence,(b2) sự tự tin
confident,(b1) tự tin
configuration,(c1) cấu hình
confine,(c1) hạn chế
confirm,(b1) xác nhận
confirmation,(c1) xác nhận
conflict,(b2) xung đột
conflict,(b2) xung đột
confront,(c1) đối đầu
confrontation,(c1) sự đối đầu
confuse,(b1) nhầm lẫn
confused,(b1) bối rối
confusing,(b2) khó hiểu
confusion,(b2) sự nhầm lẫn
congratulate,(c1) chúc mừng
congregation,(c1) hội chúng
congressional,(c1) quốc hội
connect,(a2) kết nối
connected,(a2) đã kết nối
connection,(b1) kết nối
conquer,(c1) chinh phục
conscience,(c1) lương tâm
conscious,(b2) có ý thức
consciousness,(c1) ý thức
consecutive,(c1) liên tiếp
consensus,(c1) sự đồng thuận
consent,(c1) sự đồng ý
consent,(c1) sự đồng ý
consequence,(b1) hậu quả
consequently,(b2) do đó
conservation,(b2) bảo tồn
conservative,(b2) bảo thủ
conservative,(b2) bảo thủ
conserve,(c1) bảo tồn
consider,(a2) xem xét
considerable,(b2) đáng kể
considerably,(b2) đáng kể
consideration,(b2) xem xét
consist,(b1) bao gồm
consistency,(c1) tính nhất quán
consistent,(b2) nhất quán
consistently,(b2) nhất quán
consolidate,(c1) củng cố
conspiracy,(b2) âm mưu
constant,(b2) hằng số
constantly,(b2) liên tục
constituency,(c1) khu vực bầu cử
constitute,(c1) cấu thành
constitution,(c1) hiến pháp
constitutional,(c1) hiến pháp
constraint,(c1) hạn chế
construct,(b2) xây dựng
construction,(b2) xây dựng
consult,(b2) tham khảo ý kiến
consultant,(b2) nhà tư vấn
consultation,(c1) tư vấn
consume,(b1) tiêu thụ
consumer,(b1) người tiêu dùng
consumption,(b2) tiêu dùng
contact,(b1) liên hệ
contact,(b1) liên hệ
contain,(a2) chứa đựng
container,(b1) thùng chứa
contemplate,(c1) suy ngẫm
contemporary,(b2) đương đại
contempt,(c1) khinh miệt
contend,(c1) tranh luận
contender,(c1) đối thủ
content,(c1) nội dung
content,(b1) nội dung
contention,(c1) sự tranh chấp
contest,(b2) cuộc thi
contest,(b2) cuộc thi
context,(a2) bối cảnh
continent,(a2) lục địa
continually,(c1) liên tục
continue,(a2) tiếp tục
continuous,(b1) liên tục
contract,(b2) hợp đồng
contract,(b2) hợp đồng
contractor,(c1) nhà thầu
contradiction,(c1) mâu thuẫn
contrary,(c1) trái ngược
contrary,(c1) trái ngược
contrast,(b1) độ tương phản
contrast,(b1) độ tương phản
contribute,(b2) đóng góp
contribution,(b2) đóng góp
contributor,(c1) người đóng góp
control,(a2) kiểm soát
control,(a2) kiểm soát
controversial,(b2) gây tranh cãi
controversy,(b2) tranh cãi
convenience,(b2) tiện lợi
convenient,(b1) thuận tiện
convention,(b2) quy ước
conventional,(b2) truyền thống
conversation,(a1) cuộc trò chuyện
conversion,(c1) chuyển đổi
convert,(b2) chuyển đổi
convey,(b2) truyền đạt
convict,(c1) kết án
conviction,(c1) niềm tin
convince,(b1) thuyết phục
convinced,(b2) bị thuyết phục
convincing,(b2) thuyết phục
cook,(a2) nấu ăn
cook,(a1) nấu ăn
cooker,(a2) nồi cơm điện
cooking,(a1) nấu ăn
cool,(a1) mát mẻ
cool,(b1) mát mẻ
cooperate,(c1) hợp tác
cooperative,(c1) hợp tác xã
coordinate,(c1) phối hợp
coordination,(c1) phối hợp
coordinator,(c1) điều phối viên
cop,(c1) cảnh sát
cope,(b2) đối phó
copper,(c1) đồng
copy,(a2) sao chép
copy,(a2) sao chép
copyright,(c1) bản quyền
core,(b2) cốt lõi
core,(b2) cốt lõi
corner,(a2) góc
corporate,(b2) công ty
corporation,(b2) tập đoàn
correct,(a1) đúng
correct,(a1) đúng
correction,(c1) sự sửa chữa
correctly,(a2) chính xác
correlate,(c1) tương quan
correlation,(c1) sự tương quan
