Term,Definition
clever,(a2) thông minh
click,(b1) bấm vào
click,(b1) bấm vào
client,(b1) khách hàng
cliff,(b2) vách đá
climate,(a2) khí hậu
climb,(b1) leo lên
climb,(a1) leo lên
cling,(c1) bám vào
clinic,(b2) phòng khám
clinical,(c1) lâm sàng
clip,(b2) cái kẹp
clock,(a1) đồng hồ
close,(a2) đóng
close,(b1) đóng
close,(b2) đóng
close,(a1) đóng
closed,(a2) đóng cửa
closely,(b2) chặt chẽ
closure,(c1) đóng cửa
cloth,(b1) vải
clothes,(a1) quần áo
clothing,(a2) quần áo
cloud,(a2) đám mây
club,(a1) câu lạc bộ
clue,(b1) đầu mối
cluster,(c1) cụm
coach,(a2) huấn luyện viên
coach,(b1) huấn luyện viên
coal,(b1) than đá
coalition,(c1) liên minh
coast,(a2) bờ biển
coastal,(c1) ven biển
coat,(a1) áo khoác
cocktail,(c1) nghĩa của từ cocktail
code,(a2) mã
coffee,(a1) cà phê
cognitive,(c1) nhận thức
coin,(b1) đồng xu
coincide,(c1) trùng hợp
coincidence,(b2) sự trùng hợp ngẫu nhiên
cold,(a1) lạnh
cold,(a1) lạnh
collaborate,(c1) cộng tác
collaboration,(c1) sự hợp tác
collapse,(b2) sụp đổ
collapse,(b2) sụp đổ
colleague,(a2) đồng nghiệp
collect,(a2) thu thập
collection,(b1) bộ sưu tập
collective,(c1) tập thể
collector,(b2) người sưu tầm
college,(a1) đại học
collision,(c1) va chạm
colonial,(c1) thuộc địa
colony,(b2) thuộc địa
colour,(a1) màu sắc
coloured,(b1) màu
colourful,(b2) đầy màu sắc
column,(a2) cột
columnist,(c1) người viết chuyên mục
combat,(c1) chiến đấu
combat,(c1) chiến đấu
combination,(b2) sự kết hợp
combine,(b1) kết hợp
come,(a1) đến
comedy,(a2) hài kịch
comfort,(b2) sự thoải mái
comfort,(b2) sự thoải mái
comfortable,(a2) thoải mái
comic,(b2) truyện tranh
comic,(b2) truyện tranh
command,(b2) lệnh
command,(b2) lệnh
commander,(b2) người chỉ huy
commence,(c1) bắt đầu
comment,(a2) bình luận
comment,(b1) bình luận
commentary,(c1) bình luận
commentator,(c1) người bình luận
commerce,(c1) thương mại
commercial,(b1) thương mại
commercial,(b1) thương mại
commission,(b2) hoa hồng
commission,(b2) hoa hồng
commissioner,(c1) ủy viên
commit,(b1) cam kết
commitment,(b2) cam kết
committee,(b2) ủy ban
commodity,(c1) hàng hóa
common,(a1) chung
commonly,(b2) thông thường
communicate,(a2) giao tiếp
communication,(b1) giao tiếp
communist,(c1) cộng sản
community,(a2) cộng đồng
companion,(c1) bạn đồng hành
company,(a1) công ty
comparable,(c1) so sánh được
comparative,(b2) so sánh
compare,(a1) so sánh
comparison,(b1) so sánh
compassion,(c1) lòng trắc ẩn
compel,(c1) ép buộc
compelling,(c1) thuyết phục
compensate,(c1) bù đắp
compensation,(c1) bồi thường
compete,(a2) cạnh tranh
competence,(c1) năng lực
competent,(c1) có thẩm quyền
competition,(a2) sự cạnh tranh
competitive,(b1) cạnh tranh
competitor,(b1) đối thủ cạnh tranh
compile,(c1) biên soạn
complain,(a2) phàn nàn
complaint,(b1) phàn nàn
complement,(c1) bổ sung
complete,(a1) hoàn thành
complete,(a1) hoàn thành
completely,(a2) hoàn toàn
completion,(b2) hoàn thành
complex,(b1) phức tạp
complex,(b2) phức tạp
complexity,(c1) sự phức tạp
compliance,(c1) tuân thủ
complicated,(b2) phức tạp
complication,(c1) sự phức tạp
comply,(c1) tuân thủ
component,(b2) thành phần
compose,(b2) soạn
composer,(b2) nhà soạn nhạc
composition,(c1) thành phần
compound,(b2) hợp chất
comprehensive,(b2) toàn diện
comprise,(b2) bao gồm
compromise,(c1) thỏa hiệp
compromise,(c1) thỏa hiệp
compulsory,(b2) bắt buộc
compute,(c1) tính toán
computer,(a1) máy tính
conceal,(c1) che giấu
concede,(c1) thừa nhận
conceive,(c1) thụ thai
concentrate,(b1) tập trung
concentration,(b2) sự tập trung
concept,(b2) khái niệm
conception,(c1) quan niệm
concern,(b2) mối quan tâm
concern,(b2) mối quan tâm
