Term,Definition
thirty,(a1) ba mươi
this,(b1) cái này
this,(a1) cái này
this,(a1) cái này
thorough,(b2) kỹ lưỡng
thoroughly,(b2) triệt để
though,(b1) mặc dù
though,(b1) mặc dù
thought,(a2) suy nghĩ
thought-provoking,(c1) kích thích tư duy
thoughtful,(c1) chu đáo
thousand,(a1) nghìn
thread,(c1) chủ đề
threat,(b2) mối đe dọa
threaten,(b2) đe dọa
three,(a1) ba
threshold,(c1) ngưỡng
thrilled,(c1) hồi hộp
thrive,(c1) phát triển mạnh
throat,(b1) cổ họng
through,(a1) thông qua
through,(a1) thông qua
throughout,(b1) xuyên suốt
throughout,(b1) xuyên suốt
throw,(a2) ném
thumb,(b2) ngón tay cái
thursday,(a1) thứ năm
thus,(b2) do đó
ticket,(a1) vé
tide,(c1) thủy triều
tidy,(a2) gọn gàng
tidy,(a2) gọn gàng
tie,(a2) cà vạt
tie,(a2) cà vạt
tight,(b1) chặt chẽ
tighten,(c1) thắt chặt
till,(b1) cho đến khi
till,(b1) cho đến khi
timber,(c1) gỗ
time,(a1) thời gian
time,(b2) thời gian
timely,(c1) kịp thời
timing,(b2) thời gian
tin,(b1) thiếc
tiny,(b1) nhỏ bé
tip,(a2) tiền boa
tip,(b1) tiền boa
tired,(a1) mệt mỏi
tissue,(b2) mô
title,(a1) tiêu đề
title,(b2) tiêu đề
to,(a1) đến
to,(a1) đến
tobacco,(c1) thuốc lá
today,(a1) hôm nay
today,(a1) hôm nay
toe,(b1) ngón chân
together,(a1) cùng với nhau
toilet,(a1) nhà vệ sinh
tolerance,(c1) khoan dung
tolerate,(c1) chịu đựng
toll,(c1) số điện thoại
tomato,(a1) cà chua
tomorrow,(a1) ngày mai
tomorrow,(a1) ngày mai
ton,(b2) tấn
tone,(b2) giai điệu
tongue,(b1) lưỡi
tonight,(a1) tối nay
tonight,(a1) tối nay
tonne,(b2) tấn
too,(a1) quá
tool,(a2) công cụ
tooth,(a1) răng
top,(a2) hàng đầu
top,(a2) hàng đầu
top,(c1) hàng đầu
topic,(a1) chủ đề
torture,(c1) tra tấn
torture,(c1) tra tấn
toss,(c1) quăng
total,(b1) tổng cộng
total,(b1) tổng cộng
total,(c1) tổng cộng
totally,(b1) hoàn toàn
touch,(b1) chạm vào
touch,(a2) chạm vào
tough,(b2) cứng rắn
tour,(a2) chuyến tham quan
tour,(b1) chuyến tham quan
tourism,(a2) du lịch
tourist,(a1) khách du lịch
tournament,(b2) giải đấu
towards,(a2) hướng tới
towel,(a2) khăn tắm
tower,(a2) tháp
town,(a1) thị trấn
toxic,(c1) chất độc
toy,(a2) đồ chơi
toy,(a2) đồ chơi
trace,(c1) dấu vết
trace,(b2) dấu vết
track,(a2) theo dõi
track,(b2) theo dõi
trade,(b1) buôn bán
trade,(b1) buôn bán
trademark,(c1) nhãn hiệu
trading,(b2) giao dịch
tradition,(a2) truyền thống
traditional,(a2) truyền thống
traffic,(a1) giao thông
tragedy,(b2) bi kịch
tragic,(b2) bi thảm
trail,(c1) dấu vết
trail,(c1) dấu vết
trailer,(c1) xe kéo
train,(a1) xe lửa
train,(a2) xe lửa
trainer,(a2) huấn luyện viên
training,(a2) đào tạo
trait,(b2) đặc điểm
transaction,(c1) giao dịch
transcript,(c1) bảng điểm
transfer,(b2) chuyển nhượng
transfer,(b2) chuyển nhượng
transform,(b2) biến đổi
transformation,(c1) sự biến đổi
transit,(c1) quá cảnh
transition,(b2) chuyển tiếp
translate,(b1) dịch
translation,(b1) dịch thuật
transmission,(c1) sự truyền tải
transmit,(b2) truyền tải
transparency,(c1) minh bạch
transparent,(c1) trong suốt
transport,(a2) vận chuyển
transport,(b1) vận chuyển
transportation,(b2) vận chuyển
trap,(b2) cái bẫy
trap,(b2) cái bẫy
trauma,(c1) chấn thương
travel,(a1) du lịch
travel,(a1) du lịch
traveller,(a2) du khách
treasure,(b2) kho báu
treat,(b1) đối xử
treatment,(b1) điều trị
treaty,(c1) hiệp ước
tree,(a1) cây
