Term,Definition
career,(a1) sự nghiệp
careful,(a2) cẩn thận
carefully,(a2) cẩn thận
careless,(b1) bất cẩn
cargo,(c1) hàng hóa
carpet,(a2) thảm
carriage,(c1) vận chuyển
carrot,(a1) cà rốt
carry,(a1) mang theo
cartoon,(a2) phim hoạt hình
carve,(c1) khắc
case,(a2) trường hợp
cash,(a2) tiền mặt
casino,(c1) sòng bạc
cast,(b2) đúc
cast,(b2) đúc
castle,(a2) lâu đài
casual,(b2) bình thường
casualty,(c1) tai nạn
cat,(a1) con mèo
catalogue,(c1) danh mục
catch,(b2) bắt
catch,(a2) bắt
category,(b1) thể loại
cater,(c1) phục vụ
cattle,(c1) gia súc
cause,(a2) nguyên nhân
cause,(a2) nguyên nhân
caution,(c1) thận trọng
cautious,(c1) thận trọng
cave,(b2) hang động
cd,(a1) đĩa cd
cease,(c1) chấm dứt
ceiling,(b1) trần nhà
celebrate,(a2) ăn mừng
celebration,(b1) lễ kỷ niệm
celebrity,(a2) người nổi tiếng
cell,(b2) tế bào
cemetery,(c1) nghĩa trang
cent,(a1) xu
central,(b1) trung tâm
centre,(a1) trung tâm
centre,(b1) trung tâm
century,(a1) thế kỷ
ceremony,(b1) buổi lễ
certain,(a2) nhất định
certainly,(a2) chắc chắn
certainty,(b2) sự chắc chắn
certificate,(b2) giấy chứng nhận
chain,(b1) chuỗi
chain,(b2) chuỗi
chair,(a1) cái ghế
chair,(b2) cái ghế
chairman,(b2) chủ tịch
challenge,(b1) thử thách
challenge,(b2) thử thách
challenging,(b2) đầy thử thách
chamber,(c1) buồng
champion,(b1) nhà vô địch
championship,(b2) chức vô địch
chance,(a2) cơ hội
change,(a1) thay đổi
change,(a1) thay đổi
channel,(b1) kênh
chaos,(c1) hỗn loạn
chapter,(b1) chương
character,(a2) nhân vật
characteristic,(b2) đặc trưng
characteristic,(b2) đặc trưng
characterize,(c1) mô tả đặc điểm
charge,(b1) tính phí
charge,(b1) tính phí
charity,(a2) từ thiện
charm,(c1) quyến rũ
charming,(b2) quyến rũ
chart,(a1) biểu đồ
chart,(b2) biểu đồ
charter,(c1) điều lệ
chase,(b2) đuổi theo
chase,(b2) đuổi theo
chat,(a2) trò chuyện
chat,(a2) trò chuyện
cheap,(a1) giá rẻ
cheap,(b1) giá rẻ
cheat,(b1) gian lận
cheat,(b1) gian lận
check,(a2) kiểm tra
check,(a1) kiểm tra
cheek,(b2) má
cheer,(b2) cổ vũ
cheer,(b2) cổ vũ
cheerful,(b1) vui vẻ
cheese,(a1) phô mai
chef,(a2) đầu bếp
chemical,(b1) hóa chất
chemical,(b1) hóa chất
chemistry,(a2) hóa học
chest,(b1) ngực
chicken,(a1) gà
chief,(b2) người đứng đầu
chief,(b2) người đứng đầu
child,(a1) đứa trẻ
childhood,(b1) tuổi thơ
chip,(a2) nghĩa của từ chip
chocolate,(a1) sô cô la
choice,(a2) sự lựa chọn
choir,(b2) dàn đồng ca
choose,(a1) chọn
chop,(b2) chặt
chronic,(c1) mãn tính
chunk,(c1) đoạn
church,(a2) nhà thờ
cigarette,(a2) thuốc lá
cinema,(a1) rạp chiếu phim
circle,(a2) vòng tròn
circle,(a2) vòng tròn
circuit,(b2) mạch điện
circulate,(c1) lưu thông
circulation,(c1) sự lưu thông
circumstance,(b2) hoàn cảnh
cite,(b2) trích dẫn
citizen,(b2) công dân
citizenship,(c1) quyền công dân
city,(a1) thành phố
civic,(c1) công dân
civil,(b2) dân sự
civilian,(c1) dân sự
civilian,(c1) dân sự
civilization,(b2) nền văn minh
claim,(b1) yêu sách
claim,(b1) yêu sách
clarify,(b2) làm rõ
clarity,(c1) sự rõ ràng
clash,(c1) xung đột
class,(a1) lớp học
classic,(b2) cổ điển
classic,(b2) cổ điển
classical,(a2) cổ điển
classification,(c1) phân loại
classify,(b2) phân loại
classroom,(a1) lớp học
clause,(b1) điều khoản
clean,(a1) sạch sẽ
clean,(a1) sạch sẽ
cleaning,dọn dẹp
clear,(a2) rõ ràng
clear,(b1) rõ ràng
clearly,(a2) rõ ràng
clerk,(b2) thư ký
