Term,Definition
correspond,(c1) tương ứng
correspondence,(c1) thư từ
correspondent,(c1) phóng viên
corresponding,(c1) tương ứng
corridor,(b2) hành lang
corrupt,(c1) tham nhũng
corruption,(c1) tham nhũng
cost,(a1) chi phí
cost,(a1) chi phí
costly,(c1) tốn kém
costume,(b1) trang phục
cottage,(b1) ngôi nhà nhỏ
cotton,(b1) bông
could,(a1) có thể
council,(b2) hội đồng
councillor,(c1) ủy viên hội đồng
counselling,(c1) tư vấn
counsellor,(c1) cố vấn
count,(b1) đếm
count,(a2) đếm
counter,(b2) quầy tính tiền
counter,(c1) quầy tính tiền
counterpart,(c1) đối tác
countless,(c1) vô số
country,(a1) đất nước
countryside,(b1) nông thôn
county,(b2) quận
coup,(c1) cuộc đảo chính
couple,(a2) cặp đôi
courage,(b2) lòng can đảm
course,(a1) khóa học
court,(b1) tòa án
courtesy,(c1) lịch sự
cousin,(a1) anh họ
cover,(b1) che
cover,(a2) che
coverage,(b2) bảo hiểm
covered,(b1) che phủ
cow,(a1) con bò
crack,(b2) vết nứt
crack,(b2) vết nứt
craft,(b2) thủ công
craft,(c1) thủ công
crash,(b2) tai nạn
crash,(b2) tai nạn
crawl,(c1) thu thập thông tin
crazy,(a2) điên rồ
cream,(b1) kem
cream,(a1) kem
create,(a1) tạo ra
creation,(b2) sự sáng tạo
creative,(a2) sáng tạo
creativity,(b2) sự sáng tạo
creator,(c1) người sáng tạo
creature,(b2) sinh vật
credibility,(c1) độ tin cậy
credible,(c1) đáng tin cậy
credit,(a2) tín dụng
credit,(b2) tín dụng
creep,(c1) leo
crew,(b2) phi hành đoàn
crime,(a2) tội ác
criminal,(b1) tội phạm
criminal,(a2) tội phạm
crisis,(b2) khủng hoảng
criterion,(b2) tiêu chí
critic,(b2) nhà phê bình
critical,(b2) quan trọng
critically,(b2) nghĩa của từ critically
criticism,(b2) chỉ trích
criticize,(b2) chỉ trích
critique,(c1) phê bình
crop,(b2) cắt xén
cross,(a2) chéo
cross,(a2) chéo
crowd,(a2) đám đông
crowded,(a2) đông đúc
crown,(c1) vương miện
crucial,(b2) quan trọng
crude,(c1) thô
cruel,(b1) độc ác
cruise,(b2) hành trình
cruise,(b2) hành trình
crush,(c1) nghiền nát
cry,(b2) khóc
cry,(a2) khóc
crystal,(c1) pha lê
cue,(b2) tín hiệu
cult,(c1) giáo phái
cult,(c1) giáo phái
cultivate,(c1) trồng trọt
cultural,(b1) văn hóa
culture,(a1) văn hóa
cup,(a1) cốc
cupboard,(a2) tủ đựng đồ
cure,(b2) chữa bệnh
cure,(b2) chữa bệnh
curiosity,(c1) sự tò mò
curious,(b2) tò mò
curly,(a2) xoăn
currency,(b1) tiền tệ
current,(b1) hiện tại
current,(b2) hiện tại
currently,(b1) hiện tại
curriculum,(b2) chương trình giảng dạy
curtain,(b1) rèm
curve,(b2) đường cong
curve,(b2) đường cong
curved,(b2) cong
custody,(c1) quyền giám hộ
custom,(b1) tùy chỉnh
customer,(a1) khách hàng
cut,(b1) cắt
cut,(a1) cắt
cute,(b2) dễ thương
cutting,(c1) cắt
cycle,(a2) chu kỳ
cycle,(a2) chu kỳ
cynical,(c1) hoài nghi
dad,(a1) bố
daily,(a2) hàng ngày
daily,(b1) hàng ngày
dairy,(b2) sữa
dairy,(b2) sữa
dam,(c1) con đập
damage,(b1) thiệt hại
damage,(b1) thiệt hại
damaging,(c1) gây tổn hại
dance,(a1) khiêu vũ
dance,(a1) khiêu vũ
dancer,(a1) vũ công
dancing,(a1) khiêu vũ
danger,(a2) nguy hiểm
dangerous,(a1) nguy hiểm
dare,(b2) dám
dark,(a1) tối
dark,(a2) tối
darkness,(b2) bóng tối
data,(a2) dữ liệu
database,(b2) cơ sở dữ liệu
date,(a1) ngày
date,(b2) ngày
daughter,(a1) con gái
dawn,(c1) bình minh
day,(a1) ngày
dead,(a2) đã chết
deadline,(b2) thời hạn
deadly,(b2) chết người
deal,(b1) thỏa thuận
