Term,Definition
mutual,(c1) lẫn nhau
my,(a1) của tôi
myself,(a2) bản thân tôi
mysterious,(b2) bí ẩn
mystery,(b1) bí ẩn
myth,(b2) huyền thoại
nail,(b1) móng tay
naked,(b2) khỏa thân
name,(a1) tên
name,(a1) tên
namely,(c1) cụ thể là
narrative,(b1) tường thuật
narrative,(b1) tường thuật
narrow,(a2) thu hẹp
narrow,(b2) thu hẹp
nasty,(b2) khó chịu
nation,(b1) quốc gia
national,(a2) quốc gia
national,(b2) quốc gia
nationwide,(c1) toàn quốc
native,(b1) bản xứ
native,(b1) bản xứ
natural,(a1) tự nhiên
naturally,(b1) một cách tự nhiên
nature,(a2) thiên nhiên
naval,(c1) hải quân
navigation,(b2) điều hướng
near,(a1) gần
near,(a1) gần
near,(a1) gần
nearby,(b2) gần đó
nearby,(b2) gần đó
nearly,(a2) gần như
neat,(b2) gọn gàng
necessarily,(b1) nhất thiết
necessary,(a2) cần thiết
necessity,(b2) sự cần thiết
neck,(a2) cái cổ
need,(a2) cần
need,(a1) cần
need,(b1) cần
needle,(b1) cây kim
negative,(a1) tiêu cực
negative,(b2) tiêu cực
neglect,(c1) bỏ bê
neglect,(c1) bỏ bê
negotiate,(b2) đàm phán
negotiation,(b2) đàm phán
neighbour,(a1) hàng xóm
neighbourhood,(b1) khu phố
neighbouring,(c1) láng giềng
neither,(b1) cũng không
neither,(a2) cũng không
neither,(a2) cũng không
nerve,(b2) dây thần kinh
nervous,(a2) lo lắng
nest,(c1) tổ
net,(c1) mạng lưới
net,(b1) mạng lưới
network,(a2) mạng lưới
neutral,(b2) trung tính
never,(a1) không bao giờ
nevertheless,(b2) tuy nhiên
new,(a1) mới
newly,(b2) mới
news,(a1) tin tức
newsletter,(c1) bản tin
newspaper,(a1) tờ báo
next,(a1) tiếp theo
next,(a1) tiếp theo
next,(b1) tiếp theo
next to,(a1) bên cạnh
nice,(a1) tốt đẹp
niche,(c1) hốc tường
night,(a1) đêm
nightmare,(b2) cơn ác mộng
nine,(a1) chín
nineteen,(a1) mười chín
ninety,(a1) chín mươi
no,(a1) không
no,(a1) không
no one,(a1) không có ai
noble,(c1) cao quý
nobody,(a1) không ai
nod,(c1) gật đầu
noise,(a2) tiếng ồn
noisy,(a2) ồn ào
nominate,(c1) đề cử
nomination,(c1) đề cử
nominee,(c1) người được đề cử
non-profit,(c1) phi lợi nhuận
none,(a2) không có
nonetheless,(c1) dù sao đi nữa
nonsense,(c1) điều vô lý
noon,(c1) buổi trưa
nor,(b1) cũng không
nor,(b1) cũng không
norm,(b2) chuẩn mực
normal,(a2) bình thường
normal,(b1) bình thường
normally,(a2) bình thường
north,(a1) phía bắc
north,(a1) phía bắc
north,(a1) phía bắc
northern,(b1) phương bắc
nose,(a1) mũi
not,(a1) không
notable,(c1) đáng chú ý
notably,(c1) đáng chú ý
note,(a1) ghi chú
note,(b1) ghi chú
notebook,(b2) sổ tay
nothing,(a1) không có gì
notice,(a2) thông báo
notice,(a2) thông báo
notify,(c1) thông báo
notion,(b2) quan niệm
notorious,(c1) khét tiếng
novel,(c1) tiểu thuyết
novel,(a2) tiểu thuyết
novelist,(b2) tiểu thuyết gia
november,(a1) tháng mười một
now,(a1) bây giờ
now,(b1) bây giờ
nowadays,(b2) ngày nay
nowhere,(a2) hư không
nuclear,(b1) hạt nhân
number,(a1) con số
number,(a2) con số
numerous,(b2) nhiều
nurse,(a1) y tá
nursery,(c1) vườn ươm
nursing,(b2) điều dưỡng
nut,(a2) hạt dẻ
nutrition,(b2) dinh dưỡng
o'clock,(a1) giờ
obesity,(b2) béo phì
obey,(b2) tuân theo
object,(a1) vật thể
object,(b2) vật thể
objection,(c1) phản đối
objective,(b2) mục tiêu
objective,(b2) mục tiêu
obligation,(b2) nghĩa vụ
oblige,(c1) bắt buộc
observation,(b2) quan sát
observe,(b2) quan sát
observer,(b2) người quan sát
obsess,(c1) ám ảnh
