Term,Definition
storm,(a2) cơn bão
story,(a1) câu chuyện
straight,(a2) thẳng
straight,(a2) thẳng
straightforward,(c1) thẳng thắn
strain,(c1) căng thẳng
strand,(c1) sợi dây
strange,(a2) kỳ lạ
stranger,(b1) người lạ
strategic,(c1) chiến lược
strategy,(a2) chiến lược
stream,(b2) suối
street,(a1) đường phố
strength,(b1) sức mạnh
strengthen,(b2) tăng cường
stress,(a2) căng thẳng
stress,(a2) căng thẳng
stretch,(b2) căng ra
stretch,(b2) căng ra
strict,(b2) nghiêm khắc
strictly,(b2) nghiêm ngặt
strike,(b2) đình công
strike,(b2) đình công
striking,(c1) nổi bật
string,(b1) chuỗi
strip,(c1) dải
strip,(c1) dải
strive,(c1) phấn đấu
stroke,(b2) đột quỵ
strong,(a1) mạnh mẽ
strongly,(b1) mạnh mẽ
structural,(c1) cấu trúc
structure,(a2) cấu trúc
structure,(b2) cấu trúc
struggle,(b2) đấu tranh
struggle,(b2) đấu tranh
student,(a1) sinh viên
studio,(b1) phòng thu
study,(a1) học tập
study,(a1) học tập
stuff,(b1) thứ
stuff,(b2) thứ
stumble,(c1) vấp ngã
stun,(c1) choáng váng
stunning,(b2) tuyệt đẹp
stupid,(a2) ngu ngốc
style,(a1) phong cách
subject,(b2) chủ đề
subject,(a1) chủ đề
submission,(c1) trình
submit,(b2) nộp
subscriber,(c1) người đăng ký
subscription,(c1) đăng ký
subsequent,(b2) tiếp theo
subsequently,(b2) sau đó
subsidy,(c1) trợ cấp
substance,(b1) chất
substantial,(c1) đáng kể
substantially,(c1) đáng kể
substitute,(c1) thay thế
substitute,(c1) thay thế
substitution,(c1) thay thế
subtle,(c1) tinh tế
suburb,(b2) ngoại ô
suburban,(c1) ngoại ô
succeed,(a2) thành công
success,(a1) sự thành công
successful,(a2) thành công
successfully,(b1) thành công
succession,(c1) sự kế thừa
successive,(c1) liên tiếp
successor,(c1) người kế vị
such,(a2) như vậy
such,(a2) như vậy
suck,(c1) hút
sudden,(b1) đột ngột
suddenly,(a2) đột nhiên
sue,(c1) kiện
suffer,(b1) đau khổ
suffering,(b2) đau khổ
sufficient,(b2) đủ
sufficiently,(b2) đủ
sugar,(a1) đường
suggest,(a2) đề nghị
suggestion,(a2) gợi ý
suicide,(c1) tự sát
suit,(a2) bộ đồ
suit,(b1) bộ đồ
suitable,(b1) phù hợp
suite,(c1) bộ
sum,(b2) tổng hợp
sum,(b2) tổng hợp
summarize,(b1) tóm tắt
summary,(b1) tóm tắt
summer,(a1) mùa hè
summit,(c1) đỉnh cao
sun,(a1) mặt trời
sunday,(a1) chủ nhật
super,(b2) siêu
superb,(c1) tuyệt vời
superior,(c1) cấp trên
supermarket,(a1) siêu thị
supervise,(c1) giám sát
supervision,(c1) giám sát
supervisor,(c1) người giám sát
supplement,(c1) bổ sung
supplement,(c1) bổ sung
supply,(b1) cung cấp
supply,(b1) cung cấp
support,(a2) hỗ trợ
support,(a2) hỗ trợ
supporter,(b1) người ủng hộ
supportive,(c1) hỗ trợ
suppose,(a2) giả sử
supposedly,(c1) được cho là
suppress,(c1) đàn áp
supreme,(c1) tối cao
sure,(a1) chắc chắn rồi
sure,(a2) chắc chắn rồi
surely,(b1) chắc chắn
surface,(b1) bề mặt
surge,(c1) dâng trào
surge,(c1) dâng trào
surgeon,(b2) bác sĩ phẫu thuật
surgery,(b2) phẫu thuật
surgical,(c1) phẫu thuật
surplus,(c1) dư thừa
surprise,(a2) ngạc nhiên
surprise,(a2) ngạc nhiên
surprised,(a2) ngạc nhiên
surprising,(a2) đáng ngạc nhiên
surrender,(c1) đầu hàng
surround,(b2) bao quanh
surrounding,(b2) xung quanh
surveillance,(c1) giám sát
survey,(a2) khảo sát
survey,(b2) khảo sát
survival,(b2) sự sống còn
survive,(b1) sống sót
survivor,(b2) người sống sót
suspect,(b2) nghi ngờ
suspect,(b2) nghi ngờ
suspend,(b2) đình chỉ
suspension,(c1) đình chỉ
suspicion,(c1) sự nghi ngờ
suspicious,(c1) nghi ngờ
sustain,(c1) duy trì
sustainable,(b2) bền vững
swallow,(b2) nuốt
