Term,Definition
sort,(b1) sắp xếp
soul,(b2) linh hồn
sound,(c1) âm thanh
sound,(a1) âm thanh
sound,(a1) âm thanh
soup,(a1) súp
source,(a2) nguồn
south,(a1) miền nam
south,(a1) miền nam
south,(a1) miền nam
southern,(b1) miền nam
sovereignty,(c1) chủ quyền
space,(a1) không gian
spam,(c1) thư rác
span,(c1) nhịp
span,(c1) nhịp
spare,(b2) dự phòng
spare,(c1) dự phòng
spark,(c1) tia lửa
speak,(a1) nói
speaker,(a2) loa
special,(a1) đặc biệt
specialist,(b2) chuyên gia
specialist,(b2) chuyên gia
specialize,(b2) chuyên môn hóa
specialized,(c1) chuyên ngành
species,(b2) loài
specific,(a2) cụ thể
specifically,(b1) cụ thể
specification,(c1) đặc điểm kỹ thuật
specify,(b2) chỉ định
specimen,(c1) mẫu vật
spectacle,(c1) cảnh tượng
spectacular,(b2) ngoạn mục
spectator,(b2) khán giả
spectrum,(c1) quang phổ
speculate,(b2) suy đoán
speculation,(b2) suy đoán
speech,(a2) lời nói
speed,(a2) tốc độ
speed,(b2) tốc độ
spell,(c1) đánh vần
spell,(a1) đánh vần
spelling,(a1) đánh vần
spend,(a1) chi tiêu
spending,(b1) chi tiêu
sphere,(c1) quả cầu
spice,(b2) gia vị
spicy,(b1) vị cay
spider,(a2) nhện
spill,(b2) đổ tràn
spin,(c1) quay
spin,(c1) quay
spine,(c1) cột sống
spirit,(b1) tinh thần
spiritual,(b2) tinh thần
spite,(b2) bất chấp
split,(b2) chia đôi
split,(b2) chia đôi
spoil,(b2) làm hỏng
spoken,(b1) nói
spokesman,(b2) người phát ngôn
spokesperson,(b2) người phát ngôn
spokeswoman,(b2) người phát ngôn
sponsor,(b2) nhà tài trợ
sponsor,(b2) nhà tài trợ
sponsorship,(b2) tài trợ
spoon,(a2) cái thìa
sport,(a1) thể thao
sporting,(b2) thể thao
spot,(b1) chỗ
spot,(b2) chỗ
spotlight,(c1) ánh đèn sân khấu
spouse,(c1) vợ/chồng
spread,(b2) lây lan
spread,(b1) lây lan
spring,(a1) mùa xuân
spring,(b2) mùa xuân
spy,(c1) điệp viên
spy,(c1) điệp viên
squad,(c1) đội hình
square,(a2) hình vuông
square,(a2) hình vuông
squeeze,(c1) bóp
stab,(c1) đâm
stability,(c1) sự ổn định
stabilize,(c1) ổn định
stable,(b2) ổn định
stadium,(b1) sân vận động
staff,(b1) nhân viên
stage,(a2) sân khấu
stage,(b2) sân khấu
stair,(a2) cầu thang
stake,(c1) cổ phần
stall,(b2) gian hàng
stamp,(a2) tem
stance,(b2) lập trường
stand,(b2) đứng
stand,(a1) đứng
standard,(b1) tiêu chuẩn
standard,(b1) tiêu chuẩn
standing,(c1) đứng
star,(a1) ngôi sao
star,(a2) ngôi sao
stare,(b2) nhìn chằm chằm
stark,(c1) khắc nghiệt
start,(a2) bắt đầu
start,(a1) bắt đầu
starve,(b2) chết đói
state,(b1) tiểu bang
state,(a2) tiểu bang
state,(b1) tiểu bang
statement,(a1) tuyên bố
station,(a1) trạm
statistic,(b1) thống kê
statistical,(c1) thống kê
statue,(b1) bức tượng
status,(b2) trạng thái
stay,(a2) ở lại
stay,(a1) ở lại
steadily,(b2) đều đặn
steady,(b2) ổn định
steal,(a2) ăn trộm
steam,(b2) hơi nước
steel,(b2) thép
steep,(b2) dốc
steer,(c1) chỉ đạo
stem,(c1) thân cây
stem,(c1) thân cây
step,(a2) bước
step,(b2) bước
stereotype,(c1) khuôn mẫu
stick,(b1) cây gậy
stick,(b1) cây gậy
sticky,(b2) dính
stiff,(b2) cứng nhắc
still,(b1) vẫn còn
still,(a1) vẫn còn
stimulate,(b2) kích thích
stimulus,(c1) sự kích thích
stir,(c1) khuấy động
stock,(b2) kho
stomach,(a2) dạ dày
stone,(a2) cục đá
stop,(a1) dừng lại
stop,(a1) dừng lại
storage,(c1) lưu trữ
store,(a2) cửa hàng
store,(b1) cửa hàng
