Term,Definition
artificial intelligence,trí tuệ nhân tạo
machine learning,học máy
neural network,mạng nơ-ron nhân tạo
deep learning,học sâu
big data,dữ liệu lớn
predictive model,mô hình dự đoán
natural language processing,xử lý ngôn ngữ tự nhiên
computer vision,thị giác máy tính
reinforcement learning,học tăng cường
supervised learning,học có giám sát
unsupervised learning,học không giám sát
data mining,khai phá dữ liệu
overfitting,hiện tượng quá khớp mô hình
hyperparameter,siêu tham số thuật toán
regression,phép phân tích hồi quy
clustering,thuật toán phân cụm
sentiment analysis,phân tích cảm xúc dữ liệu
chatbot,robot trò chuyện tự động
automation,sự tự động hóa quy trình
data visualization,trực quan hóa dữ liệu
