Term,Definition
memo,(c1) bản ghi nhớ
memoir,(c1) hồi ký
memorable,(b2) đáng nhớ
memorial,(c1) đài tưởng niệm
memory,(a2) trí nhớ
mental,(b1) tinh thần
mention,(b1) đề cập đến
mention,(a2) đề cập đến
mentor,(c1) người hướng dẫn
menu,(a1) thực đơn
merchant,(c1) thương gia
mercy,(c1) lòng thương xót
mere,(c1) chỉ
merely,(c1) chỉ đơn thuần là
merge,(c1) hợp nhất
merger,(c1) sáp nhập
merit,(c1) công đức
mess,(b1) lộn xộn
message,(a1) tin nhắn
metal,(a2) kim loại
metaphor,(b2) ẩn dụ
method,(a2) phương pháp
methodology,(c1) phương pháp luận
metre,(a1) mét
middle,(a2) ở giữa
middle,(a2) ở giữa
midnight,(a1) nửa đêm
midst,(c1) ở giữa
might,(a2) có thể
migration,(c1) di cư
mild,(b1) nhẹ nhàng
mile,(a1) dặm
militant,(c1) dân quân
militant,(c1) dân quân
military,(b2) quân sự
military,(b2) quân sự
militia,(c1) dân quân
milk,(a1) sữa
mill,(c1) cối xay
million,(a1) triệu
mind,(a2) tâm trí
mind,(a2) tâm trí
mine,(b1) của tôi
mine,(a2) của tôi
miner,(b2) thợ mỏ
mineral,(b2) khoáng sản
minimal,(c1) tối thiểu
minimize,(c1) giảm thiểu
minimum,(b2) tối thiểu
minimum,(b2) tối thiểu
mining,(c1) khai thác mỏ
minister,(b2) bộ trưởng
ministry,(c1) bộ
minor,(b2) thứ yếu
minority,(b2) thiểu số
minute,(c1) phút
minute,(a1) phút
miracle,(c1) phép lạ
mirror,(a2) gương
miserable,(b2) khốn khổ
misery,(c1) khốn khổ
misleading,(c1) gây hiểu lầm
miss,(a1) nhớ
missile,(c1) tên lửa
missing,(a2) mất tích
mission,(b2) sứ mệnh
mistake,(a1) sai lầm
mistake,(b2) sai lầm
mix,(b1) trộn
mix,(b1) trộn
mixed,(b2) hỗn hợp
mixture,(b1) hỗn hợp
mob,(c1) đám đông
mobile,(a2) di động
mobile,(a2) di động
mobility,(c1) tính di động
mobilize,(c1) huy động
mode,(b2) chế độ
model,(a1) người mẫu
model,(b2) người mẫu
moderate,(c1) vừa phải
modern,(a1) hiện đại
modest,(b2) khiêm tốn
modification,(c1) sửa đổi
modify,(b2) sửa đổi
moment,(a1) khoảnh khắc
momentum,(c1) đà
monday,(a1) thứ hai
money,(a1) tiền bạc
monitor,(b2) màn hình
monitor,(b2) màn hình
monk,(c1) nhà sư
monkey,(a2) khỉ
monopoly,(c1) độc quyền
monster,(b2) quái vật
month,(a1) tháng
monthly,(b2) hàng tháng
monument,(b2) tượng đài
mood,(b1) tâm trạng
moon,(a2) mặt trăng
moral,(b2) đạo đức
moral,(b2) đạo đức
morality,(c1) đạo đức
more,(a1) hơn thế nữa
more,(a1) hơn thế nữa
more,(a1) hơn thế nữa
moreover,(b2) hơn nữa
morning,(a1) buổi sáng
mortgage,(b2) thế chấp
mosque,(b2) nhà thờ hồi giáo
most,(a1) nhất
most,(a1) nhất
most,(a1) nhất
mostly,(a2) chủ yếu
mother,(a1) mẹ
motion,(b2) chuyển động
motivate,(b2) động viên
motivation,(b2) động lực
motive,(c1) động cơ
motor,(b2) động cơ
motor,(b2) động cơ
motorcycle,(a2) xe gắn máy
motorist,(c1) người lái xe ô tô
mount,(b2) gắn kết
mountain,(a1) núi
mouse,(a1) chuột
mouth,(a1) miệng
move,(b1) di chuyển
move,(a1) di chuyển
movement,(a2) chuyển động
movie,(a1) phim
moving,(b2) di chuyển
much,(a1) nhiều
much,(a1) nhiều
much,(a1) nhiều
mud,(b1) bùn
multiple,(b2) nhiều
multiply,(b2) nhân lên
mum,(a1) mẹ
municipal,(c1) thành phố
murder,(b1) giết người
murder,(b1) giết người
muscle,(b1) cơ bắp
museum,(a1) viện bảo tàng
music,(a1) âm nhạc
musical,(a2) âm nhạc
musical,(b1) âm nhạc
musician,(a2) nhạc sĩ
must,(a1) phải
