Term,Definition
revenue,tổng doanh thu
profit margin,biên độ lợi nhuận
expenditure,khoản chi phí bỏ ra
inflation,tình trạng lạm phát
deflation,tình trạng giảm phát
dividend,cổ tức chi trả cho cổ đông
collateral,tài sản bảo đảm thế chấp
depreciation,sự khấu hao tài sản theo thời gian
liquidity,tính thanh khoản tiền mặt
portfolio,danh mục đầu tư tài chính
transaction,giao dịch chuyển tiền
audit,sự kiểm toán sổ sách
recession,cuộc suy thoái kinh tế
fiscal,"thuộc về tài khóa, ngân sách nhà nước"
liability,khoản nợ phải trả
equity,vốn chủ sở hữu
yield,tỷ suất sinh lời
brokerage,công ty môi giới chứng khoán
default,"sự vỡ nợ, mất khả năng thanh toán"
speculation,sự đầu cơ tài chính
