Term,Definition
methodology,phương pháp luận nghiên cứu
hypothesis,giả thuyết khoa học
qualitative,thuộc phương pháp định tính
quantitative,thuộc phương pháp định lượng
peer review,sự bình duyệt phản biện chuyên gia
citation,sự trích dẫn nguồn học thuật
plagiarism,hành vi đạo văn
empirical,dựa trên bằng chứng thực nghiệm
dissertation,luận văn tiến sĩ/thạc sĩ
abstract,bản tóm tắt bài báo nghiên cứu
literature review,tổng quan tài liệu nghiên cứu
correlation,mối tương quan giữa các biến
causation,mối quan hệ nhân quả
framework,khung lý thuyết mô hình
validity,"độ chuẩn xác, tính hợp lệ"
reliability,độ tin cậy của số liệu
sample size,quy mô kích thước mẫu khảo sát
ethics,đạo đức trong nghiên cứu khoa học
synthesis,sự tổng hợp nhiều luồng ý kiến
paradigm,"hệ hình, khuôn mẫu tư duy"
