Term,Definition
wheel,(a2) bánh xe
when,(a1) khi nào
when,(a1) khi nào
when,(a1) khi nào
whenever,(b1) bất cứ khi nào
where,(a1) ở đâu
where,(a1) ở đâu
whereas,(b2) trong khi đó
whereby,(c1) theo đó
wherever,(b2) bất cứ nơi nào
whether,(b1) liệu
which,(a1) cái nào
which,(a1) cái nào
while,(a2) trong khi
while,(b1) trong khi
whilst,(c1) trong khi
whip,(c1) roi da
whisper,(b2) thì thầm
whisper,(b2) thì thầm
white,(a1) trắng
white,(a1) trắng
who,(a1) ai
whoever,(b2) bất cứ ai
whole,(a2) toàn bộ
whole,(b1) toàn bộ
wholly,(c1) hoàn toàn
whom,(b2) ai
whose,(a2) của ai
whose,(a2) của ai
why,(a1) tại sao
wide,(a2) rộng
widely,(b2) rộng rãi
widen,(c1) mở rộng
widespread,(b2) rộng rãi
widow,(c1) góa phụ
width,(c1) chiều rộng
wife,(a1) vợ
wild,(a2) hoang dã
wildlife,(b2) động vật hoang dã
will,(b1) sẽ
will,(a1) sẽ
willing,(b2) sẵn sàng
willingness,(c1) sự sẵn lòng
win,(b1) thắng
win,(a1) thắng
wind,(a2) gió
wind,(b2) gió
window,(a1) cửa sổ
wine,(a1) rượu nho
wing,(b1) cánh
winner,(a2) người chiến thắng
winter,(a1) mùa đông
wipe,(c1) lau
wire,(b2) dây điện
wisdom,(b2) trí tuệ
wise,(b2) khôn ngoan
wish,(a2) ước gì
wish,(a2) ước gì
wit,(c1) trí thông minh
with,(a1) với
withdraw,(b2) rút tiền
withdrawal,(c1) rút tiền
within,(b1) bên trong
without,(a1) không có
witness,(b2) nhân chứng
witness,(b2) nhân chứng
woman,(a1) người phụ nữ
wonder,(b1) thắc mắc
wonder,(b1) thắc mắc
wonderful,(a1) tuyệt vời
wood,(a2) gỗ
wooden,(a2) bằng gỗ
wool,(b1) len
word,(a1) từ
work,(a1) làm việc
work,(a1) làm việc
worker,(a1) công nhân
workforce,(b2) lực lượng lao động
working,(a2) đang làm việc
workout,(c1) tập luyện
workplace,(b2) nơi làm việc
workshop,(b2) xưởng
world,(a1) thế giới
worldwide,(b1) trên toàn thế giới
worldwide,(b1) trên toàn thế giới
worm,(b2) con sâu
worried,(a2) lo lắng
worry,(b1) lo lắng
worry,(a2) lo lắng
worse,(a2) tệ hơn
worse,(b1) tệ hơn
worse,(b2) tệ hơn
worship,(c1) tôn sùng
worship,(c1) tôn sùng
worst,(a2) tệ nhất
worst,(b1) tệ nhất
worst,(b2) tệ nhất
worth,(b1) giá trị
worth,(b2) giá trị
worthwhile,(c1) đáng giá
worthy,(c1) xứng đáng
would,(a1) sẽ
wound,(b2) vết thương
wound,(b2) vết thương
wow,(a2) ôi
wrap,(b2) bọc
wrist,(b2) cổ tay
write,(a1) viết
writer,(a1) nhà văn
writing,(a1) viết
written,(b1) bằng văn bản
wrong,(a1) sai
wrong,(b1) sai
wrong,(b2) sai
yard,(b1) sân
yeah,(a1) vâng
year,(a1) năm
yell,(c1) hét lên
yellow,(a1) màu vàng
yellow,(a1) màu vàng
yes,(a1) vâng
yesterday,(a1) hôm qua
yesterday,(a1) hôm qua
yet,(a2) chưa
yet,(b2) chưa
yield,(c1) năng suất
yield,(c1) năng suất
you,(a1) bạn
young,(a1) trẻ
young,(b1) trẻ
youngster,(c1) người trẻ tuổi
your,(a1) của bạn
yours,(a2) của bạn
yourself,(a1) chính bạn
youth,(b1) tuổi trẻ
zero,(a2) không
zone,(b2) vùng
