Term,Definition
file,(b2) tập tin
fill,(a1) điền vào
film,(a1) phim ảnh
film,(a2) phim ảnh
film-maker,(c1) người làm phim
filter,(c1) bộ lọc
filter,(c1) bộ lọc
final,(a1) cuối cùng
final,(a2) cuối cùng
finally,(a2) cuối cùng
finance,(b2) tài chính
finance,(b2) tài chính
financial,(b1) tài chính
find,(a1) tìm thấy
finding,(b2) tìm thấy
fine,(a1) ổn
fine,(c1) ổn
fine,(c1) ổn
finger,(a2) ngón tay
finish,(a2) kết thúc
finish,(a1) kết thúc
fire,(a1) ngọn lửa
fire,(b1) ngọn lửa
firearm,(c1) súng cầm tay
firefighter,(b2) lính cứu hỏa
firework,(b2) pháo hoa
firm,(b2) chắc chắn
firm,(b2) chắc chắn
firmly,(b2) vững chắc
first,(a1) đầu tiên
first,(a1) đầu tiên
first,(a2) đầu tiên
first,(a1) đầu tiên
firstly,(a2) đầu tiên
fish,(a1) cá
fish,(a2) cá
fishing,(a2) câu cá
fit,(a2) phù hợp
fit,(c1) phù hợp
fit,(a2) phù hợp
fitness,(b1) thể dục
five,(a1) năm
fix,(b2) sửa chữa
fix,(a2) sửa chữa
fixed,(b1) đã sửa
fixture,(c1) vật cố định
flag,(b1) cờ
flame,(b2) ngọn lửa
flash,(b2) đèn flash
flash,(b2) đèn flash
flat,(a2) bằng phẳng
flat,(a1) bằng phẳng
flavour,(b2) hương vị
flaw,(c1) khiếm khuyết
flawed,(c1) thiếu sót
flee,(c1) chạy trốn
fleet,(c1) hạm đội
flesh,(c1) thịt
flexibility,(c1) tính linh hoạt
flexible,(b2) linh hoạt
flight,(a1) chuyến bay
float,(b2) phao
flood,(b1) lũ lụt
flood,(b1) lũ lụt
floor,(a1) sàn nhà
flour,(b1) bột mì
flourish,(c1) phát triển mạnh mẽ
flow,(b1) dòng chảy
flow,(b1) dòng chảy
flower,(a1) hoa
flu,(a2) cúm
fluid,(c1) chất lỏng
fly,(a2) bay
fly,(a1) bay
flying,(a2) bay
flying,(a2) bay
focus,(a2) tiêu điểm
focus,(a2) tiêu điểm
fold,(b2) gấp lại
fold,(b1) gấp lại
folding,(b2) gấp
folk,(b1) dân gian
folk,(b1) dân gian
follow,(a1) theo dõi
following,(a2) theo dõi
following,(b1) theo dõi
following,(b2) theo dõi
fond,(b2) thích
food,(a1) thức ăn
fool,(b2) ngu ngốc
foot,(a1) chân
footage,(c1) cảnh quay
football,(a1) bóng đá
for,(a1) cho
forbid,(b2) cấm
force,(b1) lực lượng
force,(b1) lực lượng
forecast,(b2) dự báo
forecast,(b2) dự báo
foreign,(a2) nước ngoài
foreigner,(c1) người nước ngoài
forest,(a2) rừng
forever,(b1) mãi mãi
forge,(c1) rèn
forget,(a1) quên
forgive,(b2) tha thứ
fork,(a2) cái nĩa
form,(a1) hình thức
form,(a1) hình thức
formal,(a2) chính thức
format,(b2) định dạng
formation,(b2) sự hình thành
former,(b2) trước đây
formerly,(b2) trước đây
formula,(c1) công thức
formulate,(c1) xây dựng
forth,(c1) ra
forthcoming,(c1) sắp tới
fortunate,(b2) may mắn
fortunately,(a2) may mắn thay
fortune,(b2) vận may
forty,(a1) bốn mươi
forum,(b2) diễn đàn
forward,(b2) phía trước
forward,(a2) phía trước
fossil,(b2) hóa thạch
foster,(c1) nuôi dưỡng
found,(b2) tìm thấy
foundation,(b2) nền móng
founder,(b2) người sáng lập
four,(a1) bốn
fourteen,(a1) mười bốn
fourth,(a1) thứ tư
fraction,(b2) phân số
fragile,(c1) mong manh
fragment,(b2) mảnh vỡ
frame,(b1) khung
frame,(b1) khung
framework,(b2) khuôn khổ
franchise,(c1) nhượng quyền thương mại
frankly,(c1) thẳng thắn
fraud,(b2) gian lận
free,(a1) miễn phí
free,(a2) miễn phí
free,(b2) miễn phí
freedom,(b2) sự tự do
freely,(b2) tự do
freeze,(b1) đóng băng
frequency,(b2) tần số
