Term,Definition
dress,(a1) ăn mặc
dress,(a1) ăn mặc
dressed,(b1) mặc quần áo
drift,(c1) trôi dạt
drink,(a1) uống
drink,(a1) uống
drive,(a2) lái xe
drive,(a1) lái xe
driver,(a1) người lái xe
driving,(c1) lái xe
driving,(a2) lái xe
drop,(b1) thả
drop,(a2) thả
drought,(b2) hạn hán
drown,(c1) chết đuối
drug,(a2) thuốc
drum,(b1) trống
drunk,(b1) say rượu
dry,(a2) khô
dry,(a2) khô
dual,(c1) kép
dub,(c1) lồng tiếng
due,(b1) đến hạn
dull,(b2) đần độn
dumb,(c1) câm
dump,(b2) đổ
duo,(c1) bộ đôi
duration,(b2) thời lượng
during,(a1) trong thời gian
dust,(b1) bụi bặm
duty,(b1) nghĩa vụ
dvd,(a1) đĩa dvd
dynamic,(b2) năng động
dynamic,(c1) năng động
each,(a1) mỗi
each,(a1) mỗi
each,(a1) mỗi
eager,(c1) háo hức
ear,(a1) tai
early,(a1) sớm
early,(a1) sớm
earn,(a2) kiếm tiền
earnings,(c1) thu nhập
earth,(a2) trái đất
earthquake,(b1) trận động đất
ease,(c1) dễ dàng
ease,(c1) dễ dàng
easily,(a2) dễ dàng
east,(a1) phía đông
east,(a1) phía đông
east,(a1) phía đông
eastern,(b1) phương đông
easy,(a1) dễ dàng
eat,(a1) ăn
echo,(c1) tiếng vọng
echo,(c1) tiếng vọng
ecological,(c1) sinh thái
economic,(b1) kinh tế
economics,(b2) kinh tế
economist,(b2) nhà kinh tế học
economy,(b1) kinh tế
edge,(b1) cạnh
edit,(b2) chỉnh sửa
edition,(b2) ấn bản
editor,(b1) biên tập viên
editorial,(b2) biên tập
educate,(b1) giáo dục
educated,(b1) có học thức
education,(a2) giáo dục
educational,(b1) giáo dục
educator,(c1) nhà giáo dục
effect,(a2) hiệu ứng
effective,(b1) hiệu quả
effectively,(b1) một cách hiệu quả
effectiveness,(c1) hiệu quả
efficiency,(c1) hiệu quả
efficient,(b2) hiệu quả
efficiently,(b2) hiệu quả
effort,(b1) nỗ lực
egg,(a1) quả trứng
ego,(c1) cái tôi
eight,(a1) tám
eighteen,(a1) mười tám
eighty,(a1) tám mươi
either,(a2) hoặc là
either,(a2) hoặc là
either,(a2) hoặc là
elaborate,(c1) tỉ mỉ
elbow,(b2) khuỷu tay
elderly,(b2) người già
elect,(b2) bầu cử
election,(b1) cuộc bầu cử
electoral,(c1) bầu cử
electric,(a2) điện
electrical,(a2) điện
electricity,(a2) điện
electronic,(a2) điện tử
electronics,(b2) thiết bị điện tử
elegant,(b2) thanh lịch
element,(b1) phần tử
elementary,(b2) tiểu học
elephant,(a1) con voi
elevate,(c1) nâng cao
eleven,(a1) mười một
eligible,(c1) đủ điều kiện
eliminate,(b2) loại bỏ
elite,(c1) ưu tú
else,(a1) khác
elsewhere,(b2) nơi khác
email,(a1) nghĩa của từ email
email,(a1) nghĩa của từ email
embark,(c1) lên tàu
embarrassed,(b1) xấu hổ
embarrassing,(b1) đáng xấu hổ
embarrassment,(c1) bối rối
embassy,(c1) đại sứ quán
embed,(c1) nhúng
embody,(c1) hiện thân
embrace,(b2) ôm hôn
emerge,(b2) nổi lên
emergence,(c1) sự xuất hiện
emergency,(b1) trường hợp khẩn cấp
emission,(b2) khí thải
emotion,(b1) cảm xúc
emotional,(b2) cảm động
emotionally,(b2) về mặt cảm xúc
emphasis,(b2) sự nhấn mạnh
emphasize,(b2) nhấn mạnh
empire,(b2) đế chế
empirical,(c1) thực nghiệm
employ,(a2) tuyển dụng
employee,(a2) nhân viên
employer,(a2) chủ lao động
employment,(b1) việc làm
empower,(c1) trao quyền
empty,(a2) trống rỗng
empty,(b1) trống rỗng
enable,(b2) kích hoạt
enact,(c1) ban hành
encompass,(c1) bao gồm
encounter,(b2) gặp phải
encounter,(b2) gặp phải
encourage,(b1) khuyến khích
encouragement,(c1) sự khuyến khích
encouraging,(c1) đáng khích lệ
end,(a1) kết thúc
end,(a1) kết thúc
endeavour,(c1) nỗ lực
ending,(a2) kết thúc
