Term,Definition
symptom,triệu chứng bệnh
diagnosis,sự chẩn đoán bệnh
prescription,"đơn thuốc, toa thuốc"
epidemic,dịch bệnh lan rộng
immunity,hệ miễn dịch
chronic,"mãn tính, kéo dài"
vaccination,sự tiêm chủng vắc-xin
physician,bác sĩ điều trị nội khoa
therapy,liệu pháp chữa trị
pharmaceutical,thuộc ngành dược phẩm
inflammation,"chứng viêm, sưng tấy"
infection,sự nhiễm trùng
hypertension,bệnh cao huyết áp
insomnia,chứng mất ngủ
fatigue,"sự mệt mỏi, kiệt sức"
rehabilitation,sự phục hồi chức năng
sedentary,"ít vận động, ngồi nhiều"
allergy,sự dị ứng
syndrome,hội chứng bệnh
acute,"cấp tính, nguy kịch"
