Term,Definition
commute,quãng đường đi lại làm việc hàng ngày
congestion,sự ùn tắc giao thông
itinerary,lịch trình chuyến đi
terminal,"nhà ga sân bay, bến bãi"
boarding pass,thẻ lên máy bay
customs,khu vực hải quan kiểm soát
departure,giờ khởi hành
destination,điểm đến
transit,"sự quá cảnh, chuyển tiếp"
freight,hàng hóa vận chuyển
pedestrian,người đi bộ
locomotive,đầu máy xe lửa
aviation,ngành hàng không
navigation,sự định vị đường đi
vessel,tàu thủy lớn
fare,tiền vé tàu xe
collision,sự va chạm xe cộ
expressway,đường cao tốc
infrastructure,cơ sở hạ tầng
overhaul,"đại tu, sửa chữa lớn"
