Term,Definition
campaign,chiến dịch tiếp thị
brand loyalty,sự trung thành với thương hiệu
demographic,nhóm nhân khẩu học mục tiêu
endorsement,sự bảo chứng từ người nổi tiếng
consumerism,chủ nghĩa tiêu dùng
niche market,thị trường ngách
conversion rate,tỷ lệ chuyển đổi khách hàng
retention,sự giữ chân khách hàng cũ
commercial,mẩu quảng cáo truyền hình
slogan,khẩu hiệu thương hiệu
promotion,chương trình khuyến mãi
billboard,biển bảng quảng cáo ngoài trời
segmentation,sự phân khúc khách hàng
telemarketing,tiếp thị qua điện thoại
public relations,quan hệ công chúng (PR)
viral,lan truyền chóng mặt
metric,chỉ số đo lường hiệu quả
pitch,bài thuyết trình chào hàng
lead generation,tìm kiếm khách hàng tiềm năng
affiliate,tiếp thị liên kết
