Term,Definition
ah,(a2) à
ahead,(b1) phía trước
aid,(b2) viện trợ
aid,(b2) viện trợ
aide,(c1) phụ tá
aids,(b2) trợ giúp
aim,(b1) nhằm mục đích
aim,(b1) nhằm mục đích
air,(a1) không khí
aircraft,(b2) máy bay
airline,(a2) hãng hàng không
airport,(a1) sân bay
alarm,(b1) báo động
alarm,(b2) báo động
albeit,(c1) mặc dù
album,(b1) nghĩa của từ album
alcohol,(b1) rượu
alcoholic,(b1) rượu
alert,(c1) báo động
alert,(c1) báo động
alert,(c1) báo động
alien,(c1) người ngoài hành tinh
alien,(b2) người ngoài hành tinh
align,(c1) căn chỉnh
alignment,(c1) căn chỉnh
alike,(c1) giống nhau
alike,(c1) giống nhau
alive,(a2) còn sống
all,(a2) tất cả
all,(a1) tất cả
all,(a1) tất cả
all right,(a2) được rồi
all right,(a2) được rồi
all right,(a2) được rồi
allegation,(c1) lời cáo buộc
allege,(c1) cáo buộc
allegedly,(c1) được cho là
alliance,(c1) liên minh
allocate,(c1) phân bổ
allocation,(c1) phân bổ
allow,(a2) cho phép
allowance,(c1) trợ cấp
ally,(c1) đồng minh
almost,(a2) gần như
alone,(a2) một mình
alone,(a2) một mình
along,(a2) dọc theo
along,(a2) dọc theo
alongside,(b2) bên cạnh
already,(a2) rồi
also,(a1) cũng
alter,(b2) thay đổi
alternative,(b1) thay thế
alternative,(a2) thay thế
although,(a2) mặc dù
altogether,(b2) hoàn toàn
aluminium,(c1) nhôm
always,(a1) luôn luôn
amateur,(c1) nghiệp dư
amateur,(c1) nghiệp dư
amazed,(b1) ngạc nhiên
amazing,(a1) tuyệt vời
ambassador,(c1) đại sứ
ambition,(b1) tham vọng
ambitious,(b1) đầy tham vọng
ambulance,(b2) xe cứu thương
amend,(c1) sửa đổi
amendment,(c1) sửa đổi
amid,(c1) ở giữa
among,(a2) trong số
amount,(a2) số tiền
amount,(b2) số tiền
amusing,(b2) thú vị
analogy,(c1) sự tương tự
analyse,(b1) phân tích
analysis,(b1) phân tích
analyst,(b2) nhà phân tích
ancestor,(b2) tổ tiên
anchor,(c1) mỏ neo
ancient,(a2) cổ xưa
and,(a1) và
angel,(c1) thiên thần
anger,(b2) sự tức giận
angle,(b2) góc
angrily,giận dữ
angry,(a1) tức giận
animal,(a1) động vật
animation,(b2) hoạt hình
ankle,(a2) mắt cá chân
anniversary,(b2) ngày kỷ niệm
announce,(b1) thông báo
announcement,(b1) thông báo
annoy,(b1) làm phiền
annoyed,(b1) khó chịu
annoying,(b1) khó chịu
annual,(b2) hàng năm
annually,(b2) hàng năm
anonymous,(c1) vô danh
another,(a1) cái khác
another,(a1) cái khác
answer,(a1) câu trả lời
answer,(a1) câu trả lời
anticipate,(b2) đoán trước
anxiety,(b2) lo lắng
anxious,(b2) lo lắng
any,(a2) bất kỳ
any,(a1) bất kỳ
any,(a1) bất kỳ
any more,(a2) nữa
anybody,(a2) bất cứ ai
anyone,(a1) bất cứ ai
anything,(a1) bất cứ điều gì
anyway,(a2) dù sao đi nữa
anywhere,(a2) bất cứ nơi nào
anywhere,(a2) bất cứ nơi nào
apart,(b1) xa nhau
apartment,(a1) căn hộ
apologize,(b1) xin lỗi
apology,(b2) lời xin lỗi
app,(a2) ứng dụng
apparatus,(c1) bộ máy
apparent,(b2) rõ ràng
apparently,(b2) rõ ràng
appeal,(b2) kháng cáo
appeal,(b2) kháng cáo
appealing,(c1) hấp dẫn
appear,(a2) xuất hiện
appearance,(a2) sự xuất hiện
appetite,(c1) thèm ăn
applaud,(c1) hoan hô
apple,(a1) táo
applicable,(c1) áp dụng
applicant,(b2) người nộp đơn
application,(b1) ứng dụng
apply,(a2) áp dụng
appoint,(c1) bổ nhiệm
appointment,(b1) cuộc hẹn
appreciate,(b1) đánh giá cao
appreciation,(c1) đánh giá cao
approach,(b2) cách tiếp cận
approach,(b2) cách tiếp cận
appropriate,(b2) thích hợp
appropriately,(b2) một cách thích hợp
approval,(b2) phê duyệt
approve,(b2) chấp thuận
approximately,(b1) xấp xỉ
april,(a1) tháng tư
arbitrary,(c1) tùy tiện
architect,(a2) kiến trúc sư
