Term,Definition
architectural,(c1) kiến trúc
architecture,(a2) kiến trúc
archive,(c1) lưu trữ
area,(a1) khu vực
arena,(c1) đấu trường
arguably,(c1) có thể nói là
argue,(a2) tranh luận
argument,(a2) lý lẽ
arise,(b2) phát sinh
arm,(a1) cánh tay
arm,(c1) cánh tay
armed,(b2) vũ trang
arms,(b2) cánh tay
army,(a2) quân đội
around,(a1) xung quanh
around,(a1) xung quanh
arrange,(a2) sắp xếp
arrangement,(a2) sự sắp xếp
array,(c1) mảng
arrest,(b1) bắt giữ
arrest,(b1) bắt giữ
arrival,(b1) sự đến
arrive,(a1) đến
arrow,(b2) mũi tên
art,(a1) nghệ thuật
article,(a1) bài viết
articulate,(c1) nói rõ ràng
artificial,(b2) nhân tạo
artist,(a1) nghệ sĩ
artistic,(b2) nghệ thuật
artwork,(b2) tác phẩm nghệ thuật
as,(a2) như
as,(a2) như
as,(a1) như
ash,(c1) tro
ashamed,(b2) xấu hổ
aside,(b2) sang một bên
ask,(a1) hỏi
asleep,(a2) đang ngủ
aspect,(b2) khía cạnh
aspiration,(c1) khát vọng
aspire,(c1) khao khát
assassination,(c1) vụ ám sát
assault,(c1) tấn công
assault,(c1) tấn công
assemble,(c1) tập hợp
assembly,(c1) lắp ráp
assert,(c1) khẳng định
assertion,(c1) khẳng định
assess,(b2) đánh giá
assessment,(b2) đánh giá
asset,(b2) tài sản
assign,(b2) chỉ định
assignment,(b1) nhiệm vụ
assist,(b1) hỗ trợ
assistance,(b2) sự giúp đỡ
assistant,(a2) trợ lý
assistant,(a2) trợ lý
associate,(b2) cộng tác viên
associated,(b2) liên quan
association,(b2) hiệp hội
assume,(b2) giả sử
assumption,(b2) giả định
assurance,(c1) sự đảm bảo
assure,(b2) đảm bảo
astonishing,(b2) đáng kinh ngạc
asylum,(c1) tị nạn
at,(a1) tại
athlete,(a2) vận động viên
atmosphere,(b1) bầu không khí
atrocity,(c1) sự tàn ác
attach,(b1) đính kèm
attachment,(b2) tập tin đính kèm
attack,(a2) tấn công
attack,(a2) tấn công
attain,(c1) đạt được
attempt,(b2) cố gắng
attempt,(b2) cố gắng
attend,(a2) tham dự
attendance,(c1) sự tham dự
attention,(a2) chú ý
attention,(a2) chú ý
attitude,(b1) thái độ
attorney,(c1) luật sư
attract,(b1) thu hút
attraction,(b1) sự hấp dẫn
attractive,(a2) hấp dẫn
attribute,(c1) thuộc tính
attribute,(c1) thuộc tính
auction,(b2) đấu giá
audience,(a2) khán giả
audio,(b2) âm thanh
audit,(c1) kiểm toán
august,(a1) tháng tám
aunt,(a1) dì
authentic,(c1) đích thực
author,(a2) tác giả
authority,(b1) thẩm quyền
authorize,(c1) ủy quyền
auto,(c1) tự động
automatic,(b2) tự động
automatically,(b2) tự động
autonomy,(c1) quyền tự chủ
autumn,(a1) mùa thu
availability,(c1) sẵn có
available,(a2) có sẵn
average,(a2) trung bình
average,(a2) trung bình
average,(b1) trung bình
avoid,(a2) tránh
await,(c1) chờ đợi
award,(a2) giải thưởng
award,(b1) giải thưởng
aware,(b1) nhận thức được
awareness,(b2) nhận thức
away,(a1) đi xa
awful,(a2) khủng khiếp
awkward,(b2) vụng về
baby,(a1) em bé
back,(a2) trở lại
back,(a1) trở lại
back,(a1) trở lại
back,(b2) trở lại
backdrop,(c1) bối cảnh
background,(a2) nền
backing,(c1) ủng hộ
backup,(c1) sao lưu
backwards,(b1) ngược lại
bacteria,(b2) vi khuẩn
bad,(a1) tệ
badge,(b2) huy hiệu
badly,(a2) tệ quá
bag,(a1) túi
bail,(c1) tại ngoại
bake,(b1) nướng
balance,(b1) cân đối
balance,(b1) cân đối
balanced,(b2) cân bằng
ball,(a1) trái bóng
ballet,(b2) múa ba lê
balloon,(b2) bong bóng
ballot,(c1) lá phiếu
ban,(b1) lệnh cấm
ban,(b1) lệnh cấm
banana,(a1) chuối
band,(a1) ban nhạc
bank,(a1) ngân hàng
banner,(c1) biểu ngữ
bar,(a2) thanh
