Term,Definition
bombing,(b2) đánh bom
bond,(b2) trái phiếu
bone,(a2) khúc xương
bonus,(c1) tiền thưởng
book,(a1) cuốn sách
book,(a2) cuốn sách
booking,(b2) đặt phòng
boom,(c1) bùng nổ
boost,(b2) tăng cường
boost,(b2) tăng cường
boot,(a1) khởi động
border,(b1) biên giới
border,(b2) biên giới
bored,(a1) chán
boring,(a1) nhàm chán
born,(a1) sinh ra
borrow,(a2) mượn
boss,(a2) ông chủ
both,(a1) cả hai
both,(a1) cả hai
bother,(b1) làm phiền
bottle,(a1) chai
bottom,(a2) đáy
bottom,(a2) đáy
bounce,(c1) tung lên
bound,(b2) ràng buộc
boundary,(c1) ranh giới
bow,(c1) cúi đầu
bow,(c1) cúi đầu
bowl,(a2) bát
box,(a1) cái hộp
boy,(a1) cậu bé
boyfriend,(a1) bạn trai
brain,(a2) não
branch,(b1) chi nhánh
brand,(b1) nhãn hiệu
brand,(b1) nhãn hiệu
brave,(b1) dũng cảm
breach,(c1) vi phạm
breach,(c1) vi phạm
bread,(a1) bánh mì
break,(a1) phá vỡ
break,(a1) phá vỡ
breakdown,(c1) sự cố
breakfast,(a1) bữa ăn sáng
breakthrough,(c1) đột phá
breast,(b2) vú
breath,(b1) hơi thở
breathe,(b1) thở
breathing,(b1) thở
breed,(c1) giống
breed,(c1) giống
brick,(b2) gạch
bride,(b1) cô dâu
bridge,(a2) cầu
brief,(b2) ngắn gọn
briefly,(b2) ngắn gọn
bright,(a2) tươi sáng
brilliant,(a2) rực rỡ
bring,(a1) mang theo
broad,(b2) rộng rãi
broadband,(c1) băng thông rộng
broadcast,(b2) phát sóng
broadcast,(b2) phát sóng
broadcaster,(b2) đài phát thanh
broadly,(b2) một cách rộng rãi
broken,(a2) bị hỏng
brother,(a1) anh trai
brown,(a1) nâu
brown,(a1) nâu
browser,(c1) trình duyệt
brush,(a2) bàn chải
brush,(a2) bàn chải
brutal,(c1) tàn bạo
bubble,(b1) bong bóng
buck,(c1) đô la
buddy,(c1) anh bạn
budget,(b2) ngân sách
buffer,(c1) đệm
bug,(b2) lỗi
build,(a1) xây dựng
building,(a1) tòa nhà
bulk,(c1) số lượng lớn
bullet,(b2) viên đạn
bunch,(b2) bó
burden,(c1) gánh nặng
bureaucracy,(c1) sự quan liêu
burial,(c1) chôn cất
burn,(b2) đốt cháy
burn,(a2) đốt cháy
burst,(c1) nổ tung
bury,(b1) chôn
bus,(a1) xe buýt
bush,(b2) bụi cây
business,(a1) kinh doanh
businessman,(a2) doanh nhân
busy,(a1) bận rộn
but,(a1) nhưng
but,(b2) nhưng
butter,(a1) bơ
button,(a2) nút
buy,(a1) mua
by,(b1) bởi
by,(a1) bởi
bye,(a1) tạm biệt
cabin,(b2) nghĩa của từ cabin
cabinet,(c1) tủ
cable,(b2) cáp
cafe,(a1) quán cà phê
cake,(a1) bánh ngọt
calculate,(b2) tính toán
calculation,(c1) tính toán
call,(a1) gọi
call,(a1) gọi
calm,(b1) bình tĩnh
calm,(b1) bình tĩnh
calm,(b1) bình tĩnh
camera,(a1) máy ảnh
camp,(a2) trại
camp,(a2) trại
campaign,(b1) chiến dịch
campaign,(b1) chiến dịch
camping,(a2) cắm trại
campus,(b1) khuôn viên trường
can,(a2) có thể
can,(a1) có thể
canal,(b2) con kênh
cancel,(b2) hủy bỏ
cancer,(b2) ung thư
candidate,(b1) ứng cử viên
candle,(b2) nến
cannot,(a1) không thể
canvas,(c1) vải vẽ
cap,(b1) mũ lưỡi trai
capability,(c1) khả năng
capable,(b2) có khả năng
capacity,(b2) công suất
capital,(a1) vốn
capital,(a1) vốn
capitalism,(c1) chủ nghĩa tư bản
capitalist,(c1) nhà tư bản
captain,(b1) đội trưởng
capture,(b2) bắt giữ
capture,(b2) bắt giữ
car,(a1) xe hơi
carbon,(b2) cacbon
card,(a1) thẻ
care,(a2) quan tâm
care,(a2) quan tâm
