Term,Definition
obsession,(c1) nỗi ám ảnh
obstacle,(b2) trở ngại
obtain,(b2) có được
obvious,(b1) hiển nhiên
obviously,(b1) rõ ràng
occasion,(b1) dịp
occasional,(c1) thỉnh thoảng
occasionally,(b2) thỉnh thoảng
occupation,(b2) nghề nghiệp
occupy,(b2) chiếm đóng
occur,(b1) xảy ra
occurrence,(c1) sự xuất hiện
ocean,(a2) đại dương
october,(a1) tháng mười
odd,(b1) kỳ quặc
odds,(c1) tỷ lệ cược
of,(a1) của
off,(a1) tắt
off,(a1) tắt
offence,(b2) sự xúc phạm
offend,(b2) xúc phạm
offender,(b2) người phạm tội
offensive,(b2) xúc phạm
offer,(a2) đề nghị
offer,(a2) đề nghị
offering,(c1) cúng dường
office,(a1) văn phòng
officer,(a2) sĩ quan
official,(b1) chính thức
official,(b2) chính thức
offspring,(c1) con cháu
often,(a1) thường xuyên
oh,(a1) ồ
oil,(a2) dầu
ok,(a1) được
ok,(a1) được
ok,(a1) được
old,(a1) cũ
old-fashioned,(b1) lỗi thời
on,(a1) trên
on,(a1) trên
once,(a1) một lần
once,(b1) một lần
one,(a1) một
one,(a1) một
one,(a1) một
ongoing,(b2) đang diễn ra
onion,(a1) hành tây
online,(a1) trực tuyến
online,(a1) trực tuyến
only,(a1) chỉ
only,(a1) chỉ
onto,(a2) lên
open,(a1) mở
open,(a1) mở
opening,(b2) khai mạc
openly,(b2) công khai
opera,(b2) nghĩa của từ opera
operate,(b2) vận hành
operation,(b1) hoạt động
operational,(c1) hoạt động
operator,(b2) toán tử
opinion,(a1) ý kiến
opponent,(b2) đối thủ
opportunity,(a2) cơ hội
oppose,(b2) phản đối
opposed,(b2) phản đối
opposite,(a1) ngược lại
opposite,(a1) ngược lại
opposite,(a1) ngược lại
opposite,(a1) ngược lại
opposition,(b2) sự phản đối
opt,(c1) chọn
optical,(c1) quang học
optimism,(c1) sự lạc quan
optimistic,(b2) lạc quan
option,(a2) tùy chọn
or,(a1) hoặc
oral,(c1) bằng miệng
orange,(a1) trái cam
orange,(a1) trái cam
orchestra,(b2) dàn nhạc
order,(a1) đặt hàng
order,(a1) đặt hàng
ordinary,(a2) bình thường
organ,(b2) cơ quan
organic,(b2) hữu cơ
organization,(a2) tổ chức
organizational,(c1) tổ chức
organize,(a2) tổ chức
organized,(b1) có tổ chức
organizer,(b1) người tổ chức
orientation,(c1) định hướng
origin,(b2) nguồn gốc
original,(a2) nguyên bản
original,(b1) nguyên bản
originally,(b1) ban đầu
originate,(c1) bắt nguồn
other,(a1) khác
other,(a1) khác
otherwise,(b2) mặt khác
ought,(b1) nên
our,(a1) của chúng tôi
ours,(b1) của chúng tôi
ourselves,(a2) chính chúng ta
out,(a1) ra ngoài
out,(a1) ra ngoài
outbreak,(c1) sự bùng phát
outcome,(b2) kết quả
outdoor,(b1) ngoài trời
outdoors,(b1) ngoài trời
outer,(b2) bên ngoài
outfit,(b2) trang phục
outing,(c1) chuyến đi chơi
outlet,(c1) ổ cắm
outline,(b2) phác thảo
outline,(b2) phác thảo
outlook,(c1) triển vọng
output,(b2) đầu ra
outrage,(c1) phẫn nộ
outrage,(c1) phẫn nộ
outside,(a2) bên ngoài
outside,(a1) bên ngoài
outside,(a2) bên ngoài
outside,(a2) bên ngoài
outsider,(c1) người ngoài cuộc
outstanding,(b2) xuất sắc
oven,(a2) lò nướng
over,(a1) kết thúc
over,(a1) kết thúc
overall,(b2) tổng thể
overall,(b2) tổng thể
overcome,(b2) vượt qua
overlook,(c1) bỏ qua
overly,(c1) quá mức
overnight,(b2) qua đêm
overseas,(b2) ở nước ngoài
overseas,(b2) ở nước ngoài
oversee,(c1) giám sát
overturn,(c1) lật đổ
overwhelm,(c1) áp đảo
overwhelming,(c1) áp đảo
owe,(b2) nợ
own,(a1) sở hữu
own,(a1) sở hữu
own,(a2) sở hữu
owner,(a2) chủ sở hữu
ownership,(b2) quyền sở hữu
oxygen,(b2) oxy
