Term,Definition
show,(a1) hiển thị
shower,(a1) tắm
shrink,(c1) co lại
shrug,(c1) nhún vai
shut,(a2) đóng lại
shut,(a2) đóng lại
shy,(b1) nhút nhát
sibling,(b2) anh chị em ruột
sick,(a1) bị bệnh
side,(a2) bên
sigh,(c1) thở dài
sigh,(c1) thở dài
sight,(b1) tầm nhìn
sign,(a2) ký tên
sign,(a2) ký tên
signal,(b1) tín hiệu
signal,(b1) tín hiệu
signature,(b2) chữ ký
significance,(b2) ý nghĩa
significant,(b2) đáng kể
significantly,(b2) đáng kể
silence,(b2) im lặng
silent,(b1) im lặng
silk,(b2) lụa
silly,(b1) ngớ ngẩn
silver,(a2) bạc
silver,(a2) bạc
similar,(a1) tương tự
similarity,(b1) sự giống nhau
similarly,(b1) tương tự
simple,(a2) đơn giản
simply,(b1) đơn giản
simulate,(c1) mô phỏng
simulation,(c1) mô phỏng
simultaneously,(c1) đồng thời
sin,(c1) tội lỗi
since,(b1) kể từ khi
since,(a2) kể từ khi
since,(a2) kể từ khi
sincere,(b2) chân thành
sing,(a1) hát
singer,(a1) ca sĩ
singing,(a2) ca hát
single,(a2) độc thân
single,(a2) độc thân
sink,(b1) bồn rửa
sir,(a2) thưa ông
sister,(a1) chị gái
sit,(a1) ngồi
site,(a2) trang web
situated,(c1) nằm
situation,(a1) tình huống
six,(a1) sáu
sixteen,(a1) mười sáu
sixty,(a1) sáu mươi
size,(a2) kích thước
sketch,(c1) phác họa
ski,(a2) trượt tuyết
ski,(a2) trượt tuyết
ski,(a2) trượt tuyết
skiing,(a2) trượt tuyết
skill,(a1) kỹ năng
skilled,(b2) có tay nghề cao
skin,(a2) da
skip,(c1) bỏ qua
skirt,(a1) váy
skull,(b2) hộp sọ
sky,(a2) bầu trời
slam,(c1) đập mạnh
slap,(c1) cái tát
slash,(c1) gạch chéo
slave,(b2) nô lệ
slavery,(c1) chế độ nô lệ
sleep,(a2) ngủ
sleep,(a1) ngủ
slice,(b1) lát
slice,(b1) lát
slide,(b2) trượt
slide,(b2) trượt
slight,(b2) nhẹ
slightly,(b1) hơi
slip,(b2) trượt
slogan,(b2) khẩu hiệu
slope,(b2) độ dốc
slope,(b2) độ dốc
slot,(c1) khe cắm
slow,(a1) chậm
slow,(b1) chậm
slowly,(a2) từ từ
small,(a1) nhỏ bé
smart,(b1) thông minh
smartphone,(a2) điện thoại thông minh
smash,(c1) đập vỡ
smell,(a2) mùi
smell,(a2) mùi
smile,(a2) mỉm cười
smile,(a2) mỉm cười
smoke,(a2) khói
smoke,(a2) khói
smoking,(a2) hút thuốc
smooth,(b1) mịn màng
snake,(a1) con rắn
snap,(c1) búng tay
snow,(a1) tuyết
snow,(a1) tuyết
so,(a1) vậy
so,(a1) vậy
so-called,(b2) cái gọi là
soak,(c1) ngâm
soap,(a2) xà phòng
soar,(c1) bay lên
soccer,(a2) bóng đá
social,(a2) xã hội
socialist,(c1) xã hội chủ nghĩa
society,(a2) xã hội
sock,(a2) tất
soft,(a2) mềm mại
software,(b1) phần mềm
soil,(b1) đất
solar,(b2) năng lượng mặt trời
soldier,(a2) người lính
sole,(c1) duy nhất
solely,(c1) duy nhất
solicitor,(c1) luật sư
solid,(b1) chất rắn
solid,(b1) chất rắn
solidarity,(c1) đoàn kết
solo,(c1) một mình
solo,(c1) một mình
solution,(a2) giải pháp
solve,(a2) giải quyết
some,(a1) một số
some,(a1) một số
somebody,(a1) ai đó
somehow,(b2) bằng cách nào đó
someone,(a1) ai đó
something,(a1) cái gì đó
sometime,(b2) đôi khi
sometimes,(a1) đôi khi
somewhat,(b2) phần nào
somewhere,(a2) ở đâu đó
somewhere,(a2) ở đâu đó
son,(a1) con trai
song,(a1) bài hát
soon,(a1) sớm thôi
sophisticated,(b2) phức tạp
sorry,(a1) xin lỗi
sorry,(a1) xin lỗi
sort,(a2) sắp xếp
