Term,Definition
frequent,(b2) thường xuyên
frequently,(b1) thường xuyên
fresh,(a2) tươi
friday,(a1) thứ sáu
fridge,(a2) tủ lạnh
friend,(a1) người bạn
friendly,(a1) thân thiện
friendship,(b1) tình bạn
frighten,(b1) làm sợ hãi
frightened,(b1) sợ hãi
frightening,(b1) đáng sợ
frog,(a2) ếch
from,(a1) từ
front,(a1) phía trước
front,(a1) phía trước
frozen,(b1) đông lạnh
fruit,(a1) trái cây
frustrated,(c1) thất vọng
frustrating,(c1) bực bội
frustration,(c1) sự thất vọng
fry,(b1) chiên
fuel,(b1) nhiên liệu
fuel,(b2) nhiên liệu
fulfil,(b2) thực hiện
full,(a1) đầy đủ
full-time,(b2) toàn thời gian
full-time,(b2) toàn thời gian
fully,(b2) đầy đủ
fun,(a2) vui vẻ
fun,(a1) vui vẻ
function,(b1) chức năng
function,(b2) chức năng
functional,(c1) chức năng
fund,(b2) quỹ
fund,(b2) quỹ
fundamental,(b2) cơ bản
fundamentally,(b2) về cơ bản
funding,(b2) tài trợ
fundraising,(c1) gây quỹ
funeral,(c1) tang lễ
funny,(a1) buồn cười
fur,(b1) lông thú
furious,(b2) giận dữ
furniture,(a2) đồ nội thất
further,(a2) hơn nữa
further,(b1) hơn nữa
furthermore,(b2) hơn nữa
future,(a2) tương lai
future,(a1) tương lai
gain,(b2) đạt được
gain,(b2) đạt được
gallery,(a2) phòng trưng bày
gallon,(c1) nghĩa của từ gallon
gambling,(c1) cờ bạc
game,(a1) trò chơi
gaming,(b2) chơi game
gang,(b2) băng nhóm
gap,(a2) khoảng trống
garage,(b1) gara
garden,(a1) vườn
gas,(a2) khí đốt
gate,(a2) cánh cổng
gather,(b1) tập hợp
gathering,(c1) tụ tập
gay,(b2) đồng tính nam
gaze,(c1) nhìn chằm chằm
gaze,(c1) nhìn chằm chằm
gear,(c1) thiết bị
gender,(b2) giới tính
gene,(b2) gen
general,(a2) chung
generally,(b1) nói chung
generate,(b2) tạo ra
generation,(b1) thế hệ
generic,(c1) chung chung
generous,(b1) hào phóng
genetic,(b2) di truyền
genius,(b2) thiên tài
genocide,(c1) sự diệt chủng
genre,(b2) thể loại
gentle,(b1) nhẹ nhàng
gentleman,(b1) quý ông
genuine,(b2) chính hãng
genuinely,(b2) thực sự
geography,(a1) địa lý
gesture,(b2) cử chỉ
get,(a1) nhận được
ghost,(b1) ma
giant,(b1) khổng lồ
giant,(b1) khổng lồ
gift,(a2) quà tặng
gig,(b2) buổi biểu diễn
girl,(a1) cô gái
girlfriend,(a1) bạn gái
give,(a1) cho
glad,(b1) vui mừng
glance,(c1) liếc nhìn
glance,(c1) liếc nhìn
glass,(a1) kính
glimpse,(c1) thoáng qua
global,(b1) toàn cầu
globalization,(b2) toàn cầu hóa
globe,(b2) quả địa cầu
glorious,(c1) huy hoàng
glory,(c1) vinh quang
glove,(b1) găng tay
go,(b1) đi
go,(a1) đi
goal,(a2) mục tiêu
god,(a2) chúa ơi
gold,(a2) vàng
gold,(a2) vàng
golden,(b2) vàng
golf,(a2) chơi gôn
good,(a1) tốt
good,(a2) tốt
goodbye,(a1) tạm biệt
goodbye,(a1) tạm biệt
goodness,(b2) lòng tốt
goods,(b1) hàng hóa
gorgeous,(b2) tuyệt đẹp
govern,(b2) cai trị
governance,(c1) quản trị
government,(a2) chính phủ
governor,(b2) thống đốc
grab,(b2) chộp lấy
grace,(c1) ân sủng
grade,(b1) lớp
grade,(b2) lớp
gradually,(b2) dần dần
graduate,(b1) tốt nghiệp
graduate,(b1) tốt nghiệp
grain,(b1) ngũ cốc
grand,(b2) vĩ đại
grandfather,(a1) ông nội
grandmother,(a1) bà nội
grandparent,(a1) ông bà
grant,(b2) cấp
grant,(b2) cấp
graphic,(b2) đồ họa
graphics,(b2) đồ họa
grasp,(c1) nắm bắt
grasp,(c1) nắm bắt
grass,(a2) cỏ
grateful,(b1) biết ơn
grave,(c1) phần mộ
grave,(c1) phần mộ
gravity,(c1) trọng lực
great,(a1) tuyệt vời
