Term,Definition
pill,(b2) viên thuốc
pilot,(a2) phi công
pin,(b1) ghim
pin,(b1) ghim
pink,(a1) màu hồng
pink,(a1) màu hồng
pioneer,(c1) người tiên phong
pioneer,(c1) người tiên phong
pipe,(b1) ống
pipeline,(c1) đường ống
pirate,(c1) cướp biển
pit,(c1) cái hố
pitch,(b2) cao độ
pity,(b2) đáng tiếc
place,(a1) địa điểm
place,(b1) địa điểm
placement,(b2) vị trí
plain,(b2) đồng bằng
plan,(a1) kế hoạch
plan,(a1) kế hoạch
plane,(a1) máy bay
planet,(a2) hành tinh
planning,(b1) lập kế hoạch
plant,(a1) thực vật
plant,(a2) thực vật
plastic,(a2) nhựa
plastic,(a2) nhựa
plate,(a2) tấm
platform,(a2) nền tảng
play,(a1) chơi
play,(a1) chơi
player,(a1) người chơi
plea,(c1) cầu xin
plead,(c1) cầu xin
pleasant,(b1) dễ chịu
please,(a1) làm ơn
please,(a2) làm ơn
pleased,(a2) hài lòng
pleasure,(b1) niềm vui
pledge,(c1) cam kết
pledge,(c1) cam kết
plenty,(b1) nhiều
plot,(b1) âm mưu
plot,(b2) âm mưu
plug,(c1) cắm
plug,(c1) cắm
plunge,(c1) lao xuống
plus,(b2) cộng thêm
plus,(b2) cộng thêm
plus,(b2) cộng thêm
plus,(b1) cộng thêm
pocket,(a2) túi
poem,(b1) bài thơ
poet,(b1) nhà thơ
poetry,(b1) thơ ca
point,(a1) điểm
point,(b1) điểm
pointed,(b2) nhọn
poison,(b1) chất độc
poison,(b1) chất độc
poisonous,(b1) chất độc
pole,(c1) cực
police,(a1) cảnh sát
policeman,(a1) cảnh sát
policy,(b1) chính sách
polite,(a2) lịch sự
political,(b1) chính trị
politician,(b1) chính trị gia
politics,(b1) chính trị
poll,(c1) thăm dò ý kiến
pollution,(a2) sự ô nhiễm
pond,(c1) ao
pool,(a1) hồ bơi
poor,(a1) nghèo nàn
pop,(a2) bật lên
pop,(a2) bật lên
pop,(c1) bật lên
popular,(a1) phổ biến
popularity,(b2) sự nổi tiếng
population,(a2) dân số
port,(b1) hải cảng
portfolio,(c1) danh mục đầu tư
portion,(b2) phần
portrait,(b1) chân dung
portray,(c1) miêu tả
pose,(b2) tư thế
position,(a2) vị trí
position,(b2) vị trí
positive,(a1) tích cực
positive,(b2) tích cực
possess,(b2) sở hữu
possession,(a2) sở hữu
possibility,(a2) khả năng
possible,(a1) có thể
possibly,(b1) có thể
post,(a1) bài đăng
post,(a1) bài đăng
post-war,(c1) sau chiến tranh
poster,(a2) áp phích
postpone,(c1) hoãn lại
pot,(b1) cái nồi
potato,(a1) khoai tây
potential,(b2) tiềm năng
potential,(b2) tiềm năng
potentially,(b2) có khả năng
pound,(a1) bảng anh
pour,(b1) đổ
poverty,(b1) nghèo đói
powder,(b1) bột
power,(a2) quyền lực
power,(b2) quyền lực
powerful,(b1) mạnh mẽ
practical,(b1) thiết thực
practice,(a1) luyện tập
practise,(a1) luyện tập
practitioner,(c1) người hành nghề
praise,(b2) khen ngợi
praise,(b2) khen ngợi
pray,(b1) cầu nguyện
prayer,(b1) cầu nguyện
preach,(c1) rao giảng
precede,(b2) đi trước
precedent,(c1) tiền lệ
precious,(b2) quý giá
precise,(b2) chính xác
precisely,(b2) chính xác
precision,(c1) độ chính xác
predator,(c1) kẻ săn mồi
predecessor,(c1) người tiền nhiệm
predict,(a2) dự đoán
predictable,(b2) có thể dự đoán được
prediction,(b1) dự đoán
predominantly,(c1) chủ yếu
prefer,(a1) thích hơn
preference,(b2) sở thích
pregnancy,(c1) mang thai
pregnant,(b2) mang thai
prejudice,(c1) định kiến
preliminary,(c1) sơ bộ
premier,(c1) thủ tướng
premise,(c1) tiền đề
premium,(c1) phí bảo hiểm
preparation,(b2) sự chuẩn bị
prepare,(a1) chuẩn bị
prepared,(b1) chuẩn bị sẵn sàng
prescribe,(c1) quy định
prescription,(c1) toa thuốc
presence,(b2) sự hiện diện
present,(a1) hiện tại
