Term,Definition
a,(a1) một
abandon,(b2) bỏ rơi
ability,(a2) khả năng
able,(a2) có thể
abolish,(c1) bãi bỏ
abortion,(c1) phá thai
about,(a1) về
about,(a1) về
above,(a1) ở trên
above,(a1) ở trên
abroad,(a2) ở nước ngoài
absence,(c1) sự vắng mặt
absent,(c1) vắng mặt
absolute,(b2) tuyệt đối
absolutely,(b1) tuyệt đối
absorb,(b2) hấp thụ
abstract,(b2) trừu tượng
absurd,(c1) vô lý
abundance,(c1) sự phong phú
abuse,(c1) lạm dụng
abuse,(c1) lạm dụng
academic,(b1) học thuật
academic,(b2) học thuật
academy,(c1) học viện
accelerate,(c1) tăng tốc
accent,(b2) giọng
accept,(a2) chấp nhận
acceptable,(b2) chấp nhận được
acceptance,(c1) sự chấp nhận
access,(b1) truy cập
access,(b1) truy cập
accessible,(c1) có thể truy cập
accident,(a2) tai nạn
accidentally,(b2) vô tình
accommodate,(b2) chứa đựng
accommodation,(b1) chỗ ở
accompany,(b2) đi cùng
accomplish,(b2) hoàn thành
accomplishment,(c1) thành tựu
accordance,(c1) phù hợp
according to,(a2) theo
accordingly,(c1) tương ứng
account,(b1) tài khoản
account,(b2) tài khoản
accountability,(c1) trách nhiệm giải trình
accountable,(c1) chịu trách nhiệm
accountant,(b2) nhân viên kế toán
accounting,kế toán
accumulate,(c1) tích lũy
accumulation,(c1) sự tích lũy
accuracy,(b2) độ chính xác
accurate,(b2) chính xác
accurately,(b2) chính xác
accusation,(c1) lời buộc tội
accuse,(b2) buộc tội
accused,(c1) bị buộc tội
achieve,(a2) đạt được
achievement,(b1) thành tích
acid,(c1) axit
acid,(b2) axit
acknowledge,(b2) thừa nhận
acquire,(b2) có được
acquisition,(c1) mua lại
acre,(c1) mẫu anh
across,(a1) ngang qua
across,(a1) ngang qua
act,(b1) hành động
act,(a2) hành động
action,(a1) hành động
activate,(b2) kích hoạt
activation,(c1) kích hoạt
active,(a2) hoạt động
activist,(c1) nhà hoạt động
activity,(a1) hoạt động
actor,(a1) diễn viên
actress,(a1) nữ diễn viên
actual,(b2) thực tế
actually,(a2) thực sự
acute,(c1) cấp tính
ad,(b1) quảng cáo
adapt,(b2) thích nghi
adaptation,(c1) sự thích ứng
add,(a1) thêm
addiction,(b2) nghiện
addition,(b1) phép cộng
additional,(b2) bổ sung
additionally,(b2) thêm vào đó
address,(a1) địa chỉ
address,(b2) địa chỉ
adequate,(b2) đầy đủ
adequately,(b2) đầy đủ
adhere,(c1) tuân theo
adjacent,(c1) liền kề
adjust,(b2) điều chỉnh
adjustment,(c1) điều chỉnh
administer,(c1) quản lý
administration,(b2) hành chính
administrative,(c1) hành chính
administrator,(c1) quản trị viên
admire,(b1) ngưỡng mộ
admission,(c1) nhập học
admit,(b1) thừa nhận
adolescent,(c1) thiếu niên
adopt,(b2) nhận nuôi
adoption,(c1) nhận con nuôi
adult,(a2) người lớn
adult,(a1) người lớn
advance,(b2) tiến lên
advance,(b2) tiến lên
advance,(b2) tiến lên
advanced,(b1) nâng cao
advantage,(a2) lợi thế
adventure,(a2) cuộc phiêu lưu
adverse,(c1) bất lợi
advertise,(a2) quảng cáo
advertisement,(a2) quảng cáo
advertising,(a2) quảng cáo
advice,(a1) lời khuyên
advise,(b1) khuyên bảo
advocate,(c1) người bào chữa
advocate,(c1) người bào chữa
aesthetic,(c1) tính thẩm mỹ
affair,(b2) chuyện tình
affect,(a2) ảnh hưởng
affection,(c1) tình cảm
afford,(b1) đủ khả năng
affordable,(b2) giá cả phải chăng
afraid,(a1) sợ hãi
after,(a2) sau
after,(a2) sau
after,(a1) sau
aftermath,(c1) hậu quả
afternoon,(a1) buổi chiều
afterwards,(b2) sau đó
again,(a1) một lần nữa
against,(a2) chống lại
age,(a1) tuổi tác
age,(b1) tuổi tác
aged,(b1) già
agency,(b2) cơ quan
agenda,(b2) chương trình nghị sự
agent,(b1) đại lý
aggression,(c1) sự hung hãn
aggressive,(b2) hung hãn
ago,(a1) trước đây
agree,(a1) đồng ý
agreement,(b1) thỏa thuận
agricultural,(c1) nông nghiệp
agriculture,(b2) nông nghiệp
