Term,Definition
algorithm,thuật toán xử lý
bandwidth,băng thông đường truyền
compile,biên dịch mã nguồn
database,cơ sở dữ liệu
encryption,mã hóa dữ liệu
firewall,tường lửa mạng
hardware,phần cứng máy tính
interface,giao diện người dùng
malware,phần mềm độc hại
network,mạng máy tính
optimize,tối ưu hóa hiệu năng
protocol,giao thức kết nối mạng
responsive,tương thích đa màn hình
server,máy chủ dịch vụ
software,phần mềm ứng dụng
storage,bộ nhớ lưu trữ dữ liệu
variable,biến số trong code
virtual,môi trường ảo
vulnerability,lỗ hổng bảo mật
wireless,kết nối không dây
