Term,Definition
entrepreneur,doanh nhân khởi nghiệp
corporation,tập đoàn lớn
merger,sự sáp nhập doanh nghiệp
acquisition,sự thâu tóm công ty
conglomerate,tập đoàn đa ngành khổng lồ
stakeholder,bên liên quan mật thiết
monopoly,sự độc quyền thị trường
subsidiary,công ty con
franchise,hình thức nhượng quyền kinh doanh
bankruptcy,sự phá sản
restructuring,sự tái cấu trúc doanh nghiệp
competitor,đối thủ cạnh tranh
joint venture,liên doanh kinh tế
strategy,chiến lược kinh doanh
turnover,doanh số hoặc tỷ lệ luân chuyển nhân sự
market share,thị phần kinh doanh
viability,tính khả thi kinh tế
scalability,khả năng mở rộng quy mô
supply chain,chuỗi cung ứng
outsourcing,thuê ngoài dịch vụ
