Term,Definition
deal,(a2) thỏa thuận
dealer,(b2) đại lý
dear,(a1) thân yêu
dear,(a2) thân yêu
death,(a2) cái chết
debate,(b2) tranh luận
debate,(b2) tranh luận
debris,(c1) mảnh vụn
debt,(b2) món nợ
debut,(c1) ra mắt
decade,(b1) thập kỷ
december,(a1) tháng mười hai
decent,(b2) đàng hoàng
decide,(a1) quyết định
decision,(a2) quyết định
decision-making,(c1) ra quyết định
decisive,(c1) quyết định
deck,(b2) boong tàu
declaration,(c1) khai báo
declare,(b2) tuyên bố
decline,(b2) suy giảm
decline,(b2) suy giảm
decorate,(b1) trang trí
decoration,(b2) trang trí
decrease,(b2) giảm
decrease,(b2) giảm
dedicated,(c1) dành riêng
dedication,(c1) sự cống hiến
deed,(c1) chứng thư
deem,(c1) cho là
deep,(a2) sâu
deep,(b1) sâu
deeply,(b2) sâu sắc
default,(c1) mặc định
defeat,(b2) đánh bại
defeat,(b2) đánh bại
defect,(c1) khiếm khuyết
defence,(b2) phòng thủ
defend,(b2) bảo vệ
defender,(b2) hậu vệ
defensive,(c1) phòng thủ
deficiency,(c1) sự thiếu hụt
deficit,(c1) thâm hụt
define,(b1) xác định
definite,(b1) xác định
definitely,(a2) chắc chắn
definition,(b1) độ nét
defy,(c1) thách thức
degree,(a2) bằng cấp
delay,(b2) sự chậm trễ
delay,(b2) sự chậm trễ
delegate,(c1) đại biểu
delegation,(c1) phái đoàn
delete,(b2) xóa
deliberate,(b2) có chủ ý
deliberately,(b2) cố ý
delicate,(c1) tinh tế
delicious,(a1) thơm ngon
delight,(b2) hân hoan
delight,(b2) hân hoan
delighted,(b2) vui mừng
deliver,(b1) giao hàng
delivery,(b2) giao hàng
demand,(b2) nhu cầu
demand,(b2) nhu cầu
democracy,(b2) dân chủ
democratic,(b2) dân chủ
demon,(c1) con quỷ
demonstrate,(b2) chứng minh
demonstration,(b2) cuộc biểu tình
denial,(c1) phủ nhận
denounce,(c1) tố cáo
dense,(c1) dày đặc
density,(c1) mật độ
dentist,(a2) nha sĩ
deny,(b2) phủ nhận
depart,(b2) khởi hành
department,(a2) khoa
departure,(b1) khởi hành
depend,(a2) phụ thuộc
dependence,(c1) sự phụ thuộc
dependent,(b2) phụ thuộc
depict,(c1) miêu tả
deploy,(c1) triển khai
deployment,(c1) triển khai
deposit,(b2) đặt cọc
deposit,(c1) đặt cọc
depressed,(b2) chán nản
depressing,(b2) chán nản
depression,(b2) trầm cảm
deprive,(c1) tước đoạt
depth,(b2) độ sâu
deputy,(c1) phó
derive,(b2) lấy được
descend,(c1) đi xuống
descent,(c1) đi xuống
describe,(a1) mô tả
description,(a1) mô tả
desert,(a2) sa mạc
desert,(b2) sa mạc
deserve,(b2) xứng đáng
design,(a1) thiết kế
design,(a1) thiết kế
designate,(c1) chỉ định
designer,(a2) nhà thiết kế
desirable,(c1) mong muốn
desire,(b2) mong muốn
desire,(b2) mong muốn
desk,(a1) bàn
desktop,(c1) máy tính để bàn
desperate,(b2) tuyệt vọng
desperately,(b2) tuyệt vọng
despite,(b1) mặc dù
destination,(b1) điểm đến
destroy,(a2) phá hủy
destruction,(b2) sự phá hủy
destructive,(c1) phá hoại
detail,(a1) chi tiết
detail,(b2) chi tiết
detailed,(b2) chi tiết
detain,(c1) giam giữ
detect,(b2) phát hiện
detection,(c1) phát hiện
detective,(a2) thám tử
detention,(c1) giam giữ
deteriorate,(c1) xấu đi
determination,(b2) quyết tâm
determine,(b1) xác định
determined,(b1) xác định
devastate,(c1) tàn phá
develop,(a2) phát triển
development,(b1) phát triển
device,(a2) thiết bị
devil,(c1) ma quỷ
devise,(c1) nghĩ ra
devote,(b2) cống hiến
diagnose,(c1) chẩn đoán
diagnosis,(c1) chẩn đoán
diagram,(b1) sơ đồ
dialogue,(a1) đối thoại
diamond,(b1) kim cương
diary,(a2) nhật ký
dictate,(c1) ra lệnh
dictator,(c1) nhà độc tài
dictionary,(a1) từ điển
die,(a1) chết
diet,(a1) chế độ ăn uống
differ,(b2) khác nhau
difference,(a1) sự khác biệt
