Term,Definition
optimistic,"lạc quan, luôn nhìn về mặt tích cực"
pessimistic,"bi quan, tiêu cực"
arrogant,"kiêu ngạo, tự cao tự đại"
humble,"khiêm tốn, nhún nhường"
compassionate,"giàu lòng trắc ẩn, nhân ái"
stubborn,"bướng bỉnh, ngoan cố"
meticulous,"tỉ mỉ, cẩn thận từng chi tiết"
introverted,hướng nội
extroverted,hướng ngoại
generous,"hào phóng, rộng lượng"
ambitious,"có nhiều hoài bão, tham vọng"
diligent,"chăm chỉ, siêng năng"
empathetic,"biết thấu cảm, đồng cảm"
cynical,"hoài nghi, bi quan về người khác"
resilient,"kiên cường, mau hồi phục sau vấp ngã"
charismatic,"có sức hút, lôi cuốn"
temperamental,tính khí thất thường
courteous,"lịch sự, nhã nhặn"
eccentric,"kỳ quặc, lập dị"
sincere,"chân thành, thật tâm"
