Term,Definition
punch,(c1) cú đấm
punish,(b1) trừng phạt
punishment,(b1) hình phạt
punk,(b2) đồ chơi khăm
pupil,(b2) học sinh
purchase,(b2) mua hàng
purchase,(b2) mua hàng
pure,(b2) tinh khiết
purely,(b2) hoàn toàn
purple,(a1) màu tím
purple,(a1) màu tím
purpose,(a2) mục đích
pursue,(b2) theo đuổi
pursuit,(b2) theo đuổi
push,(b1) đẩy
push,(a2) đẩy
put,(a1) đặt
puzzle,(b2) câu đố
qualification,(b1) trình độ chuyên môn
qualified,(b1) đủ điều kiện
qualify,(b1) đủ điều kiện
quality,(a2) chất lượng
quantity,(a2) số lượng
quarter,(a1) một phần tư
queen,(a2) nữ hoàng
query,(c1) truy vấn
quest,(c1) nhiệm vụ
question,(a1) câu hỏi
question,(a2) câu hỏi
questionnaire,(b2) bảng câu hỏi
queue,(b1) xếp hàng
queue,(b1) xếp hàng
quick,(a1) nhanh chóng
quickly,(a1) nhanh chóng
quiet,(a1) yên tĩnh
quietly,(a2) lặng lẽ
quit,(b1) bỏ cuộc
quite,(a1) khá
quota,(c1) hạn ngạch
quotation,(b1) trích dẫn
quote,(b1) trích dẫn
quote,(b1) trích dẫn
race,(a2) cuộc đua
race,(a2) cuộc đua
racial,(b2) chủng tộc
racing,(b1) cuộc đua
racism,(b2) phân biệt chủng tộc
racist,(b2) phân biệt chủng tộc
racist,(b2) phân biệt chủng tộc
radar,(c1) ra đa
radiation,(b2) bức xạ
radical,(c1) cấp tiến
radio,(a1) đài phát thanh
rage,(c1) cơn thịnh nộ
raid,(c1) cuộc đột kích
raid,(c1) cuộc đột kích
rail,(b2) đường sắt
railway,(a2) đường sắt
rain,(a1) mưa
rain,(a1) mưa
raise,(a2) nâng cao
rally,(c1) cuộc biểu tình
rally,(c1) cuộc biểu tình
random,(b2) ngẫu nhiên
range,(b1) phạm vi
range,(b2) phạm vi
rank,(b2) cấp bậc
rank,(b2) cấp bậc
ranking,(c1) xếp hạng
rape,(c1) hiếp dâm
rape,(c1) hiếp dâm
rapid,(b2) nhanh chóng
rapidly,(b2) nhanh chóng
rare,(b1) hiếm
rarely,(b1) hiếm khi
rat,(b2) chuột
rate,(a2) tỷ lệ
rate,(b2) tỷ lệ
rather,(a2) đúng hơn
rating,(b2) đánh giá
ratio,(c1) tỷ lệ
rational,(c1) hợp lý
raw,(b2) thô
ray,(c1) tia
reach,(b2) đạt được
reach,(a2) đạt được
react,(a2) phản ứng
reaction,(b1) phản ứng
read,(a1) đọc
reader,(a1) người đọc
readily,(c1) dễ dàng
reading,(a1) đọc sách
ready,(a1) sẵn sàng
real,(a1) thực
realistic,(b2) thực tế
reality,(b1) thực tế
realization,(c1) hiện thực hóa
realize,(a2) nhận ra
really,(a1) thực sự
realm,(c1) vương quốc
rear,(c1) phía sau
rear,(c1) phía sau
reason,(a1) lý do
reasonable,(b2) hợp lý
reasonably,(b2) hợp lý
reasoning,(c1) lý luận
reassure,(c1) trấn an
rebel,(c1) nổi loạn
rebellion,(c1) nổi loạn
rebuild,(b2) xây dựng lại
recall,(b2) nhớ lại
receipt,(b1) biên nhận
receive,(a2) nhận được
receiver,(b2) người nhận
recent,(a2) gần đây
recently,(a2) gần đây
reception,(a2) tiếp tân
recession,(b2) suy thoái kinh tế
recipe,(a2) công thức
recipient,(c1) người nhận
reckon,(b2) tính toán
recognition,(b2) sự công nhận
recognize,(a2) nhận ra
recommend,(a2) đề nghị
recommendation,(b1) khuyến nghị
reconstruction,(c1) tái thiết
record,(a2) ghi lại
record,(a2) ghi lại
recording,(a2) ghi âm
recount,(c1) kể lại
recover,(b2) phục hồi
recovery,(b2) phục hồi
recruit,(b2) tuyển dụng
recruit,(b2) tuyển dụng
recruitment,(b2) tuyển dụng
recycle,(a2) tái chế
red,(a1) màu đỏ
red,(a1) màu đỏ
reduce,(a2) giảm bớt
reduction,(b2) giảm bớt
refer,(a2) tham khảo
referee,(b2) trọng tài
reference,(b1) tài liệu tham khảo
referendum,(c1) trưng cầu dân ý
reflect,(b1) phản ánh
reflection,(c1) sự phản ánh
reform,(c1) cải cách
reform,(c1) cải cách
refuge,(c1) nơi trú ẩn
