Term,Definition
score,(a2) ghi điểm
score,(a2) ghi điểm
scratch,(b2) gãi
scratch,(b2) gãi
scream,(b2) hét lên
scream,(b2) hét lên
screen,(a2) màn hình
screen,(b2) màn hình
screening,(b2) sàng lọc
screw,(c1) vít
screw,(c1) vít
script,(b1) kịch bản
scrutiny,(c1) sự xem xét kỹ lưỡng
sculpture,(b1) điêu khắc
sea,(a1) biển
seal,(c1) con dấu
seal,(c1) con dấu
search,(a2) tìm kiếm
search,(a2) tìm kiếm
season,(a2) mùa
seat,(a2) chỗ ngồi
seat,(b2) chỗ ngồi
second,(a2) thứ hai
second,(a1) thứ hai
second,(a1) thứ hai
second,(a1) thứ hai
secondary,(b1) thứ cấp
secondly,(a2) thứ hai
secret,(a2) bí mật
secret,(a2) bí mật
secretary,(a2) thư ký
section,(a1) phần
sector,(b2) lĩnh vực
secular,(c1) thế tục
secure,(b2) an toàn
secure,(b2) an toàn
security,(b1) an ninh
see,(a1) xem
seed,(b1) hạt giống
seek,(b2) tìm kiếm
seeker,(b2) người tìm kiếm
seem,(a2) dường như
seemingly,(c1) dường như
segment,(c1) đoạn
seize,(c1) nắm bắt
seldom,(c1) hiếm khi
select,(b2) chọn
selection,(b2) lựa chọn
selective,(c1) chọn lọc
self,(b2) tự
sell,(a1) bán
seminar,(b2) hội thảo
senator,(c1) thượng nghị sĩ
send,(a1) gửi
senior,(b2) cao cấp
sensation,(c1) cảm giác
sense,(a2) giác quan
sense,(b2) giác quan
sensible,(b1) hợp lý
sensitive,(b2) nhạy cảm
sensitivity,(c1) sự nhạy cảm
sentence,(a1) câu
sentence,(b2) câu
sentiment,(c1) tình cảm
separate,(a2) riêng biệt
separate,(b1) riêng biệt
separation,(c1) sự tách biệt
september,(a1) tháng chín
sequence,(b2) trình tự
serial,(c1) nối tiếp
series,(a2) loạt
serious,(a2) nghiêm túc
seriously,(b1) nghiêm túc
servant,(b1) người hầu
serve,(a2) phục vụ
service,(a2) dịch vụ
session,(b2) phiên
set,(b1) đặt
set,(b1) đặt
set-up,(c1) thiết lập
setting,(b1) thiết lập
settle,(b2) giải quyết
settlement,(c1) giải quyết
settler,(b2) người định cư
seven,(a1) bảy
seventeen,(a1) mười bảy
seventy,(a1) bảy mươi
several,(a2) một số
several,(a2) một số
severe,(b2) nghiêm trọng
severely,(b2) nghiêm khắc
sex,(b1) tình dục
sexual,(b1) tình dục
sexuality,(c1) tình dục
sexy,(b2) gợi cảm
shade,(b2) bóng râm
shadow,(b2) cái bóng
shake,(b1) lắc
shake,(a2) lắc
shall,(a2) sẽ
shallow,(b2) cạn
shame,(b2) xấu hổ
shape,(a2) hình dạng
shape,(b2) hình dạng
shaped,(b2) có hình dạng
share,(b1) chia sẻ
share,(a1) chia sẻ
shareholder,(c1) cổ đông
sharp,(b1) nhọn
shatter,(c1) đập vỡ
she,(a1) cô ấy
shed,(c1) đổ ra
sheep,(a1) cừu
sheer,(c1) tuyệt đối
sheet,(a2) tấm
shelf,(b1) kệ
shell,(b1) vỏ
shelter,(b2) nơi trú ẩn
shelter,(b2) nơi trú ẩn
shift,(b1) sự thay đổi
shift,(b2) sự thay đổi
shine,(b1) tỏa sáng
shiny,(b1) sáng bóng
ship,(a2) tàu
ship,(b2) tàu
shipping,(c1) vận chuyển
shirt,(a1) áo sơ mi
shock,(b2) cú sốc
shock,(b2) cú sốc
shocked,(b2) bị sốc
shocking,(b2) gây sốc
shoe,(a1) giày
shoot,(c1) bắn
shoot,(b1) bắn
shooting,(b2) bắn súng
shop,(a1) cửa tiệm
shop,(a1) cửa tiệm
shopping,(a1) mua sắm
shore,(b2) bờ biển
short,(a1) ngắn
short-term,(b2) ngắn hạn
shortage,(b2) sự thiếu hụt
shortly,(b2) trong thời gian ngắn
shot,(b2) bắn
should,(a1) nên
shoulder,(a2) vai
shout,(a2) hét lên
shout,(a2) hét lên
show,(a1) hiển thị
