Term,Definition
beverage,"đồ uống, thức uống"
cuisine,"ẩm thực, phong cách nấu nướng"
delicacy,"sơn hào hải vị, đặc sản"
appetizer,món khai vị
condiment,gia vị nêm nếm
nutritious,"bổ dưỡng, giàu dinh dưỡng"
digestive,thuộc về tiêu hóa
ingredient,nguyên liệu nấu ăn
preservative,chất bảo quản thực phẩm
vegetarian,người ăn chay
dietary,thuộc chế độ ăn uống
calorie,"calo, đơn vị năng lượng"
metabolism,sự trao đổi chất
organic,"hữu cơ, tự nhiên"
carbohydrate,chất đường bột
protein,chất đạm
culinary,liên quan đến bếp núc
edible,"có thể ăn được, không độc"
gourmet,"người sành ăn, món ăn cao cấp"
fermentation,sự lên men
