Term,Definition
invention,(a2) phát minh
invest,(b1) đầu tư
investigate,(b1) điều tra
investigation,(b2) điều tra
investigator,(c1) người điều tra
investment,(b2) đầu tư
investor,(b2) nhà đầu tư
invisible,(c1) vô hình
invitation,(a2) lời mời
invite,(a2) mời
invoke,(c1) gọi
involve,(a2) liên quan đến
involved,(b1) có liên quan
involvement,(c1) sự tham gia
iron,(b1) sắt
iron,(b1) sắt
ironic,(c1) mỉa mai
ironically,(c1) trớ trêu thay
irony,(c1) sự mỉa mai
irrelevant,(c1) không liên quan
island,(a1) hòn đảo
isolate,(b2) cô lập
isolated,(b2) bị cô lập
isolation,(c1) sự cô lập
issue,(b1) vấn đề
issue,(b2) vấn đề
it,(b1) nó
it,(a1) nó
item,(a2) mục
its,(a1) nó
itself,(a2) chính nó
jacket,(a1) áo khoác
jail,(b2) nhà tù
jail,(b2) nhà tù
jam,(a2) mứt
january,(a1) tháng giêng
jazz,(a2) nhạc jazz
jeans,(a1) quần jean
jet,(b2) máy bay phản lực
jewellery,(a2) đồ trang sức
job,(a1) công việc
join,(a1) tham gia
joint,(b2) khớp
joint,(b2) khớp
joke,(a2) trò đùa
joke,(a2) trò đùa
journal,(b1) tạp chí
journalism,(b2) báo chí
journalist,(a2) nhà báo
journey,(a1) cuộc hành trình
joy,(b2) niềm vui
judge,(b1) thẩm phán
judge,(b1) thẩm phán
judgement,(b2) sự phán xét
judicial,(c1) tư pháp
juice,(a1) nước trái cây
july,(a1) tháng bảy
jump,(a2) nhảy
jump,(a2) nhảy
junction,(c1) ngã ba
june,(a1) tháng sáu
junior,(b2) đàn em
jurisdiction,(c1) thẩm quyền
jury,(b2) bồi thẩm đoàn
just,(c1) chỉ
just,(a1) chỉ
justice,(b2) công lý
justification,(c1) sự biện minh
justify,(b2) biện minh
keen,(b1) quan tâm
keep,(a1) giữ
key,(a1) chìa khóa
key,(a1) chìa khóa
key,(b1) chìa khóa
keyboard,(b1) bàn phím
kick,(b1) cú đá
kick,(b1) cú đá
kid,(a2) đứa trẻ
kidnap,(c1) bắt cóc
kidney,(c1) thận
kill,(a2) giết
killing,(b1) giết chóc
kilometre,(a1) cây số
kind,(b1) loại
kind,(a1) loại
king,(a2) vua
kingdom,(c1) vương quốc
kiss,(b1) hôn
kiss,(b1) hôn
kit,(b2) bộ đồ
kitchen,(a1) nhà bếp
knee,(a2) đầu gối
knife,(a2) con dao
knock,(b1) gõ cửa
knock,(a2) gõ cửa
know,(a1) biết
knowledge,(a2) kiến thức
lab,(a2) phòng thí nghiệm
label,(b1) nhãn
label,(b1) nhãn
laboratory,(b1) phòng thí nghiệm
labour,(b2) lao động
lack,(b1) thiếu
lack,(b1) thiếu
lad,(c1) chàng trai
ladder,(b2) thang
lady,(a2) quý cô
lake,(a2) hồ
lamp,(a2) đèn
land,(a1) đất đai
land,(a2) đất đai
landing,(b2) hạ cánh
landlord,(c1) chủ nhà
landmark,(c1) cột mốc
landscape,(b2) phong cảnh
lane,(b2) làn đường
language,(a1) ngôn ngữ
lap,(c1) lòng
laptop,(a2) máy tính xách tay
large,(a1) lớn
large-scale,(c1) quy mô lớn
largely,(b2) phần lớn
laser,(c1) tia laze
last,(a2) cuối cùng
last,(a1) cuối cùng
last,(a2) cuối cùng
last,(a2) cuối cùng
late,(a1) muộn
late,(a1) muộn
lately,(b2) gần đây
later,(a2) sau này
later,(a1) sau này
latest,(b1) mới nhất
latest,(b2) mới nhất
latter,(c1) sau này
latter,(c1) sau này
laugh,(a1) cười
laugh,(a1) cười
laughter,(a2) tiếng cười
launch,(b2) phóng
launch,(b2) phóng
law,(a2) pháp luật
lawn,(c1) bãi cỏ
lawsuit,(c1) vụ kiện
lawyer,(a2) luật sư
lay,(b1) nằm
layer,(b1) lớp
layout,(c1) bố cục
lazy,(a2) lười biếng
