Term,Definition
present,(a1) hiện tại
present,(a2) hiện tại
presentation,(b1) trình bày
presently,(c1) hiện tại
preservation,(c1) bảo quản
preserve,(b2) bảo tồn
preside,(c1) chủ trì
presidency,(c1) tổng thống
president,(a2) chủ tịch
presidential,(c1) tổng thống
press,(b1) nhấn
press,(b1) nhấn
pressure,(b1) áp lực
prestigious,(c1) uy tín
presumably,(c1) có lẽ
presume,(c1) đoán chừng
pretend,(b1) giả vờ
pretty,(a1) xinh đẹp
pretty,(a1) xinh đẹp
prevail,(c1) chiếm ưu thế
prevalence,(c1) sự phổ biến
prevent,(a2) ngăn chặn
prevention,(c1) phòng ngừa
previous,(b1) trước đó
previously,(b1) trước đó
prey,(c1) con mồi
price,(a1) giá cả
price,(b2) giá cả
pride,(b2) niềm tự hào
priest,(b1) linh mục
primarily,(b2) chủ yếu
primary,(b1) chính
prime,(b2) số nguyên tố
prince,(b1) hoàng tử
princess,(b1) công chúa
principal,(b2) hiệu trưởng
principal,(c1) hiệu trưởng
principle,(b2) nguyên tắc
print,(b2) in
print,(a2) in
printer,(a2) máy in
printing,(b1) in ấn
prior,(b2) trước
priority,(b2) ưu tiên
prison,(a2) nhà tù
prisoner,(b1) tù nhân
privacy,(b2) sự riêng tư
private,(b1) riêng tư
privatization,(c1) tư nhân hóa
privilege,(c1) đặc quyền
prize,(a2) giải thưởng
probability,(b2) xác suất
probable,(b2) có thể xảy ra
probably,(a1) có lẽ
probe,(c1) thăm dò
probe,(c1) thăm dò
problem,(a1) vấn đề
problematic,(c1) có vấn đề
procedure,(b2) thủ tục
proceed,(b2) tiến hành
proceeding,(c1) tiến hành
proceeds,(c1) tiền thu được
process,(a2) quá trình
process,(b2) quá trình
processing,(c1) chế biến
processor,(c1) bộ xử lý
proclaim,(c1) tuyên bố
produce,(b2) sản xuất
produce,(a2) sản xuất
producer,(b1) nhà sản xuất
product,(a1) sản phẩm
production,(b1) sản xuất
productive,(c1) năng suất
productivity,(c1) năng suất
profession,(b1) nghề nghiệp
professional,(a2) chuyên nghiệp
professional,(b2) chuyên nghiệp
professor,(a2) giáo sư
profile,(a2) hồ sơ
profit,(b1) lợi nhuận
profitable,(c1) có lợi nhuận
profound,(c1) sâu sắc
program,(a2) chương trình
program,(b1) chương trình
programme,(a1) chương trình
programming,(b2) lập trình
progress,(a2) tiến bộ
progress,(b2) tiến bộ
progressive,(b2) tiến bộ
prohibit,(b2) cấm
project,(a1) dự án
project,(b2) dự án
projection,(c1) phép chiếu
prominent,(c1) nổi bật
promise,(a2) lời hứa
promise,(a2) lời hứa
promising,(b2) đầy hứa hẹn
promote,(b1) thúc đẩy
promotion,(b2) khuyến mãi
prompt,(b2) nhắc nhở
pronounce,(a2) phát âm
pronounced,(c1) phát âm
proof,(b2) bằng chứng
propaganda,(c1) tuyên truyền
proper,(b1) thích hợp
properly,(b1) đúng cách
property,(b1) tài sản
proportion,(b2) tỷ lệ
proposal,(b2) đề nghị
propose,(b2) đề nghị
proposition,(c1) lời đề nghị
prosecute,(c1) truy tố
prosecution,(c1) truy tố
prosecutor,(c1) công tố viên
prospect,(b2) triển vọng
prospective,(c1) triển vọng
prosperity,(c1) sự thịnh vượng
protect,(a2) bảo vệ
protection,(b2) bảo vệ
protective,(c1) bảo vệ
protein,(b2) chất đạm
protest,(b1) phản đối
protest,(b1) phản đối
protester,(b2) người biểu tình
protocol,(c1) giao thức
proud,(b1) tự hào
prove,(b1) chứng minh
provide,(a2) cung cấp
province,(c1) tỉnh
provincial,(c1) tỉnh
provision,(c1) cung cấp
provoke,(c1) khiêu khích
psychiatric,(c1) tâm thần
psychological,(b2) tâm lý
psychologist,(b2) nhà tâm lý học
psychology,(b2) tâm lý học
pub,(a2) quán rượu
public,(a2) công khai
public,(a2) công khai
publication,(b2) công bố
publicity,(b2) công khai
publish,(a2) xuất bản
publishing,(b2) xuất bản
pull,(b1) kéo
pull,(a2) kéo
pulse,(c1) mạch đập
pump,(c1) máy bơm
pump,(c1) máy bơm
punch,(c1) cú đấm
