Term,Definition
revelation,(c1) sự mặc khải
revenge,(c1) trả thù
revenue,(b2) doanh thu
reverse,(c1) đảo ngược
reverse,(c1) đảo ngược
reverse,(c1) đảo ngược
review,(a2) đánh giá
review,(a2) đánh giá
revise,(b1) sửa lại
revision,(b2) sửa đổi
revival,(c1) sự hồi sinh
revive,(c1) hồi sinh
revolution,(b2) cuộc cách mạng
revolutionary,(c1) mang tính cách mạng
reward,(b2) phần thưởng
reward,(b2) phần thưởng
rhetoric,(c1) hùng biện
rhythm,(b2) nhịp điệu
rice,(a1) cơm
rich,(a1) giàu có
rid,(b2) loại bỏ
ride,(a2) đi xe
ride,(a1) đi xe
ridiculous,(b2) lố bịch
rifle,(c1) súng trường
right,(a1) đúng
right,(a1) đúng
right,(a1) đúng
ring,(a2) chiếc nhẫn
ring,(a2) chiếc nhẫn
riot,(c1) bạo loạn
rip,(c1) xé toạc
rise,(b1) tăng lên
rise,(a2) tăng lên
risk,(b1) rủi ro
risk,(b1) rủi ro
risky,(b2) nguy hiểm
ritual,(c1) nghi lễ
rival,(b2) đối thủ
rival,(b2) đối thủ
river,(a1) con sông
road,(a1) đường
rob,(b2) cướp
robbery,(b2) cướp
robot,(b1) người máy
robust,(c1) khỏe mạnh
rock,(a2) đá
rock,(c1) đá
rocket,(b2) tên lửa
rod,(c1) gậy
role,(a2) vai trò
roll,(b1) cuộn
roll,(b1) cuộn
romance,(b2) lãng mạn
romantic,(b1) lãng mạn
roof,(a2) mái nhà
room,(a1) phòng
root,(b2) gốc
rope,(b1) dây thừng
rose,(b2) hoa hồng
rotate,(c1) xoay
rotation,(c1) sự xoay vòng
rough,(b1) thô
roughly,(b2) đại khái
round,(a2) tròn
round,(a2) tròn
round,(b2) tròn
round,(a2) tròn
route,(a2) tuyến đường
routine,(b2) thói quen
routine,(a1) thói quen
row,(b1) hàng
royal,(b1) hoàng gia
rub,(b2) chà xát
rubber,(b2) cao su
rubber,(b2) cao su
rubbish,(a2) rác rưởi
rude,(a2) thô lỗ
rugby,(b1) bóng bầu dục
ruin,(b2) hủy hoại
ruin,(b2) hủy hoại
rule,(a1) cai trị
rule,(b1) cai trị
ruling,(c1) cai trị
rumour,(c1) tin đồn
run,(a2) chạy
run,(a1) chạy
runner,(a2) á quân
running,(a2) đang chạy
rural,(b2) nông thôn
rush,(b2) vội vã
rush,(b2) vội vã
sack,(c1) bao tải
sacred,(c1) thiêng liêng
sacrifice,(c1) sự hy sinh
sacrifice,(c1) sự hy sinh
sad,(a1) buồn
sadly,(a2) thật đáng buồn
safe,(a2) an toàn
safety,(b1) an toàn
sail,(b1) cánh buồm
sail,(a2) cánh buồm
sailing,(a2) chèo thuyền
sailor,(b1) thủy thủ
saint,(c1) thánh nhân
sake,(c1) vì lợi ích
salad,(a1) xà lách
salary,(a2) tiền lương
sale,(a2) bán
salt,(a1) muối
same,(a1) giống nhau
same,(a1) giống nhau
same,(a1) giống nhau
sample,(b1) mẫu vật
sample,(b2) mẫu vật
sanction,(c1) sự trừng phạt
sand,(b1) cát
sandwich,(a1) bánh sandwich
satellite,(b2) vệ tinh
satisfaction,(b2) sự hài lòng
satisfied,(b2) hài lòng
satisfy,(b2) thỏa mãn
saturday,(a1) thứ bảy
sauce,(a2) nước sốt
save,(a2) lưu lại
saving,(b2) tiết kiệm
say,(c1) nói
say,(a1) nói
scale,(b2) quy mô
scan,(b1) quét
scandal,(b2) vụ bê bối
scare,(b2) sợ hãi
scare,(b2) sợ hãi
scared,(a2) sợ hãi
scary,(a2) đáng sợ
scattered,(c1) rải rác
scenario,(b2) kịch bản
scene,(a2) bối cảnh
sceptical,(c1) hoài nghi
schedule,(a2) lịch trình
schedule,(b2) lịch trình
scheme,(b2) kế hoạch
scholar,(b2) học giả
scholarship,(b2) học bổng
school,(a1) trường học
science,(a1) khoa học
scientific,(b1) khoa học
scientist,(a1) nhà khoa học
scope,(c1) phạm vi
