Term,Definition
value,(b2) verb
van,(a2) noun
vanish,(c1) verb
variable,(c1) adjective
variable,(c1) noun
variation,(b2) noun
varied,(c1) adjective
variety,(a2) noun
various,(b1) adjective
vary,(b2) verb
vast,(b2) adjective
vegetable,(a1) noun
vehicle,(a2) noun
vein,(c1) noun
venture,(c1) noun
venture,(c1) verb
venue,(b2) noun
verbal,(c1) adjective
verdict,(c1) noun
verify,(c1) verb
verse,(c1) noun
version,(b1) noun
versus,(c1) preposition
vertical,(b2) adjective
very,(b2) adjective
very,(a1) adverb
vessel,(c1) noun
veteran,(c1) noun
via,(b2) preposition
viable,(c1) adjective
vibrant,(c1) adjective
vice,(c1) noun
vicious,(c1) adjective
victim,(b1) noun
victory,(b2) noun
video,(a1) noun
view,(a2) noun
view,(b1) verb
viewer,(b1) noun
viewpoint,(b2) noun
village,(a1) noun
villager,(c1) noun
violate,(c1) verb
violation,(c1) noun
violence,(b2) noun
violent,(b1) adjective
virtual,(b2) adjective
virtue,(c1) noun
virus,(a2) noun
visa,(b2) noun
visible,(b2) adjective
vision,(b2) noun
visit,(a1) noun
visit,(a1) verb
visitor,(a1) noun
visual,(b2) adjective
vital,(b2) adjective
vitamin,(b2) noun
vocal,(c1) adjective
voice,(a2) noun
volume,(b2) noun
voluntary,(b2) adjective
volunteer,(b1) noun
volunteer,(b1) verb
vote,(b1) noun
vote,(b1) verb
voting,(b2) noun
vow,(c1) verb
vulnerability,(c1) noun
vulnerable,(c1) adjective
wage,(b2) noun
wait,(a2) noun
wait,(a1) verb
waiter,(a1) noun
wake,(a1) verb
walk,(a1) noun
walk,(a1) verb
wall,(a1) noun
wander,(b2) verb
want,(a1) verb
war,(a2) noun
ward,(c1) noun
warehouse,(c1) noun
warfare,(c1) noun
warm,(a1) adjective
warm,(b1) verb
warming,(b2) noun
warn,(b1) verb
warning,(b1) noun
warrant,(c1) noun
warrant,(c1) verb
warrior,(c1) noun
wash,(a2) noun
wash,(a1) verb
washing,(a2) noun
waste,(b1) adjective
waste,(b1) noun
waste,(b1) verb
watch,(a1) noun
watch,(a1) verb
water,(a1) noun
water,(b1) verb
wave,(a2) noun
wave,(b1) verb
way,(b2) adverb
way,(a1) noun
we,(a1) pronoun
weak,(a2) adjective
weaken,(c1) verb
weakness,(b2) noun
wealth,(b2) noun
wealthy,(b2) adjective
weapon,(b1) noun
wear,(a1) verb
weather,(a1) noun
weave,(c1) verb
web,(a2) noun
website,(a1) noun
wedding,(a2) noun
wednesday,(a1) noun
weed,(c1) noun
week,(a1) noun
weekend,(a1) noun
weekly,(b2) adjective
weigh,(b1) verb
weight,(a2) noun
weird,(b2) adjective
welcome,(a1) adjective
welcome,(a1) exclamation
welcome,(a2) noun
welcome,(a1) verb
welfare,(b2) noun
well,(a1) adjective
well,(a1) adverb
well,(a1) exclamation
well,(c1) noun
well-being,(c1) noun
west,(a1) adjective
west,(a1) adverb
west,(a1) noun
western,(b1) adjective
wet,(a2) adjective
what,(a1) determiner
what,(a1) pronoun
whatever,(c1) adverb
whatever,(b1) determiner
whatever,(b1) pronoun
whatsoever,(c1) adverb
wheat,(b2) noun
