Term,Definition
different,(a1) khác nhau
differentiate,(c1) phân biệt
differently,(a2) khác nhau
difficult,(a1) khó khăn
difficulty,(b1) khó khăn
dig,(b2) đào
digital,(a2) kỹ thuật số
dignity,(c1) phẩm giá
dilemma,(c1) vấn đề nan giải
dimension,(c1) chiều
diminish,(c1) giảm bớt
dinner,(a1) bữa tối
dip,(c1) nhúng
diplomat,(c1) nhà ngoại giao
diplomatic,(c1) ngoại giao
direct,(a2) trực tiếp
direct,(b1) trực tiếp
direct,(b1) trực tiếp
direction,(a2) phương hướng
directly,(b1) trực tiếp
director,(a2) giám đốc
directory,(c1) thư mục
dirt,(b1) bụi bẩn
dirty,(a1) dơ bẩn
disability,(b2) khuyết tật
disabled,(b2) bị vô hiệu hóa
disadvantage,(b1) bất lợi
disagree,(a2) không đồng ý
disagreement,(b2) bất đồng
disappear,(a2) biến mất
disappoint,(b2) thất vọng
disappointed,(b1) thất vọng
disappointing,(b1) đáng thất vọng
disappointment,(b2) sự thất vọng
disaster,(a2) thảm họa
disastrous,(c1) thảm họa
disc,(b2) đĩa
discard,(c1) vứt bỏ
discharge,(c1) xả
discipline,(b2) kỷ luật
disclose,(c1) tiết lộ
disclosure,(c1) tiết lộ
discount,(b1) giảm giá
discount,(b2) giảm giá
discourage,(b2) làm nản lòng
discourse,(c1) diễn ngôn
discover,(a2) khám phá
discovery,(a2) khám phá
discretion,(c1) tùy ý
discrimination,(c1) sự phân biệt đối xử
discuss,(a1) thảo luận
discussion,(a2) thảo luận
disease,(a2) bệnh tật
dish,(a1) món ăn
dishonest,(b2) không trung thực
disk,(b2) đĩa
dislike,(b1) không thích
dislike,(b1) không thích
dismiss,(b2) bác bỏ
dismissal,(c1) sa thải
disorder,(b2) rối loạn
displace,(c1) thay thế
display,(b2) trưng bày
display,(b2) trưng bày
disposal,(c1) xử lý
dispose,(c1) vứt bỏ
dispute,(c1) tranh chấp
dispute,(c1) tranh chấp
disrupt,(c1) làm gián đoạn
disruption,(c1) sự gián đoạn
dissolve,(c1) hòa tan
distance,(a2) khoảng cách
distant,(b2) xa xôi
distinct,(b2) khác biệt
distinction,(c1) sự phân biệt
distinctive,(c1) đặc biệt
distinguish,(b2) phân biệt
distort,(c1) bóp méo
distract,(b2) đánh lạc hướng
distress,(c1) đau khổ
distress,(c1) đau khổ
distribute,(b2) phân phối
distribution,(b2) phân phối
district,(b2) huyện
disturb,(b2) làm phiền
disturbing,(c1) làm phiền
dive,(b2) lặn
dive,(b2) lặn
diverse,(b2) đa dạng
diversity,(b2) sự đa dạng
divert,(c1) chuyển hướng
divide,(b2) chia
divide,(b1) chia
divine,(c1) thần thánh
division,(b2) phép chia
divorce,(b2) ly hôn
divorce,(b2) ly hôn
divorced,(a2) đã ly hôn
do,(a1) làm
do,(a1) làm
doctor,(a1) bác sĩ
doctrine,(c1) học thuyết
document,(a2) tài liệu
document,(b2) tài liệu
documentary,(b1) phim tài liệu
documentation,(c1) tài liệu
dog,(a1) con chó
dollar,(a1) đô la
domain,(c1) miền
domestic,(b2) trong nước
dominance,(c1) sự thống trị
dominant,(b2) chiếm ưu thế
dominate,(b2) thống trị
donate,(b1) quyên góp
donation,(b2) quyên góp
donor,(c1) nhà tài trợ
door,(a1) cửa
dose,(c1) liều lượng
dot,(b2) dấu chấm
double,(a2) gấp đôi
double,(b1) gấp đôi
double,(a2) gấp đôi
double,(a2) gấp đôi
double,(a2) gấp đôi
doubt,(b1) nghi ngờ
doubt,(b1) nghi ngờ
down,(a1) xuống
down,(a1) xuống
download,(a2) tải về
download,(a2) tải về
downstairs,(a2) tầng dưới
downstairs,(a1) tầng dưới
downtown,(b2) trung tâm thành phố
downtown,(b2) trung tâm thành phố
downtown,(b2) trung tâm thành phố
downwards,(b2) đi xuống
dozen,(b2) tá
dozen,(b2) tá
draft,(b2) dự thảo
draft,(b2) dự thảo
drag,(b2) kéo
drain,(c1) cống
drama,(a2) kịch
dramatic,(b2) kịch tính
dramatically,(b2) một cách đột ngột
draw,(a1) vẽ
drawing,(a2) vẽ
dream,(a2) giấc mơ
dream,(a2) giấc mơ
