Term,Definition
biodiversity,sự đa dạng sinh học
deforestation,nạn phá rừng
greenhouse effect,hiệu ứng nhà kính
renewable energy,năng lượng tái tạo
fossil fuel,nhiên liệu hóa thạch
emission,khí thải xả ra môi trường
ecosystem,hệ sinh thái
endangered species,loài có nguy cơ tuyệt chủng
conservation,sự bảo tồn thiên nhiên
sustainability,sự phát triển bền vững
contamination,sự làm nhiễm độc môi trường
carbon footprint,dấu chân carbon
drought,hạn hán kéo dài
erosion,sự xói mòn đất đai
habitat loss,mất môi trường sống
glacier,sông băng tan chảy
pollutant,chất gây ô nhiễm
solar panel,tấm pin năng lượng mặt trời
waste management,sự xử lý chất thải
ozone layer,tầng ô-dôn bảo vệ
