Term,Definition
appliance,thiết bị gia dụng
renovation,"sự nâng cấp, cải tạo nhà"
amenity,tiện nghi sinh hoạt
mortgage,khoản vay thế chấp mua nhà
suburb,khu vực ngoại ô
landlord,chủ nhà cho thuê
tenant,người thuê nhà
maintenance,"sự bảo trì, bảo dưỡng"
clutter,"sự bừa bộn, lộn xộn"
dwelling,"nơi ở, nhà ở"
interior,nội thất bên trong
ventilation,"sự thông gió, thoáng khí"
insulation,vật liệu cách nhiệt/cách âm
furnishing,đồ đạc bài trí trong phòng
corridor,hành lang
balcony,ban công
spacious,"rộng rãi, thoáng đãng"
cozy,"ấm cúng, thoải mái"
utensil,dụng cụ nhà bếp
lease,hợp đồng cho thuê
