Term,Definition
accommodation,"chỗ ở, nơi lưu trú"
hospitality,"ngành khách sạn, lòng hiếu khách"
sightseeing,hoạt động ngắm cảnh
souvenir,quà lưu niệm
excursion,"chuyến dã ngoại, tham quan ngắn"
breathtaking,"đẹp ngoạn mục, ngỡ ngàng"
picturesque,đẹp như tranh vẽ
monument,"đài tưởng niệm, di tích"
heritage,di sản văn hóa
expedition,chuyến thám hiểm
voyage,chuyến du hành đường biển dài ngày
guided tour,tour có hướng dẫn viên
concierge,nhân viên hỗ trợ khách sạn
amenities,tiện nghi trong khách sạn
reservation,sự đặt chỗ trước
itinerary,lịch trình chi tiết
jet lag,sự mệt mỏi do lệch múi giờ
resort,khu nghỉ dưỡng cao cấp
scenic,thuộc cảnh quan thiên nhiên đẹp
backpacking,"du lịch ba lô, phượt"
