Term,Definition
value,(b2) giá trị
van,(a2) xe tải
vanish,(c1) biến mất
variable,(c1) biến
variable,(c1) biến
variation,(b2) biến thể
varied,(c1) đa dạng
variety,(a2) đa dạng
various,(b1) khác nhau
vary,(b2) thay đổi
vast,(b2) rộng lớn
vegetable,(a1) rau
vehicle,(a2) xe cộ
vein,(c1) tĩnh mạch
venture,(c1) mạo hiểm
venture,(c1) mạo hiểm
venue,(b2) địa điểm
verbal,(c1) bằng lời nói
verdict,(c1) phán quyết
verify,(c1) xác minh
verse,(c1) câu thơ
version,(b1) phiên bản
versus,(c1) so với
vertical,(b2) theo chiều dọc
very,(b2) rất
very,(a1) rất
vessel,(c1) tàu
veteran,(c1) cựu chiến binh
via,(b2) qua
viable,(c1) khả thi
vibrant,(c1) sôi động
vice,(c1) phó
vicious,(c1) luẩn quẩn
victim,(b1) nạn nhân
victory,(b2) chiến thắng
video,(a1) nghĩa của từ video
view,(a2) lượt xem
view,(b1) lượt xem
viewer,(b1) người xem
viewpoint,(b2) quan điểm
village,(a1) làng
villager,(c1) dân làng
violate,(c1) vi phạm
violation,(c1) vi phạm
violence,(b2) bạo lực
violent,(b1) bạo lực
virtual,(b2) ảo
virtue,(c1) đức hạnh
virus,(a2) nghĩa của từ virus
visa,(b2) thị thực
visible,(b2) có thể nhìn thấy
vision,(b2) tầm nhìn
visit,(a1) chuyến thăm
visit,(a1) chuyến thăm
visitor,(a1) du khách
visual,(b2) trực quan
vital,(b2) quan trọng
vitamin,(b2) nghĩa của từ vitamin
vocal,(c1) phát âm
voice,(a2) giọng nói
volume,(b2) khối lượng
voluntary,(b2) tự nguyện
volunteer,(b1) tình nguyện viên
volunteer,(b1) tình nguyện viên
vote,(b1) bỏ phiếu
vote,(b1) bỏ phiếu
voting,(b2) bỏ phiếu
vow,(c1) lời thề
vulnerability,(c1) tính dễ bị tổn thương
vulnerable,(c1) dễ bị tổn thương
wage,(b2) tiền lương
wait,(a2) chờ đã
wait,(a1) chờ đã
waiter,(a1) bồi bàn
wake,(a1) thức dậy
walk,(a1) đi bộ
walk,(a1) đi bộ
wall,(a1) bức tường
wander,(b2) đi lang thang
want,(a1) muốn
war,(a2) chiến tranh
ward,(c1) phường
warehouse,(c1) nhà kho
warfare,(c1) chiến tranh
warm,(a1) ấm áp
warm,(b1) ấm áp
warming,(b2) sự nóng lên
warn,(b1) cảnh báo
warning,(b1) cảnh báo
warrant,(c1) lệnh bảo đảm
warrant,(c1) lệnh bảo đảm
warrior,(c1) chiến binh
wash,(a2) rửa
wash,(a1) rửa
washing,(a2) rửa
waste,(b1) chất thải
waste,(b1) chất thải
waste,(b1) chất thải
watch,(a1) xem
watch,(a1) xem
water,(a1) nước
water,(b1) nước
wave,(a2) làn sóng
wave,(b1) làn sóng
way,(b2) đường
way,(a1) đường
we,(a1) chúng tôi
weak,(a2) yếu đuối
weaken,(c1) suy yếu
weakness,(b2) điểm yếu
wealth,(b2) sự giàu có
wealthy,(b2) giàu có
weapon,(b1) vũ khí
wear,(a1) mặc
weather,(a1) thời tiết
weave,(c1) dệt
web,(a2) mạng lưới
website,(a1) trang web
wedding,(a2) lễ cưới
wednesday,(a1) thứ tư
weed,(c1) cỏ dại
week,(a1) tuần
weekend,(a1) cuối tuần
weekly,(b2) hàng tuần
weigh,(b1) cân
weight,(a2) trọng lượng
weird,(b2) kỳ lạ
welcome,(a1) chào mừng
welcome,(a1) chào mừng
welcome,(a2) chào mừng
welcome,(a1) chào mừng
welfare,(b2) phúc lợi
well,(a1) à
well,(a1) à
well,(a1) à
well,(c1) à
well-being,(c1) hạnh phúc
west,(a1) hướng tây
west,(a1) hướng tây
west,(a1) hướng tây
western,(b1) phương tây
wet,(a2) ướt
what,(a1) cái gì
what,(a1) cái gì
whatever,(c1) sao cũng được
whatever,(b1) sao cũng được
whatever,(b1) sao cũng được
whatsoever,(c1) bất cứ điều gì
wheat,(b2) lúa mì
