Term,Definition
expect,(a2) mong đợi
expectation,(b2) sự mong đợi
expected,(b1) dự kiến
expedition,(b1) cuộc thám hiểm
expenditure,(c1) chi tiêu
expense,(b2) chi phí
expensive,(a1) đắt tiền
experience,(a2) kinh nghiệm
experience,(b1) kinh nghiệm
experienced,(b1) có kinh nghiệm
experiment,(a2) thí nghiệm
experiment,(b1) thí nghiệm
experimental,(c1) thực nghiệm
expert,(a2) chuyên gia
expert,(a2) chuyên gia
expertise,(b2) chuyên môn
expire,(c1) hết hạn
explain,(a1) giải thích
explanation,(a2) lời giải thích
explicit,(c1) rõ ràng
explicitly,(c1) rõ ràng
explode,(b1) nổ tung
exploit,(b2) khai thác
exploitation,(c1) bóc lột
exploration,(b2) thăm dò
explore,(b1) khám phá
explosion,(b1) vụ nổ
explosive,(c1) chất nổ
explosive,(c1) chất nổ
export,(b1) xuất khẩu
export,(b1) xuất khẩu
expose,(b2) vạch trần
exposure,(b2) tiếp xúc
express,(a2) thể hiện
expression,(a2) biểu hiện
extend,(b2) mở rộng
extension,(b2) phần mở rộng
extensive,(b2) rộng rãi
extensively,(b2) rộng rãi
extent,(b2) phạm vi
external,(b2) bên ngoài
extra,(a1) thêm
extra,(b1) thêm
extra,(b1) thêm
extract,(b2) chiết xuất
extract,(c1) chiết xuất
extraordinary,(b2) phi thường
extreme,(a2) cực đoan
extreme,(b2) cực đoan
extremely,(a2) cực kỳ
extremist,(c1) cực đoan
eye,(a1) mắt
fabric,(b2) vải
fabulous,(b2) tuyệt vời
face,(a1) đối mặt
face,(b1) đối mặt
facilitate,(c1) tạo điều kiện thuận lợi
facility,(b2) cơ sở vật chất
fact,(a1) sự thật
faction,(c1) phe phái
factor,(a2) yếu tố
factory,(a2) nhà máy
faculty,(c1) khoa
fade,(c1) mờ dần
fail,(a2) thất bại
failed,(b2) thất bại
failure,(b2) thất bại
fair,(a2) công bằng
fairly,(b1) khá
fairness,(c1) sự công bằng
faith,(b2) đức tin
fake,(b2) giả mạo
fall,(a2) ngã
fall,(a1) ngã
false,(a1) sai
fame,(b2) danh tiếng
familiar,(b1) quen thuộc
family,(a1) gia đình
family,(a1) gia đình
famous,(a1) nổi tiếng
fan,(a2) quạt
fancy,(b1) ưa thích
fancy,(b1) ưa thích
fantastic,(a1) tuyệt vời
fantasy,(b2) tưởng tượng
far,(b1) xa
far,(a1) xa
fare,(b2) giá vé
farm,(a1) trang trại
farm,(a2) trang trại
farmer,(a1) nông dân
farming,(a2) nông nghiệp
fascinating,(b1) hấp dẫn
fashion,(a2) thời trang
fashionable,(b1) hợp thời trang
fast,(a1) nhanh
fast,(a1) nhanh
fasten,(b1) buộc chặt
fat,(a1) béo
fat,(a2) béo
fatal,(c1) gây tử vong
fate,(c1) số phận
father,(a1) cha
fault,(b2) lỗi
favour,(b1) ủng hộ
favour,(b2) ủng hộ
favourable,(c1) thuận lợi
favourite,(a1) yêu thích
favourite,(a1) yêu thích
fear,(a2) nỗi sợ hãi
fear,(b1) nỗi sợ hãi
feat,(c1) kỳ công
feather,(b2) lông vũ
feature,(a2) tính năng
feature,(b1) tính năng
february,(a1) tháng hai
federal,(b2) liên bang
fee,(b2) lệ phí
feed,(b2) thức ăn
feed,(a2) thức ăn
feedback,(b2) phản hồi
feeding,cho ăn
feel,(b2) cảm thấy
feel,(a1) cảm thấy
feeling,(a1) cảm giác
fellow,(b2) đồng nghiệp
female,(a2) nữ
female,(a2) nữ
feminist,(c1) nhà nữ quyền
feminist,(c1) nhà nữ quyền
fence,(b1) hàng rào
festival,(a1) lễ hội
fever,(b2) sốt
few,(a1) ít
few,(a1) ít
few,(a1) ít
fibre,(c1) chất xơ
fiction,(a2) viễn tưởng
field,(a2) lĩnh vực
fierce,(c1) khốc liệt
fifteen,(a1) mười lăm
fifth,(a1) thứ năm
fifty,(a1) năm mươi
fight,(a2) chiến đấu
fight,(a2) chiến đấu
fighting,(b1) chiến đấu
figure,(a2) hình
figure,(b2) hình
file,(b1) tập tin
