Term,Definition
increasingly,(b2) ngày càng
incredible,(a2) không thể tin được
incredibly,(b1) vô cùng
incur,(c1) gánh chịu
indeed,(b1) thực sự
independence,(b2) độc lập
independent,(a2) độc lập
index,(b2) chỉ số
indicate,(b1) chỉ ra
indication,(b2) chỉ dẫn
indicator,(c1) chỉ báo
indictment,(c1) bản cáo trạng
indigenous,(c1) bản địa
indirect,(b1) gián tiếp
individual,(a2) cá nhân
individual,(a2) cá nhân
indoor,(b1) trong nhà
indoors,(b1) trong nhà
induce,(c1) xúi giục
indulge,(c1) thưởng thức
industrial,(b2) công nghiệp
industry,(a2) ngành công nghiệp
inequality,(c1) bất bình đẳng
inevitable,(b2) không thể tránh khỏi
inevitably,(b2) tất yếu
infamous,(c1) khét tiếng
infant,(c1) trẻ sơ sinh
infect,(c1) lây nhiễm
infection,(b2) nhiễm trùng
infer,(b2) suy ra
inflation,(b2) lạm phát
inflict,(c1) gây ra
influence,(b1) ảnh hưởng
influence,(b1) ảnh hưởng
influential,(c1) có ảnh hưởng
info,(b2) thông tin
inform,(b2) thông báo
informal,(a2) không chính thức
information,(a1) thông tin
infrastructure,(b2) cơ sở hạ tầng
ingredient,(b1) thành phần
inhabitant,(b2) cư dân
inherent,(c1) vốn có
inherit,(b2) kế thừa
inhibit,(c1) ức chế
initial,(b2) ban đầu
initially,(b2) ban đầu
initiate,(c1) khởi xướng
initiative,(b2) sáng kiến
inject,(c1) tiêm
injection,(c1) tiêm
injure,(b1) làm tổn thương
injured,(b1) bị thương
injury,(a2) chấn thương
injustice,(c1) sự bất công
ink,(b2) mực
inmate,(c1) tù nhân
inner,(b2) bên trong
innocent,(b1) vô tội
innovation,(b2) sự đổi mới
innovative,(b2) đổi mới
input,(b2) đầu vào
inquiry,(b2) cuộc điều tra
insect,(a2) côn trùng
insert,(b2) chèn
insertion,(c1) chèn
inside,(a2) bên trong
inside,(a2) bên trong
inside,(a2) bên trong
inside,(a2) bên trong
insider,(c1) người trong cuộc
insight,(b2) cái nhìn sâu sắc
insist,(b2) nhấn mạnh
inspect,(c1) kiểm tra
inspection,(c1) kiểm tra
inspector,(b2) thanh tra
inspiration,(c1) nguồn cảm hứng
inspire,(b2) truyền cảm hứng
install,(b2) cài đặt
installation,(b2) cài đặt
instance,(b2) ví dụ
instant,(b2) ngay lập tức
instantly,(b2) ngay lập tức
instead,(a2) thay vào đó
instinct,(c1) bản năng
institute,(b2) viện
institution,(b2) cơ quan
institutional,(c1) thể chế
instruct,(c1) hướng dẫn
instruction,(a2) hướng dẫn
instructor,(a2) người hướng dẫn
instrument,(a2) nhạc cụ
instrumental,(c1) nhạc cụ
insufficient,(c1) không đủ
insult,(c1) xúc phạm
insult,(c1) xúc phạm
insurance,(b2) bảo hiểm
intact,(c1) nguyên vẹn
intake,(c1) lượng tiêu thụ
integral,(c1) tích phân
integrate,(b2) tích hợp
integrated,(c1) tích hợp
integration,(c1) hội nhập
integrity,(c1) tính chính trực
intellectual,(b2) trí tuệ
intellectual,(c1) trí tuệ
intelligence,(b1) trí thông minh
intelligent,(a2) thông minh
intend,(b1) có ý định
intended,(b2) dự định
intense,(b2) mãnh liệt
intensify,(c1) tăng cường
intensity,(c1) cường độ
intensive,(c1) chuyên sâu
intent,(c1) ý định
intention,(b1) ý định
interact,(b2) tương tác
interaction,(b2) sự tương tác
interactive,(c1) tương tác
interest,(a1) lãi suất
interest,(a1) lãi suất
interested,(a1) quan tâm
interesting,(a1) thú vị
interface,(c1) giao diện
interfere,(c1) can thiệp
interference,(c1) sự can thiệp
interim,(c1) tạm thời
interior,(c1) nội thất
interior,(c1) nội thất
intermediate,(c1) trung gian
internal,(b2) nội bộ
international,(a2) quốc tế
internet,(a1) mạng
interpret,(b2) diễn giải
interpretation,(b2) sự thông giải
interrupt,(b2) làm gián đoạn
interval,(b2) khoảng thời gian
intervene,(c1) can thiệp
intervention,(c1) sự can thiệp
interview,(a1) phỏng vấn
interview,(a1) phỏng vấn
intimate,(c1) thân mật
into,(a1) vào
intriguing,(c1) hấp dẫn
introduce,(a1) giới thiệu
introduction,(a2) giới thiệu
invade,(b2) xâm chiếm
invasion,(b2) cuộc xâm lược
invent,(a2) phát minh
