Term,Definition
refugee,(b2) người tị nạn
refusal,(c1) từ chối
refuse,(a2) từ chối
regain,(c1) lấy lại
regard,(b2) quan tâm
regard,(b2) quan tâm
regardless,(c1) bất kể
regime,(c1) chế độ
region,(a2) khu vực
regional,(b2) khu vực
register,(b2) đăng ký
register,(b2) đăng ký
registration,(b2) đăng ký
regret,(b2) hối tiếc
regret,(b2) hối tiếc
regular,(a2) đều đặn
regularly,(b1) thường xuyên
regulate,(b2) điều chỉnh
regulation,(b2) quy định
regulator,(c1) bộ điều chỉnh
regulatory,(c1) quy định
rehabilitation,(c1) phục hồi chức năng
reign,(c1) trị vì
reign,(c1) trị vì
reinforce,(b2) củng cố
reject,(b1) từ chối
rejection,(c1) sự từ chối
relate,(b1) liên quan
related,(b1) liên quan
relation,(b1) quan hệ
relationship,(a2) mối quan hệ
relative,(b1) tương đối
relative,(b1) tương đối
relatively,(b2) tương đối
relax,(a1) thư giãn
relaxed,(b1) thư giãn
relaxing,(b1) thư giãn
release,(b1) phát hành
release,(b1) phát hành
relevance,(c1) sự liên quan
relevant,(b2) có liên quan
reliability,(c1) độ tin cậy
reliable,(b1) đáng tin cậy
relief,(b2) cứu trợ
relieve,(b2) giảm nhẹ
relieved,(b2) nhẹ nhõm
religion,(b1) tôn giáo
religious,(b1) tôn giáo
reluctant,(c1) miễn cưỡng
rely,(b2) dựa vào
remain,(b1) ở lại
remainder,(c1) phần còn lại
remains,(c1) còn lại
remark,(b2) nhận xét
remark,(b2) nhận xét
remarkable,(b2) đáng chú ý
remarkably,(b2) đáng chú ý
remedy,(c1) phương thuốc
remember,(a1) nhớ
remind,(b1) nhắc nhở
reminder,(c1) nhắc nhở
remote,(b1) từ xa
removal,(c1) loại bỏ
remove,(a2) loại bỏ
render,(c1) kết xuất
renew,(c1) gia hạn
renowned,(c1) nổi tiếng
rent,(b1) thuê
rent,(b1) thuê
rental,(c1) cho thuê
repair,(b1) sửa chữa
repair,(a2) sửa chữa
repeat,(b1) lặp lại
repeat,(a1) lặp lại
repeated,(b1) lặp đi lặp lại
replace,(a2) thay thế
replacement,(c1) thay thế
reply,(a2) trả lời
reply,(a2) trả lời
report,(a1) báo cáo
report,(a2) báo cáo
reportedly,(c1) theo báo cáo
reporter,(a2) phóng viên
reporting,(b2) báo cáo
represent,(b1) đại diện
representation,(c1) đại diện
representative,(b2) đại diện
representative,(b2) đại diện
reproduce,(c1) tái tạo
reproduction,(c1) sinh sản
republic,(c1) nước cộng hòa
reputation,(b2) danh tiếng
request,(a2) yêu cầu
request,(b1) yêu cầu
require,(b1) yêu cầu
requirement,(b2) yêu cầu
rescue,(b2) giải cứu
rescue,(b2) giải cứu
research,(a2) nghiên cứu
research,(a2) nghiên cứu
researcher,(a2) nhà nghiên cứu
resemble,(c1) giống
reservation,(b1) đặt chỗ
reserve,(b2) dự trữ
reserve,(b2) dự trữ
reside,(c1) cư trú
residence,(c1) nơi cư trú
resident,(b2) thường trú
resident,(b2) thường trú
residential,(c1) khu dân cư
residue,(c1) dư lượng
resign,(b2) từ chức
resignation,(c1) từ chức
resist,(b2) chống lại
resistance,(c1) sức đề kháng
resolution,(b2) độ phân giải
resolve,(b2) giải quyết
resort,(b2) khu nghỉ dưỡng
resource,(b1) tài nguyên
respect,(b1) tôn trọng
respect,(b1) tôn trọng
respective,(c1) tương ứng
respectively,(c1) tương ứng
respond,(a2) đáp lại
response,(a2) phản ứng
responsibility,(b1) trách nhiệm
responsible,(b1) chịu trách nhiệm
rest,(a2) nghỉ ngơi
rest,(a2) nghỉ ngơi
restaurant,(a1) nhà hàng
restoration,(c1) phục hồi
restore,(b2) khôi phục
restraint,(c1) kiềm chế
restrict,(b2) hạn chế
restriction,(b2) hạn chế
result,(a1) kết quả
result,(b1) kết quả
resume,(c1) sơ yếu lý lịch
retail,(b2) bán lẻ
retain,(b2) giữ lại
retire,(b1) nghỉ hưu
retired,(b1) đã nghỉ hưu
retirement,(b2) nghỉ hưu
retreat,(c1) rút lui
retreat,(c1) rút lui
retrieve,(c1) lấy lại
return,(a1) trở về
return,(a1) trở về
reveal,(b2) tiết lộ
