Term,Definition
endless,(c1) vô tận
endorse,(c1) xác nhận
endorsement,(c1) sự chứng thực
endure,(c1) chịu đựng
enemy,(b1) kẻ thù
energy,(a2) năng lượng
enforce,(c1) thi hành
enforcement,(c1) thực thi
engage,(b2) tham gia
engaged,(b1) đã đính hôn
engagement,(c1) sự đính hôn
engaging,(c1) hấp dẫn
engine,(a2) động cơ
engineer,(a2) kỹ sư
engineering,(b1) kỹ thuật
enhance,(b2) tăng cường
enjoy,(a1) thưởng thức
enjoyable,(b2) thú vị
enormous,(a2) to lớn
enough,(a1) đủ rồi
enough,(a1) đủ rồi
enough,(a1) đủ rồi
enquire,(c1) hỏi thăm
enquiry,(b2) cuộc điều tra
enrich,(c1) làm giàu
enrol,(c1) ghi danh
ensue,(c1) xảy ra sau đó
ensure,(b2) đảm bảo
enter,(a2) nhập
enterprise,(c1) doanh nghiệp
entertain,(b1) giải trí
entertaining,(b2) giải trí
entertainment,(b1) sự giải trí
enthusiasm,(b2) sự nhiệt tình
enthusiast,(c1) người đam mê
enthusiastic,(b2) nhiệt tình
entire,(b2) toàn bộ
entirely,(b2) hoàn toàn
entitle,(c1) quyền
entity,(c1) thực thể
entrance,(b1) lối vào
entrepreneur,(b2) doanh nhân
entry,(b1) lối vào
envelope,(b2) phong bì
environment,(a2) môi trường
environmental,(b1) môi trường
epidemic,(c1) dịch bệnh
episode,(b1) tập phim
equal,(b1) bằng nhau
equal,(b2) bằng nhau
equal,(b1) bằng nhau
equality,(c1) bình đẳng
equally,(b1) bằng nhau
equation,(c1) phương trình
equip,(b2) trang bị
equipment,(a2) thiết bị
equivalent,(b2) tương đương
equivalent,(b2) tương đương
era,(b2) thời đại
erect,(c1) dựng lên
error,(a2) lỗi
erupt,(b2) phun trào
escalate,(c1) leo thang
escape,(b1) trốn thoát
escape,(b1) trốn thoát
especially,(a2) đặc biệt
essay,(a2) tiểu luận
essence,(c1) bản chất
essential,(b1) thiết yếu
essentially,(b2) về cơ bản
establish,(b2) thành lập
establishment,(c1) thành lập
estate,(b2) bất động sản
estimate,(b2) ước tính
estimate,(b2) ước tính
eternal,(c1) vĩnh cửu
ethic,(b2) đạo đức
ethical,(b2) đạo đức
ethnic,(b2) dân tộc
euro,(a1) đồng euro
evacuate,(c1) sơ tán
evaluate,(b2) đánh giá
evaluation,(b2) đánh giá
even,(b2) thậm chí
even,(a1) thậm chí
evening,(a1) buổi tối
event,(a1) sự kiện
eventually,(b1) cuối cùng
ever,(a1) bao giờ hết
every,(a1) mỗi
everybody,(a1) mọi người
everyday,(a2) hàng ngày
everyone,(a1) mọi người
everything,(a1) mọi thứ
everywhere,(a2) ở khắp mọi nơi
evidence,(a2) bằng chứng
evident,(b2) hiển nhiên
evil,(b2) tà ác
evil,(b2) tà ác
evoke,(c1) gợi lên
evolution,(b2) sự tiến hóa
evolutionary,(c1) tiến hóa
evolve,(b2) tiến hóa
exact,(a2) chính xác
exactly,(a2) chính xác
exaggerate,(c1) phóng đại
exam,(a1) kỳ thi
examination,(b2) kiểm tra
examine,(b1) kiểm tra
example,(a1) ví dụ
exceed,(b2) vượt quá
excellence,(c1) sự xuất sắc
excellent,(a2) xuất sắc
except,(b1) ngoại trừ
except,(a2) ngoại trừ
exception,(b2) ngoại lệ
exceptional,(c1) đặc biệt
excess,(c1) dư thừa
excess,(c1) dư thừa
excessive,(b2) quá mức
exchange,(b1) trao đổi
exchange,(b1) trao đổi
excited,(a1) vui mừng
excitement,(b1) sự phấn khích
exciting,(a1) thú vị
exclude,(b2) loại trừ
exclusion,(c1) loại trừ
exclusive,(c1) độc quyền
exclusively,(c1) độc quyền
excuse,(b2) xin lỗi
excuse,(b2) xin lỗi
execute,(c1) thi hành
execution,(c1) thi hành án
executive,(b2) điều hành
executive,(b2) điều hành
exercise,(a1) tập thể dục
exercise,(a1) tập thể dục
exert,(c1) gắng sức
exhibit,(b2) triển lãm
exhibit,(b2) triển lãm
exhibition,(b1) triển lãm
exile,(c1) lưu đày
exist,(a2) tồn tại
existence,(b2) sự tồn tại
exit,(b2) lối ra
exit,(c1) lối ra
exotic,(b2) kỳ lạ
expand,(b1) mở rộng
expansion,(b2) mở rộng
