Term,Definition
swear,(b2) thề
sweater,(a1) áo len
sweep,(b2) quét
sweet,(a2) ngọt ngào
sweet,(a2) ngọt ngào
swim,(b1) bơi lội
swim,(a1) bơi lội
swimming,(a1) bơi lội
swing,(c1) đánh đu
swing,(c1) đánh đu
switch,(b2) chuyển đổi
switch,(b1) chuyển đổi
sword,(c1) thanh kiếm
symbol,(a2) biểu tượng
symbolic,(c1) tượng trưng
sympathetic,(b2) thông cảm
sympathy,(b2) sự cảm thông
symptom,(b1) triệu chứng
syndrome,(c1) hội chứng
synthesis,(c1) tổng hợp
system,(a2) hệ thống
systematic,(c1) có tính hệ thống
t-shirt,(a1) áo thun
table,(a1) bàn
tablet,(a2) máy tính bảng
tackle,(c1) giải quyết
tackle,(b2) giải quyết
tactic,(c1) chiến thuật
tactical,(c1) chiến thuật
tag,(b2) gắn thẻ
tag,(b2) gắn thẻ
tail,(b1) đuôi
take,(a1) lấy
tale,(b2) câu chuyện
talent,(b1) tài năng
talented,(b1) có tài
talk,(a2) nói chuyện
talk,(a1) nói chuyện
tall,(a1) cao
tank,(b2) xe tăng
tap,(b2) gõ nhẹ
tap,(b2) gõ nhẹ
tape,(b1) băng
target,(a2) mục tiêu
target,(b2) mục tiêu
task,(a2) nhiệm vụ
taste,(a2) mùi vị
taste,(a2) mùi vị
tax,(b1) thuế
tax,(b1) thuế
taxi,(a1) nghĩa của từ taxi
taxpayer,(c1) người đóng thuế
tea,(a1) trà
teach,(a1) dạy
teacher,(a1) giáo viên
teaching,(a2) giảng dạy
team,(a1) đội
tear,(b2) xé
tear,(b2) xé
technical,(b1) kỹ thuật
technique,(b1) kỹ thuật
technological,(b2) công nghệ
technology,(a2) công nghệ
teenage,(a2) thiếu niên
teenager,(a1) thiếu niên
teens,(b2) thanh thiếu niên
telephone,(a1) điện thoại
telephone,(a1) điện thoại
television,(a1) truyền hình
tell,(a1) nói
temperature,(a2) nhiệt độ
temple,(b2) ngôi đền
temporarily,(b2) tạm thời
temporary,(b2) tạm thời
tempt,(c1) cám dỗ
ten,(a1) mười
tenant,(c1) người thuê nhà
tend,(b1) có xu hướng
tendency,(b2) xu hướng
tender,(c1) đấu thầu
tennis,(a1) quần vợt
tension,(b2) căng thẳng
tent,(b1) lều
tenure,(c1) nhiệm kỳ
term,(a2) kỳ hạn
term,(b2) kỳ hạn
terminal,(c1) thiết bị đầu cuối
terminal,(b2) thiết bị đầu cuối
terminate,(c1) chấm dứt
terms,(b2) điều khoản
terrain,(c1) địa hình
terrible,(a1) khủng khiếp
terribly,(b2) khủng khiếp
terrific,(c1) tuyệt vời
terrify,(b2) làm kinh hãi
territory,(b2) lãnh thổ
terror,(b2) khủng bố
terrorism,(b2) khủng bố
terrorist,(b2) khủng bố
test,(a1) kiểm tra
test,(a1) kiểm tra
testify,(c1) làm chứng
testimony,(c1) lời khai
testing,(b2) thử nghiệm
text,(a1) văn bản
text,(a2) văn bản
textbook,(b2) sách giáo khoa
texture,(c1) kết cấu
than,(a1) hơn
than,(a1) hơn
thank,(a1) cảm ơn
thankfully,(c1) thật may mắn
thanks,(a1) cảm ơn
thanks,(a1) cảm ơn
that,(b1) đó
that,(a1) đó
that,(a1) đó
that,(a1) đó
the,(a1) cái
theatre,(a1) rạp hát
theatrical,(c1) sân khấu
theft,(b2) trộm cắp
their,(a1) của họ
theirs,(b1) của họ
them,(a1) họ
theme,(b1) chủ đề
themselves,(a2) chính họ
then,(a1) sau đó
theology,(c1) thần học
theoretical,(c1) lý thuyết
theory,(b1) lý thuyết
therapist,(b2) nhà trị liệu
therapy,(b2) trị liệu
there,(a1) ở đó
thereafter,(c1) sau đó
thereby,(c1) qua đó
therefore,(b1) do đó
thesis,(b2) luận án
they,(a1) họ
thick,(a2) dày
thief,(a2) tên trộm
thin,(a2) gầy
thing,(a1) điều
think,(a1) nghĩ
thinking,(a2) suy nghĩ
third,(a2) thứ ba
third,(a1) thứ ba
thirsty,(a1) khát nước
thirteen,(a1) mười ba
