Term,Definition
pace,(b2) tốc độ
pace,(b2) tốc độ
pack,(b1) gói
pack,(a2) gói
package,(b1) gói
package,(b2) gói
packet,(b2) gói
pad,(c1) đệm
page,(a1) trang
pain,(a2) đau đớn
painful,(b1) đau đớn
paint,(a1) sơn
paint,(a1) sơn
painter,(a2) họa sĩ
painting,(a1) bức tranh
pair,(a1) cặp
palace,(a2) cung điện
pale,(b1) nhợt nhạt
palm,(b2) lòng bàn tay
pan,(b1) chảo
panel,(b2) bảng điều khiển
panic,(b2) hoảng loạn
pants,(a2) quần
paper,(a1) giấy
parade,(b2) cuộc diễu hành
paragraph,(a1) đoạn văn
parallel,(b2) song song
parallel,(b2) song song
parameter,(c1) tham số
parent,(a1) cha mẹ
parental,(c1) cha mẹ
parish,(c1) giáo xứ
park,(a1) công viên
park,(a1) công viên
parking,(a2) bãi đậu xe
parliament,(b2) quốc hội
parliamentary,(c1) nghị viện
part,(a1) một phần
part-time,(b2) bán thời gian
partial,(c1) một phần
partially,(c1) một phần
participant,(b2) người tham gia
participate,(b1) tham gia
participation,(b2) sự tham gia
particular,(a2) đặc biệt
particularly,(b1) đặc biệt
partly,(b2) một phần
partner,(a1) đối tác
partnership,(b2) quan hệ đối tác
party,(a1) bữa tiệc
pass,(b1) vượt qua
pass,(a2) vượt qua
passage,(b2) lối đi
passenger,(a2) hành khách
passing,(c1) đi qua
passion,(b1) niềm đam mê
passionate,(b2) đam mê
passive,(c1) thụ động
passport,(a1) hộ chiếu
password,(b2) mật khẩu
past,(a1) quá khứ
past,(a2) quá khứ
past,(a1) quá khứ
past,(a1) quá khứ
pastor,(c1) mục sư
patch,(c1) vá
patent,(c1) bằng sáng chế
path,(b1) con đường
pathway,(c1) con đường
patience,(b2) kiên nhẫn
patient,(b2) bệnh nhân
patient,(a2) bệnh nhân
patrol,(c1) tuần tra
patrol,(c1) tuần tra
patron,(c1) người bảo trợ
pattern,(a2) hoa văn
pause,(b2) tạm dừng
pause,(b2) tạm dừng
pay,(a2) trả tiền
pay,(a1) trả tiền
payment,(b1) thanh toán
peace,(a2) hòa bình
peaceful,(b1) yên bình
peak,(c1) đỉnh cao
peasant,(c1) nông dân
peculiar,(c1) đặc biệt
peer,(b2) ngang hàng
pen,(a1) cây bút
penalty,(b2) hình phạt
pencil,(a1) bút chì
penny,(a2) đồng xu
pension,(b2) lương hưu
people,(a1) mọi người
pepper,(a1) hạt tiêu
per,(a2) mỗi
per cent,(a2) phần trăm
per cent,(a2) phần trăm
per cent,(a2) phần trăm
perceive,(b2) nhận thức
percentage,(b1) phần trăm
perception,(b2) nhận thức
perfect,(a1) hoàn hảo
perfectly,(b1) hoàn hảo
perform,(a2) thực hiện
performance,(b1) hiệu suất
perhaps,(a2) có lẽ
period,(a1) thời kỳ
permanent,(b2) vĩnh viễn
permanently,(b2) vĩnh viễn
permission,(a2) sự cho phép
permit,(b2) giấy phép
permit,(b2) giấy phép
persist,(c1) kiên trì
persistent,(c1) kiên trì
person,(a1) người
personal,(a1) cá nhân
personality,(a2) cá tính
personally,(b1) cá nhân
personnel,(c1) nhân sự
perspective,(b2) quan điểm
persuade,(b1) thuyết phục
pet,(a2) thú cưng
petition,(c1) lời thỉnh cầu
petrol,(a2) xăng dầu
phase,(b2) giai đoạn
phenomenon,(b2) hiện tượng
philosopher,(c1) triết gia
philosophical,(c1) triết học
philosophy,(b2) triết học
phone,(a1) điện thoại
phone,(a1) điện thoại
photo,(a1) bức ảnh
photograph,(a1) bức ảnh
photograph,(a2) bức ảnh
photographer,(b1) nhiếp ảnh gia
photography,(b1) nhiếp ảnh
phrase,(a1) cụm từ
physical,(a2) thể chất
physician,(c1) bác sĩ
physics,(a2) vật lý
piano,(a1) đàn piano
pick,(b2) chọn
pick,(a2) chọn
picture,(a1) bức tranh
picture,(b2) bức tranh
piece,(a1) mảnh
pig,(a1) con lợn
pile,(b2) đống
pile,(b2) đống
