Term,Definition
historian,(b2) nhà sử học
historic,(b1) mang tính lịch sử
historical,(b1) lịch sử
history,(a1) lịch sử
hit,(a2) đánh
hit,(a2) đánh
hobby,(a1) sở thích
hockey,(a2) khúc côn cầu
hold,(b2) giữ
hold,(a2) giữ
hole,(a2) lỗ
holiday,(a1) kỳ nghỉ
hollow,(b2) rỗng
holy,(b2) thánh thiện
home,(a2) nhà
home,(a1) nhà
home,(a1) nhà
homeland,(c1) quê hương
homeless,(b2) vô gia cư
homework,(a1) bài tập về nhà
honest,(b1) trung thực
honesty,(b2) trung thực
honour,(b2) vinh dự
honour,(b2) vinh dự
hook,(b2) cái móc
hook,(c1) cái móc
hope,(a2) hy vọng
hope,(a1) hy vọng
hopeful,(c1) hy vọng
hopefully,(b2) hy vọng
horizon,(c1) chân trời
horn,(c1) sừng
horrible,(b1) khủng khiếp
horror,(b1) kinh dị
horse,(a1) con ngựa
hospital,(a1) bệnh viện
host,(b1) chủ nhà
host,(b2) chủ nhà
hostage,(c1) con tin
hostile,(c1) thù địch
hostility,(c1) sự thù địch
hot,(a1) nóng bức
hotel,(a1) khách sạn
hour,(a1) giờ
house,(a1) nhà ở
house,(b2) nhà ở
household,(b2) hộ gia đình
housing,(b2) nhà ở
how,(a1) làm thế nào
however,(a1) tuy nhiên
huge,(a2) to lớn
human,(a2) con người
human,(a2) con người
humanitarian,(c1) nhân đạo
humanity,(c1) nhân loại
humble,(c1) khiêm tốn
humorous,(b2) hài hước
humour,(b2) hài hước
hundred,(a1) trăm
hunger,(b2) đói
hungry,(a1) đói bụng
hunt,(b2) đi săn
hunt,(b1) đi săn
hunting,(b2) săn bắn
hurricane,(b1) cơn bão
hurry,(b1) nhanh lên
hurry,(b1) nhanh lên
hurt,(a2) đau
hurt,(b2) đau
hurt,(a2) đau
husband,(a1) chồng
hydrogen,(c1) hydro
hypothesis,(b2) giả thuyết
i,(a1) tôi
ice,(a1) băng
ice cream,(a1) kem
icon,(b2) biểu tượng
id,(b2) mã số
idea,(a1) ý tưởng
ideal,(a2) lý tưởng
ideal,(b2) lý tưởng
identical,(b2) giống hệt nhau
identification,(c1) nhận dạng
identify,(a2) xác định
identity,(b1) danh tính
ideological,(c1) tư tưởng
ideology,(c1) hệ tư tưởng
idiot,(c1) đồ ngốc
if,(a1) nếu
ignorance,(c1) sự thiếu hiểu biết
ignore,(b1) bỏ qua
ill,(a2) bị bệnh
illegal,(b1) bất hợp pháp
illness,(a2) bệnh tật
illusion,(b2) ảo tưởng
illustrate,(b2) minh họa
illustration,(b2) hình minh họa
image,(a2) hình ảnh
imagery,(c1) hình ảnh
imaginary,(b1) tưởng tượng
imagination,(b2) trí tưởng tượng
imagine,(a1) tưởng tượng
immediate,(b1) ngay lập tức
immediately,(a2) ngay lập tức
immense,(c1) bao la
immigrant,(b1) người nhập cư
immigration,(b2) nhập cư
imminent,(c1) sắp xảy ra
immune,(b2) miễn dịch
impact,(b1) tác động
impact,(b1) tác động
impatient,(b2) thiếu kiên nhẫn
implement,(b2) thực hiện
implementation,(c1) thực hiện
implication,(b2) hàm ý
imply,(b2) ngụ ý
import,(b1) nhập khẩu
import,(b1) nhập khẩu
importance,(b1) tầm quan trọng
important,(a1) quan trọng
impose,(b2) áp đặt
impossible,(a2) không thể
impress,(b2) gây ấn tượng
impressed,(b2) ấn tượng
impression,(b1) ấn tượng
impressive,(b1) ấn tượng
imprison,(c1) bỏ tù
imprisonment,(c1) bỏ tù
improve,(a1) cải thiện
improvement,(b1) cải tiến
in,(a1) trong
in,(a1) trong
inability,(c1) sự bất lực
inadequate,(c1) không đầy đủ
inappropriate,(c1) không phù hợp
incentive,(b2) khuyến khích
inch,(b2) nghĩa của từ inch
incidence,(c1) sự xuất hiện
incident,(b2) sự cố
inclined,(c1) nghiêng
include,(a1) bao gồm
included,(a2) bao gồm
including,(a2) bao gồm cả
inclusion,(c1) bao gồm
income,(b2) thu nhập
incorporate,(b2) kết hợp
incorrect,(b2) không đúng
increase,(a2) tăng lên
increase,(a2) tăng lên
